name,price,year,state
jeep mpv,11100,2019,michigan
hyundai mpv,4750,2019,ohio
mercedes-benz door,17900,2015,florida
nissan door,3800,2015,california
nissan doors,3160,2017,new jersey
chevrolet pickup,25,2010,colorado
chevrolet door,1200,2001,wisconsin
chevrolet coupe,6470,2010,florida
ford door,26400,2017,michigan
gmc door,0,1993,colorado
gmc 2500hd,32500,2018,pennsylvania
honda mpv,6900,2017,minnesota
jeep mpv,11030,2019,michigan
hyundai door,3460,2012,mississippi
mercedes-benz door,18000,2015,florida
hyundai door,3250,2015,california
nissan doors,3210,2017,new jersey
chevrolet door,13200,2017,pennsylvania
ford f-150,27705,2019,michigan
chevrolet door,7200,2017,pennsylvania
ford f-150,28714,2019,michigan
chevrolet door,11200,2017,pennsylvania
ford f-150,27502,2019,michigan
chevrolet door,11900,2017,pennsylvania
ford f-150,29314,2019,michigan
chevrolet door,11200,2017,pennsylvania
ford f-150,27002,2019,michigan
chevrolet door,13200,2017,pennsylvania
ford f-150,28214,2019,michigan
chevrolet door,12700,2017,pennsylvania
ford f-150,29900,2019,michigan
chevrolet door,12700,2017,pennsylvania
ford f-150,27202,2019,michigan
chevrolet impala,13500,2018,new jersey
ford f-150,27705,2019,michigan
chevrolet van,14700,2016,pennsylvania
ford f-150,29900,2019,michigan
chevrolet door,4500,2015,pennsylvania
ford f-150,27705,2019,michigan
chevrolet door,8000,2015,pennsylvania
ford f-150,25511,2019,michigan
chevrolet colorado,7700,2015,pennsylvania
ford f-150,29900,2019,michigan
chevrolet van,7200,2015,pennsylvania
ford f-150,27502,2019,michigan
chevrolet door,4500,2013,pennsylvania
ford f-150,27402,2019,michigan
chevrolet sonic,1500,2013,pennsylvania
ford f-150,26602,2019,michigan
chevrolet sonic,10200,2019,illinois
ford f-150,29900,2019,michigan
chevrolet colorado,14000,2019,illinois
ford f-150,28500,2019,michigan
chevrolet door,8000,2016,florida
ford f-150,29809,2019,michigan
chevrolet corvette,36900,2015,florida
ford f-150,26902,2019,michigan
chevrolet door,10950,2015,florida
ford f-150,27402,2019,michigan
acura mdx,16900,2014,florida
ford f-150,25600,2019,michigan
bmw series,29700,2016,texas
ford f-150,27702,2019,michigan
buick encore,13500,2016,texas
ford f-150,27102,2019,michigan
ford f-150,27102,2019,michigan
ford f-150,25811,2019,michigan
ford f-150,26602,2019,michigan
ford f-150,27102,2019,michigan
buick enclave,37500,2019,wisconsin
ford flex,26211,2019,michigan
ford flex,24205,2019,michigan
cadillac xt5,37500,2019,wisconsin
ford flex,27111,2019,michigan
ford flex,27411,2019,michigan
ford flex,27302,2019,michigan
ford f-150,27202,2019,michigan
ford flex,26311,2019,michigan
ford f-150,26602,2019,michigan
bmw series,33500,2017,wisconsin
ford flex,27511,2019,michigan
buick door,21500,2017,wisconsin
ford f-150,27200,2019,michigan
ford flex,26511,2019,michigan
ford flex,24002,2019,michigan
buick door,21500,2017,wisconsin
ford fusion,18511,2019,michigan
kia sorento,14000,2017,connecticut
