name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2018_name,ward_2018_code,longitude,latitude,easting,northing,runtime
Swiss Cottage Library,Avenue Road,,,Camden,,5061473.0,E09000007,Swiss Cottage,E05000144,-0.1732083668544522,51.54228907458206,526778.9656516052,184179.9228882196,04/11/2021
Stratford Library,The Grove,,,Newham,,46101428.0,E09000025,Stratford and New Town,E05000492,0.0043559648523883,51.54277052536793,539089.9623049725,184555.9227853669,04/11/2021
Willesden Green,High Road,,,Brent,,202216288.0,E09000005,Willesden Green,E05000105,-0.2289214989831069,51.5466504009109,522903.9667075057,184569.92278124887,04/11/2021
Dagenham,Church Elm Lane,Dagenham,,Barking and Dagenham,,10023599312.0,E09000002,Village,E05000041,0.148461447412393,51.54038101481325,549089.9595886918,184573.922782105,04/11/2021
Northolt Leisure Centre Library,Eastcote Lane North,Northolt,,Ealing,,12173354.0,E09000009,Northolt Mandeville,E05000184,-0.3684797608344367,51.54889944363907,513222.05930507695,184595.13273392664,04/11/2021
Hackney Central Library,Reading Lane,,,Hackney,,10008243137.0,E09000012,Hackney Central,E05009372,-0.0560703076671313,51.54447929868019,534894.9634465151,184632.92276584363,04/11/2021
Dalston CLR James Library,Dalston Square,,,Hackney,,10008322989.0,E09000012,Dalston,E05009370,-0.0739330311165172,51.546047399645325,533651.8237682488,184774.50268205605,04/11/2021
Ealing Road,Ealing Road,Wembley,,Brent,,202102174.0,E09000005,Wembley Central,E05000104,-0.2974223345243054,51.54953419172751,518146.9680006942,184777.92272303248,04/11/2021
Belsize Community Library,Antrim Road,,,Camden,,5045720.0,E09000007,Belsize,E05000128,-0.1622527185689428,51.54790026934915,527522.9654521256,184822.9227146525,04/11/2021
Mildmay Library,Mildmay Park,,,Islington,,5300062563.0,E09000019,Mildmay,E05000377,-0.0843075484860017,51.54760616918449,532927.9639809256,184928.92268464336,04/11/2021
West Hampstead Library,Dennington Park Road,,,Camden,,5037144.0,E09000007,West Hampstead,E05000145,-0.1916088905289471,51.55031675047688,525480.9660041387,185040.9226551248,04/11/2021
