Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (£),Unnamed: 10,Unnamed: 11,Unnamed: 12
Stockport MBC,Services to People,Childrens & Educational Services,CURRYS ONLINE,Furniture and Equipment,Environmental Services Technical Equipment ,09.02.2018,16.04.2018,GPC03180000125,-409.99,,,
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON EU,Furniture and Equipment,Environmental Services Technical Equipment ,03.03.2018,16.04.2018,GPC03180000126,25.79,,,
Stockport MBC,Services to People,Childrens & Educational Services,AMZ AMAZON.CO.UK,Furniture and Equipment,Environmental Services Technical Equipment ,03.03.2018,16.04.2018,GPC03180000127,-5.99,,,
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON UK MARKETPLACE,Furniture and Equipment,Furniture & Soft Furnishings  ,30.03.2018,16.04.2018,GPC03180000128,4.50,,,
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON UK MARKETPLACE,Furniture and Equipment,Furniture & Soft Furnishings  ,22.03.2018,16.04.2018,GPC03180000129,4.80,,,
Stockport MBC,Services to People,Childrens & Educational Services,WWW.GROUPON.CO.UK,Furniture and Equipment,Furniture & Soft Furnishings  ,22.03.2018,16.04.2018,GPC03180000130,69.98,,,
Stockport MBC,Services to People,Childrens & Educational Services,PAYPAL  ARGOS EBAY,Furniture and Equipment,Furniture & Soft Furnishings  ,22.03.2018,16.04.2018,GPC03180000131,239.99,,,
Stockport MBC,Services to People,Childrens & Educational Services,HOMEBASE LTD,Furniture and Equipment,Furniture & Soft Furnishings  ,22.03.2018,16.04.2018,GPC03180000132,17.94,,,
Stockport MBC,Services to People,Childrens & Educational Services,GO OUTDOORS,Furniture and Equipment,Furniture & Soft Furnishings  ,22.03.2018,16.04.2018,GPC03180000133,79.00,,,
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISONS,Furniture and Equipment,Furniture & Soft Furnishings  ,22.03.2018,16.04.2018,GPC03180000134,10.00,,,
Stockport MBC,Services to People,Childrens & Educational Services,TESCO DIRECT,Furniture and Equipment,Furniture & Soft Furnishings  ,22.03.2018,16.04.2018,GPC03180000135,41.70,,,
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON UK MARKETPLACE,Furniture and Equipment,Furniture & Soft Furnishings  ,21.03.2018,16.04.2018,GPC03180000136,4.95,,,
Stockport MBC,Services to People,Childrens & Educational Services,EAST GB LTD,Fees and Charges,Education Examinational Fees ,20.03.2018,16.04.2018,GPC03180000137,14.40,,,
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON EU,Library Equipment,Education Library Books ,13.03.2018,16.04.2018,GPC03180000138,96.94,,,
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON EU,Library Equipment,Education Library Books ,09.03.2018,16.04.2018,GPC03180000139,83.96,,,
Stockport MBC,Services to People,Childrens & Educational Services,MCDONALDS,Catering Supplies,Catering Food & Beverages ,28.03.2018,16.04.2018,GPC03180000140,44.95,,,
Stockport MBC,Services to People,Childrens & Educational Services,WWW.PCWB.COM,Furniture and Equipment,Environmental Services Technical Equipment ,21.03.2018,16.04.2018,GPC03180000141,30.39,,,
Stockport MBC,Services to People,Childrens & Educational Services,TIMPSON LTD,Furniture and Equipment,Environmental Services Technical Equipment ,19.03.2018,16.04.2018,GPC03180000142,48.00,,,
Stockport MBC,Services to People,Childrens & Educational Services,TIMPSON LTD,Furniture and Equipment,Environmental Services Technical Equipment ,15.03.2018,16.04.2018,GPC03180000143,60.00,,,
Stockport MBC,Services to People,Childrens & Educational Services,WWW.LOCKDOCTOR.BIZ,Furniture and Equipment,Environmental Services Technical Equipment ,14.03.2018,16.04.2018,GPC03180000144,77.34,,,
Stockport MBC,Services to People,Childrens & Educational Services,WWW.RADIO-SOLUTION.CO.,Furniture and Equipment,Environmental Services Technical Equipment ,08.03.2018,16.04.2018,GPC03180000145,220.00,,,
Stockport MBC,Services to People,Childrens & Educational Services,CURRYS ONLINE,Furniture and Equipment,Environmental Services Technical Equipment ,09.02.2018,16.04.2018,GPC03180000146,-409.99,,,
Stockport MBC,Services to People,Public Health,LOVE2SHOP.CO.UK,Publicity and Promotion,Facilities & Management Services  ,12.03.2018,16.04.2018,GPC03180000147,203.50,,,
Stockport MBC,Services to People,Childrens & Educational Services,MANCHESTER CITY COUNCI,Care Payments,Social Community Care Supplies & Services  ,26.03.2018,16.04.2018,GPC03180000148,-11.00,,,
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Care Payments,Social Community Care Supplies & Services  ,23.03.2018,16.04.2018,GPC03180000149,34.65,,,
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Care Payments,Social Community Care Supplies & Services  ,23.03.2018,16.04.2018,GPC03180000150,21.65,,,
Stockport MBC,Services to People,Childrens & Educational Services,WWW.MANCHESTER.GOV.UK,Care Payments,Social Community Care Supplies & Services  ,19.03.2018,16.04.2018,GPC03180000151,11.00,,,
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Care Payments,Social Community Care Supplies & Services  ,20.03.2018,16.04.2018,GPC03180000152,26.75,,,
Stockport MBC,Services to People,Childrens & Educational Services,STOCKPORT BED & SO,Care Payments,Social Community Care Supplies & Services  ,19.03.2018,16.04.2018,GPC03180000153,80.00,,,
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,19.03.2018,16.04.2018,GPC03180000154,18.35,,,
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Care Payments,Social Community Care Supplies & Services  ,19.03.2018,16.04.2018,GPC03180000155,12.65,,,
Stockport MBC,Services to People,Childrens & Educational Services,WWW.MANCHESTER.GOV.UK,Care Payments,Social Community Care Supplies & Services  ,14.03.2018,16.04.2018,GPC03180000156,22.00,,,
Stockport MBC,Services to People,Childrens & Educational Services,WWW.STOCKPORT.GOV.UK,Care Payments,Social Community Care Supplies & Services  ,15.03.2018,16.04.2018,GPC03180000157,10.00,,,
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,15.03.2018,16.04.2018,GPC03180000158,98.70,,,
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,15.03.2018,16.04.2018,GPC03180000159,76.30,,,
Stockport MBC,Services to People,Childrens & Educational Services,PREMIER INN44011920,Third party payments - Private/Voluntary Sector,Social Community Care Supplies & Services  ,14.03.2018,16.04.2018,GPC03180000160,106.99,,,
Stockport MBC,Services to People,Childrens & Educational Services,PREMIER INN44521330,Third party payments - Private/Voluntary Sector,Social Community Care Supplies & Services  ,14.03.2018,16.04.2018,GPC03180000161,64.00,,,
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,14.03.2018,16.04.2018,GPC03180000162,28.35,,,
Stockport MBC,Services to People,Childrens & Educational Services,FLYBED6TS D6TS0P,Travelling Expenses,Human Resources Travel & Subsistence ,14.03.2018,16.04.2018,GPC03180000163,138.99,,,
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,13.03.2018,16.04.2018,GPC03180000164,97.50,,,
Stockport MBC,Services to People,Childrens & Educational Services,WORKWEAR EXPRESS LIMIT,Clothing Uniforns and Laundry,Clothing  ,12.03.2018,16.04.2018,GPC03180000165,638.44,,,
Stockport MBC,Services to People,Childrens & Educational Services,STOCKPORT VILLAGE NURS,Travelling Expenses,Human Resources Travel & Subsistence ,09.03.2018,16.04.2018,GPC03180000166,320.00,,,
Stockport MBC,Services to People,Childrens & Educational Services,BOULDER,Care Payments,Social Community Care Supplies & Services  ,09.03.2018,16.04.2018,GPC03180000167,9.00,,,
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON UK MARKETPLACE,Care Payments,Social Community Care Supplies & Services  ,08.03.2018,16.04.2018,GPC03180000168,6.99,,,
Stockport MBC,Services to People,Childrens & Educational Services,BLACKBURN W DAR BC ATP,Care Payments,Social Community Care Supplies & Services  ,08.03.2018,16.04.2018,GPC03180000169,-21.50,,,
Stockport MBC,Services to People,Childrens & Educational Services,WWW.MANCHESTER.GOV.UK,Care Payments,Social Community Care Supplies & Services  ,06.03.2018,16.04.2018,GPC03180000170,11.00,,,
Stockport MBC,Services to People,Childrens & Educational Services,WWW.BLACKBURN.GOV.UK R,Care Payments,Social Community Care Supplies & Services  ,06.03.2018,16.04.2018,GPC03180000171,21.50,,,
Stockport MBC,Services to People,Childrens & Educational Services,FLYBE.COM BTWYG4       0,Travelling Expenses,Human Resources Travel & Subsistence ,06.03.2018,16.04.2018,GPC03180000172,111.99,,,
Stockport MBC,Services to People,Childrens & Educational Services,FLYBEBTXG BTXGZ3,Care Payments,Social Community Care Supplies & Services  ,06.03.2018,16.04.2018,GPC03180000173,288.98,,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,27.03.2018,16.04.2018,GPC03180000174,31.28,,,
Stockport MBC,Services to People,Childrens & Educational Services,TESCO STORES 3378,Catering Supplies,Catering Food & Beverages ,26.03.2018,16.04.2018,GPC03180000175,6.45,,,
Stockport MBC,Services to People,Childrens & Educational Services,TESCO STORES 3378,Furniture and Equipment,Furniture & Soft Furnishings  ,26.03.2018,16.04.2018,GPC03180000176,9.50,,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,20.03.2018,16.04.2018,GPC03180000177,54.91,,,
