"ï»¿""Species""",EspÃ¨ces,Infection,Infection.1,Date Confirmed/Date de confirmation,Location,Lieu,Animal type infected,Type d'animal infectÃ©,Scientific Name,Nom scientifique,Note,Note.1
Finfish,Poissons,Infectious salmon anaemia,AnÃ©mie infectieuse du saumon,2015-02-25,New Brunswick,Nouveau-Brunswick,Atlantic salmon,Saumon de l'Atlantique,Salmo salar,Salmo salar,This virus strain is not known to cause disease,La souche virale n'est pas reconnue comme agent causal de maladie
Finfish,Poissons,Infectious salmon anaemia,AnÃ©mie infectieuse du saumon,2015-12-05,Prince Edward Island,Ãle-du-Prince-Ãdouard,Atlantic salmon,Saumon de l'Atlantique,Salmo salar,Salmo salar,This virus strain is not known to cause disease,La souche virale n'est pas reconnue comme agent causal de maladie
Finfish,Poissons,Koi herpesvirus disease,HerpÃ¨svirose de la carpe koÃ¯,2015-10-07,Ontario,Ontario,Koi carp,Carp koÃ¯,Cyprinus carpio koi,Cyprinus carpio koi,,
Molluscs,Mollusques,Haplosporidium nelsoni,Haplosporidium nelsoni,2014-08-08,Nova Scotia,Nouvelle-Ãcosse,American oyster,HuÃ®tre amÃ©ricaine,Crassostrea virginica,Crassostrea virginica,,
Finfish,Poissons,Infectious pancreatic necrosis,NÃ©crose pancrÃ©atique infectieuse,2014-12-12,Nova Scotia,Nouvelle-Ãcosse,Rainbow trout,Truite arc-en-ciel,Oncorhynchus mykiss,Oncorhynchus mykiss,,
Finfish,Poissons,Infectious pancreatic necrosis,NÃ©crose pancrÃ©atique infectieuse,2014-11-21,Nova Scotia,Nouvelle-Ãcosse,Rainbow trout,Truite arc-en-ciel,Oncorhynchus mykiss,Oncorhynchus mykiss,,
Finfish,Poissons,Infectious pancreatic necrosis,NÃ©crose pancrÃ©atique infectieuse,2014-11-21,Quebec,QuÃ©bec,Rainbow trout,Truite arc-en-ciel,Oncorhynchus mykiss,Oncorhynchus mykiss,,
Finfish,Poissons,Infectious pancreatic necrosis,NÃ©crose pancrÃ©atique infectieuse,2014-06-12,Quebec,QuÃ©bec,Brook trout,Omble de fontaine,Salvelinus fontinalis,Salvelinus fontinalis,,
Finfish,Poissons,Infectious pancreatic necrosis,NÃ©crose pancrÃ©atique infectieuse,2014-05-08,Nova Scotia,Nouvelle-Ãcosse,Rainbow trout,Truite arc-en-ciel,Oncorhynchus mykiss,Oncorhynchus mykiss,,
Finfish,Poissons,Infectious pancreatic necrosis,NÃ©crose pancrÃ©atique infectieuse,2014-03-14,Nova Scotia,Nouvelle-Ãcosse,Rainbow trout,Truite arc-en-ciel,Oncorhynchus mykiss,Oncorhynchus mykiss,,
Finfish,Poissons,Infectious pancreatic necrosis,NÃ©crose pancrÃ©atique infectieuse,2014-02-14,New Brunswick,Nouveau-Brunswick,Arctic char,Omble chevalier,Salvelinus alpinus,Salvelinus alpinus,,
Finfish,Poissons,Infectious salmon anaemia,AnÃ©mie infectieuse du saumon,2014-11-28,Newfoundland,Terre-Neuve,Atlantic salmon,Saumon de l'Atlantique,Salmo salar,Salmo salar,This virus strain is not known to cause disease,La souche virale n'est pas reconnue comme agent causal de maladie
Finfish,Poissons,Infectious salmon anaemia,AnÃ©mie infectieuse du saumon,2014-10-17,New Brunswick,Nouveau-Brunswick,Atlantic salmon,Saumon de l'Atlantique,Salmo salar,Salmo salar,This virus strain is not known to cause disease,La souche virale n'est pas reconnue comme agent causal de maladie
Finfish,Poissons,Infectious salmon anaemia,AnÃ©mie infectieuse du saumon,2014-06-23,New Brunswick,Nouveau-Brunswick,Atlantic salmon,Saumon de l'Atlantique,Salmo salar,Salmo salar,This virus strain is not known to cause disease,La souche virale n'est pas reconnue comme agent causal de maladie
Finfish,Poissons,Infectious salmon anaemia,AnÃ©mie infectieuse du saumon,2014-06-23,New Brunswick,Nouveau-Brunswick,Atlantic salmon,Saumon de l'Atlantique,Salmo salar,Salmo salar,This virus strain is not known to cause disease,La souche virale n'est pas reconnue comme agent causal de maladie
Finfish,Poissons,Infectious salmon anaemia,AnÃ©mie infectieuse du saumon,2014-06-23,Nova Scotia,Nouvelle-Ãcosse,Atlantic salmon,Saumon de l'Atlantique,Salmo salar,Salmo salar,This virus strain is not known to cause disease,La souche virale n'est pas reconnue comme agent causal de maladie
