ï»¿Terme_de_recherche,Nombre_total_de_recherches_uniques,Pages_vues_(resultats)_par_recherche,Sorties_apres_recherche_(%),Precision_des_recherches_(%),Temps_apres_recherche,Etendue_moy._de_la_recherche
massages des jambes lourdes,42,1.02,0.00%,90.70%,48.88,2.19
nxworries,42,1.05,0.00%,97.73%,27.48,1.6
selfies,42,1.02,2.38%,74.42%,55.48,3.07
((TypeOfDocumentFacet=Livres_numeriques) and (TypeContentLimit=romans) not ((OFF=f) or (OFF=s))) not RELB=m,41,1.32,2.44%,35.19%,449.07,16.63
star wars,41,1.54,2.44%,44.44%,290.29,12.1
727.8,40,1.55,10.00%,19.35%,1674.75,34.08
clark death peak,40,1.05,7.50%,90.48%,43.8,0.8
Guillaume musso,40,1.5,2.50%,40.00%,210.75,7.23
hval,40,1.03,5.00%,95.12%,69.58,2.03
creer a son meilleur,39,1.0,0.00%,92.31%,26.08,1.95
future islands field,39,1.03,0.00%,100.00%,22.64,1.18
la veuve,39,1.1,7.69%,65.12%,141.13,3.62
new pornographers conditions,39,1.03,0.00%,97.50%,37.31,1.51
bob dylan,38,1.18,23.68%,37.78%,274.16,6.26
harmonie,38,1.08,0.00%,90.24%,88.0,10.05
javascript,38,1.34,0.00%,35.29%,446.92,8.21
nier,38,1.13,18.42%,23.26%,128.53,3.37
doctor strange,37,1.24,0.00%,56.52%,245.32,7.81
heartworms,37,1.03,2.70%,97.37%,29.76,1.27
james patterson,36,1.06,2.78%,50.00%,338.81,10.69
michel onfray,36,1.42,8.33%,41.18%,353.06,9.36
Figaro magazine,34,1.15,0.00%,10.26%,14.26,1.74
Guillaume Musso,34,1.32,2.94%,48.89%,276.24,9.71
david bowie no plan,33,1.03,6.06%,94.12%,33.58,2.24
inhumaines,33,1.12,36.36%,27.03%,15.85,0.85
Madame figaro,33,1.06,0.00%,62.86%,22.52,2.39
manchester by the sea,33,1.12,3.03%,67.57%,106.91,4.79
martin michaud,33,1.48,0.00%,38.78%,433.27,11.55
adler olsen,32,1.0,3.13%,87.50%,176.88,6.19
c,32,1.19,0.00%,52.63%,200.06,6.44
expo 67,32,1.72,9.38%,38.18%,348.88,10.06
geoffroy,32,1.06,0.00%,97.06%,45.03,1.72
Lion,32,1.06,18.75%,67.65%,138.5,3.59
poldark,32,1.31,18.75%,40.48%,277.91,6.53
portugal,32,1.28,6.25%,56.10%,287.5,9.31
the walking dead,32,1.19,0.00%,55.26%,159.97,6.97
webgl,32,1.03,3.13%,0.00%,361.03,1.84
fantastic beasts,31,1.45,3.23%,42.22%,192.16,8.06
inferno,31,1.19,0.00%,62.16%,231.48,6.68
La femme qui fuit,31,2.19,0.00%,19.12%,252.29,7.97
