COMPANY NAME,COUNTY,TOWN,API WELL NUMBER,WELL NAME,WELL STATUS CODE,WELL TYPE CODE,SURFACE LONGITUDE,SURFACE LATITUDE
Sandy Creek Oil & Gas,Oswego,Sandy Creek,31075000000000,Hollis H Robbins 1,UL,GD,-76.05311,43.64247
Unknown,Cattaraugus,Allegany,31009700000000,KC 92,UN,NL,-78.49101,42.024029
Unknown,Allegany,Bolivar,31003700000000,Dunn P 34,UM,NL,-78.15345,42.058128
Unknown,Cattaraugus,Allegany,31009700000000,KC 229,UN,NL,-78.50861,42.015716999999995
Unknown,Oswego,Sandy Creek,31075600000000,Lewis U2,UL,GD,-76.05559000000001,43.6528
"Lee Oil Company, Inc.",Steuben,West Union,31101600000000,Austin 283,UL,NL,-77.7041,42.092290000000006
Unknown,Cattaraugus,Allegany,31009700000000,KC 518,UM,NL,-78.52412,42.002781
Reservation Gas,Chautauqua,Hanover,31013000000000,Navaro William 1,UM,GD,-79.11674000000001,42.56139
Unknown,Cattaraugus,Allegany,31009700000000,KC 571,UN,NL,-78.52599000000001,42.004996999999996
NYS Natural Gas Corp.,Ontario,Phelps,31069000000000,Shefke P 0,UM,GD,-76.97352,42.92167
"Lee Oil Company, Inc.",Steuben,West Union,31101100000000,Rex O-417,UL,OD,-77.69542,42.09151
Unknown,Erie,Lancaster,31029600000000,Perry 1,UL,GD,-78.62299,42.91222
NYS Natural Gas Corp.,Ontario,Phelps,31069000000000,Smith Donald 0,UM,GD,-76.97633,42.92139
Unknown,Cattaraugus,Allegany,31009700000000,KC 900,UN,NL,-78.54094,42.005871
Norris Oil Co.,Cattaraugus,Olean,31009700000000,Barnum Weston - M,UL,OD,,
Unknown,Cattaraugus,Allegany,31009700000000,KC 254,UN,NL,-78.51175,42.007305
Tobey Oil Gas & Mineral,Chemung,Big Flats,31015000000000,Tobey 4,UM,DW,-76.90786,42.0985
Unknown,Allegany,Alma,31003700000000,Root F 130,UM,NL,-78.0581,42.061596
Unknown,Allegany,Alma,31003700000000,Root F 271,UM,NL,-78.0556,42.064598
"Cabot, G.L.",Steuben,Cameron,31101000000000,Owens 1,UL,DW,-77.41689000000001,42.15015
"Lee Oil Company, Inc.",Steuben,West Union,31101600000000,McKinley U10,UL,OD,-77.70744,42.08914
Unknown,Allegany,Wirt,31003700000000,PYR 16,UL,NL,-78.17659,42.09026
Unknown,Allegany,Bolivar,31003700000000,Arbogast J 49,UN,NL,-78.14985,42.076187
Unknown,Cattaraugus,Allegany,31009700000000,KC 126,UN,NL,-78.49419,42.017483
