Greener Homes Program - Eligible Ground Source Heat Pumps,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,,,,,,,,,,
Note- Direct Expansion systems are not eligible,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
CL- Closed loop,,,,,,,,,,,,,,,,
OL - Open loop,,,,,,,,,,,,,,,,
COP - Coefficient of performance,,,,,,,,,,,,,,,,
,,,CLOSED LOOP (CL),,,,,,OPEN LOOP (OL),,,,,,,
AHRI Certified Reference No.,Brand name,Model number,"CL Cooling capacity
kW", CL Cooling capacity Btu/hour,"CL Heating capacity
kW","CL Heating capacity
Btu/hour",CL COP cooling ,CL COP heating,"OL Cooling capacity
kW","OL Cooling capacity
Btu/hour","OL Heating capacity 
kW","OL Heating capacity
Btu/hour",OL COP cooling,OL COP heating,,
8560932,Tetco,TVS012,3.49,11900,2.75,9400,5.3,3.6,3.93,13400,3.55,12100,7.06,4.3,,
8560935,Tetco,TVS012*A,3.49,11900,2.75,9400,4.57,3.2,3.93,13400,3.55,12100,6.15,3.8,,
8560940,Tetco,TVS015,4.69,16000,3.4,11600,5.8,4.1,5.13,17500,4.28,14600,8.44,5.1,,
8560948,Tetco,TVS015*****1,4.69,16000,3.37,11500,6.54,4.3,5.1,17400,4.22,14400,9.26,5.4,,
8560943,Tetco,TVS015*A,4.69,16000,3.4,11600,5.8,4.1,5.13,17500,4.28,14600,8.44,5.1,,
8560951,Tetco,TVS015*A***1,4.69,16000,3.37,11500,6.54,4.3,5.1,17400,4.22,14400,9.26,5.4,,
7170604,Tetco,TVS018,6.27,21400,4.78,16300,5.86,3.9,6.8,23200,5.89,20100,8.06,5,,
7523958,Tetco,TVS018*****1,6.36,21700,4.6,15700,6.51,4.1,6.8,23200,5.74,19600,8.94,5.3,,
7519548,Tetco,TVS018*A,6.27,21400,4.78,16300,5.86,3.9,6.8,23200,5.89,20100,8.06,5,,
7523961,Tetco,TVS018*A***1,6.36,21700,4.6,15700,6.51,4.1,6.8,23200,5.74,19600,8.94,5.3,,
7170608,Tetco,TVS024,7.62,26000,5.69,19400,5.77,4,8.24,28100,7.09,24200,7.62,4.9,,
7519756,Tetco,TVS024*****1,7.91,27000,5.66,19300,6.33,4.2,8.62,29400,7.03,24000,8.65,5.1,,
7519554,Tetco,TVS024*2,7.62,26000,5.69,19400,5.77,4,8.24,28100,7.09,24200,7.62,4.9,,
7519774,Tetco,TVS024*2***1,7.91,27000,5.66,19300,6.33,4.2,8.62,29400,7.03,24000,8.65,5.1,,
