"Name (Firstname, Surname)",Start date of trip (DD/MM/YYYY),Duration of Visit (Days),Destination,Purpose of trip,Mode of transport,Class of travel,Accomodation/Meals,Other (including hospitality given),"Total cost, including all visas, accommodation, travel, meals etc. (£)",Total Cost of Use of Official Secure Car
Alexksei  Doroshko ,2019-01-30,1,Sheffield office,Engineering Senior Leadership Team Meeting,,Standard,£5.00,Nil return,£5.00,Nil return
Alexksei  Doroshko ,2019-01-31,1,Sheffield office,Engineering Senior Leadership Team Meeting,,Standard,£5.00,Nil return,£5.00,Nil return
Alexksei  Doroshko ,2019-01-31,1,London St Pancras,Meetings with colleagues and team,Rail,Standard,Nil return,Nil return,£79.00,Nil return
Alexksei  Doroshko ,2019-02-05,2,Manchester,,,Standard,£106.60,Nil return,£196.20,Nil return
Alexksei  Doroshko ,2019-02-05,1,Manchester Piccadilly,Continuous Integration Pipeline Delivery Sprint 3 Demo Meeting,Rail ,Standard,Nil return,Nil return,£89.60,Nil return
Alexksei  Doroshko ,2019-02-21,2,Sheffield,Learning & Development Training,Rail,Standard,Nil return,Nil return,£144.40,Nil return
Alexksei  Doroshko ,2019-02-21,1,Office to overnight stay,Learning & Development Training,Taxi,Standard,Nil return,Nil return,£8.80,Nil return
Alexksei  Doroshko ,2019-02-22,1,Overnight stay to railway station,Learning & Development Training, Taxi,Standard,Nil return,Nil return,£8.60,Nil return
Alexksei  Doroshko ,2019-02-26,1,Sheffield,Digital Executive Team Meeting,Rail,Standard,Nil return,Nil return,£81.50,Nil return
Alexksei  Doroshko ,2019-02-26,1,Sheffield,Digital Executive Team Meeting,Rail,Standard,Nil return,Nil return,£100.50,Nil return
Alexksei  Doroshko ,2019-02-26,1,Railway station to overnight stay,Digital Executive Team Meeting,Taxi,Standard,£4.90,Nil return,£14.90,Nil return
Alexksei  Doroshko ,2019-02-27,1,Leeds,Digital Executive Team Meeting, Rail,Standard,£4.90,Nil return,£16.50,Nil return
Alexksei  Doroshko ,2019-02-27,1,London Kings Cross,Meetings with colleagues and team,Rail,Standard,Nil return,Nil return,£112.50,Nil return
Alexksei  Doroshko ,2019-02-27,1,Sheffield,Meetings with colleagues and team,Rail,Standard,Nil return,Nil return,£17.40,Nil return
Alexksei  Doroshko ,2019-02-27,1,Sheffield railway station to overnight stay,Meetings with colleagues and team, Taxi,Standard,Nil return,Nil return,£11.50,Nil return
Alexksei  Doroshko ,2019-02-27,1,Overnight stay to Sheffield railway station,Meetings with colleagues and team,Taxi,Standard,Nil return,Nil return,£8.60,Nil return
Alexksei  Doroshko ,2019-02-28,1,Sheffield office,Meetings with colleagues and team,Bus,Standard,Nil return,Nil return,£2.00,Nil return
Alexksei  Doroshko ,2019-02-28,1,Nil return,Meetings with colleagues and team,,Standard,£4.90,Nil return,£100.00,Nil return
Alexksei  Doroshko ,2019-02-28,1,London St Pancras,Learning & Development Training, Rail,Standard,Nil return,Nil return,£95.10,Nil return
Alexksei  Doroshko ,2019-03-19,2,Sheffield,Meetings with colleagues and team,£94.00 - Rail,Standard,Nil return,Nil return,£119.70,Nil return
Alexksei  Doroshko ,2019-03-19,1,Sheffield railway station to overnight stay,Meetings with colleagues and team,£11.00 - Taxi,Standard,Nil return,Nil return,,Nil return
Alexksei  Doroshko ,2019-03-20,1,Sheffield office,Meetings with colleagues and team,£4.70 - Bus,Standard,Nil return,Nil return,£4.70,Nil return
Alexksei  Doroshko ,2019-03-21,1,Overnight stay to Sheffield railway station,Meetings with colleagues and team,£10.00 - Taxi,Standard,Nil return,Nil return,£10.00,Nil return
Nick Joicey,2019-01-21,2,Liverpool,Government Finance Function Event,Rail,Standard,£80.10,Nil return,£288.00,Nil return
Nick Joicey,2019-02-02,2,Manchester,Finance Executive Team meeting / Openshaw JCP visit,Rail,Standard,£78.60,Nil return,£168.20,Nil return
Nick Joicey,2019-03-20,1,Birmingham,Team meeting / Ravenhurst UC Centre visit  / Summer School mid-year event,Rail,Standard,Nil return,Nil return,£178.00,Nil return
Nick Joicey,2019-03-27,2,Sheffield,Finance Executive Team meeting / Cavendish Court JCP visit,Rail,Standard,£85.60,Nil return,£241.15,Nil return
Jane Cunliffe,2019-02-04,2,Sheffield/Leeds,Meeting with Staff,Rail/Tube,Standard,£72.48,Nil return,£179.93,Nil return
Jane Cunliffe,2019-02-18,2,Newcastle,Meeting with Staff,Rail/Tube,Standard,£81.95,Nil return,£261.93,Nil return
Jane Cunliffe,2019-02-26,3,Manchester/Blackpool,FET Meeting/meeting with staff,Rail/Tube,Standard,£114.78,Nil return,£269.98,Nil return
Jane Cunliffe,2019-03-07,1,Birmingham,Directorate away day,Rail/Tube,Standard,Nil return,Nil return,£111.20,Nil return
Jane Cunliffe,2019-03-27,2,Sheffield,FET Meeting/meeting with staff,Rail/Tube,Standard,£93.09,Nil return,£204.69,Nil return
Tara Smith,2019-01-17,1,Newcastle,Technical Accounting training event,Rail,Standard,£5.00,Nil return,£102.00,Nil return
Tara Smith,2019-01-21,1,,Professional fees - ICAI,Nil return,Nil return,Nil return,Nil return,£396.00,Nil return
Tara Smith,2019-01-22,2,Liverpool,Government Finance Function Event ,Rail,      Standard,Nil return,Nil return,£86.10,Nil return
Tara Smith,2019-01-30,2,London,Finance Executive Team meeting,Rail,Standard,£151.60,Nil return,£349.85,Nil return
Tara Smith,2019-02-04,1,London,Executive Team Meeting,Rail,      Standard,£10.00,Nil return,£291.80,Nil return
Tara Smith,2019-02-20,1,London,Interviewing,Rail,Standard,£5.00,Nil return,£275.80,Nil return
Tara Smith,2019-02-26,1,London,Development Programme attendance,Rail,      Standard,£119.30,Nil return,£230.80,Nil return
Tara Smith,2019-02-27,2,Manchester,Finance Executive Team meeting,Rail,Standard,£108.00,Nil return,£311.80,Nil return
Tara Smith,2019-03-04,2,London,Interviewing and Development Programme attendance,Rail,Standard,£124.74,Nil return,£401.94,Nil return
Tara Smith,2019-03-20,1,London,Finance Leadership Group meeting,Rail,Standard,£4.00,Nil return,£275.15,Nil return
Tara Smith,2019-03-26,1,Manchester,Meeting with staff,Rail,Standard,Nil return,Nil return,£38.20,Nil return
Tara Smith,2019-03-27,1,Sheffield,Finance Executive Team meeting,Rail,Standard,£2.78,Nil return,£34.38,Nil return
Tom McCormack,2019-01-08,1,London Caxton House,Attendance at DWP Operational Executive Team Meeting,Rail,Standard,£5.00,Nil return,£361.60,Nil return
Tom McCormack,2019-01-21,1,Bishop Auckland,Meetings with Staff,Car,Standard,Nil return,Nil return,£43.20,Nil return
Tom McCormack,2019-01-23,2,Cardiff - onwards to Belfast,Meetings with Staff / Senior Leadership Team Meeting,"Rail, Car, Air, taxi",Standard,£105.20,Nil return,£533.19,Nil return
Tom McCormack,2019-01-29,1,Birkenhead ,Meetings with Staff,Car,,£5.00,Nil return,£101.32,Nil return
Tom McCormack,2019-02-04,1,London Caxton House,Meetings with Staff / Ministerial Meeting,"Car, Rail",Standard,£4.90,Nil return,£361.50,Nil return
Tom McCormack,2019-02-05,2,London Caxton House - onwards to Ravenhurst,"Attendance at DWP Operational Executive Team Meeting / 
Meetings with Staff","Car, Rail",Standard,£123.09,Nil return,£458.69,Nil return
Tom McCormack,2019-03-05,1,London Caxton House,Attendance at DWP Operational Executive Team Meeting,"Car, Rail",Standard,£4.60,Nil return,£360.30,Nil return
Tom McCormack,2019-03-13,2,Kennington Park JCP London - onwards to Gravesend,DWP SCS Event / Meetings with Staff,"Car, Rail, Taxi",Standard,£123.30,Nil return,£518.40,Nil return
Tom McCormack,2019-03-19,3,London - onwards to Plymouth,"Attendance at DWP Operational Executive Team Meeting / 
Training /  Meetings with Staff","Car, Rail, Air",Standard,£279.60,Nil return,£783.32,Nil return
Margarita Morrison,2019-03-26,1,Stirling,Travel to train station,Car,Nil return,,3.5,£21.50,Nil return
Margarita Morrison,2019-03-26,1,Dundee,Visit Dundee Service Centre,Train,Economy,,,£32.00,Nil return
Margarita Morrison,2019-03-27,1,Alloa,Site visit to Alloa JCP,Car,Nil return,,,£23.40,Nil return
Margarita Morrison,2019-03-29,1,Stirling,Site Visit to stirling JCP,Car,Nil return,,,£17.10,Nil return
Denise Horsfall ,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
Carol Morris ,2019-01-15,2,Blackpool,Area Director Away Day,Rail & Taxi,Standard ,£95.80,Nil return,£163.90,Nil return
Carol Morris ,2019-01-31,1,Salisbury,South of England Senior Leadership Team,Rail,Standard ,Nil return,Nil return,£67.10,Nil return
Carol Morris ,2019-02-21,1,Basingstoke,Basingstoke Jobcentre Site Visit,Rail,Standard ,Nil return,Nil return,£24.80,Nil return
Carol Morris ,2019-02-26,1,Hastings,Hastings Jobcentre Site Visit,Rail,Standard ,Nil return,Nil return,£38.40,Nil return
Carol Morris ,2019-03-05,1,Canterbury,Canterbury Service Centre Site Visit,Rail,Standard ,Nil return,Nil return,£42.10,Nil return
Carol Morris ,2019-03-12,1,Bristol,Bristol Service Centre Site Visit,Rail & Taxi,Standard ,Nil return,Nil return,£249.50,Nil return
Carol Morris ,2019-03-27,2,Cardiff,Site Visit with Peter Schofield ,Rail,Standard ,£79.60,Nil return,£187.40,Nil return
Matt Briggs,2019-01-15,2,Cardiff,SCS SLT Event, Car Hire,Standard,£89.10,,£170.11,Nil return
Matt Briggs,2019-01-30,2,Newcastle,Leadership together event,Train,Standard,£93.58,,£413.58,Nil return
Matt Briggs,2019-02-27,2,Swindon,Leadership together event,Train & Car Hire,Standard,£75.60,,£196.06,Nil return
Matt Briggs,2019-03-06,1,Grantham,OAPI meeting,Train ,Standard,No,,£91.50,Nil return
Matt Briggs,2019-03-20,1,Leeds,Directorate Communication meeting,Train ,Standard,No,,£265.00,Nil return
Matt Briggs,2019-03-21,1,High Wycombe,Project management event,Car Hire,Standard,No,,£62.11,Nil return
Donna Ward,2019-01-31,1,Sheffield,Reducing Parental Conflict event/conference,Rail,Standard,Nil return,Nil return,£51.50,Nil return
Donna Ward,2019-02-27,1,Leeds,Directorate staff meetings,Rail,Standard,Nil return,Nil return,£125.75,Nil return
Donna Ward,2019-03-20,1,London to York,Employment Category conference,Rail,Standard,Nil return,Nil return,£186.00,Nil return
Charlotte Clark,2019-01-04,1,EC4Y 8AE,"Pre meet, Facilitating Inquiry workshop",Bus,Standard,Nil return,Nil return,£1.50,Nil return
Charlotte Clark,2019-01-08,1,EC4Y 8AE,Facilitating Inquiry workshop,Bus,Standard,Nil return,Nil return,£1.50,Nil return
Charlotte Clark,2019-01-08,1,EC4Y to Office,Travel to office,Bus,Standard,Nil return,Nil return,£1.50,Nil return
Charlotte Clark,2019-01-09,1,"Smart Pensions, Paddington W2 6LG",Talk at conference about largest DC schemes diversifying into infrastructure investment,Tube,Standard,Nil return,Nil return,£2.40,Nil return
Charlotte Clark,2019-01-16,1,Home to Dorking Station RH3 7AA,High Potential Development Scheme,Train,Standard,Nil return,Nil return,£12.30,Nil return
Charlotte Clark,2019-01-16,1,Dorking Station to RH3 7AA,High Potential Development Scheme,Taxi,Standard,Nil return,Nil return,£10.00,Nil return
Charlotte Clark,2019-01-17,1,Dorking to Waterloo,Home from Dorking,Train,Standard,Nil return,Nil return,£12.30,Nil return
Charlotte Clark,2019-02-01,1,Home to EC4A 4PA to Home,ET Organisational Design,Tube,Standard,Nil return,Nil return,£4.80,Nil return
Charlotte Clark,2019-02-05,1,Home to EC4M 5TA,Fidelity's third Women & Money Innovation Lab,Tube,Standard,Nil return,Nil return,£2.40,Nil return
Charlotte Clark,2019-02-05,1,EC4M 5TA to Office,Travel back to office,Tube,Standard,Nil return,Nil return,£2.40,Nil return
Charlotte Clark,2019-02-19,1,Home to Canary Wharf (NEST),Regular catch up with NEST,Tube,Standard,Nil return,Nil return,£2.40,Nil return
Charlotte Clark,2019-02-19,1,"Canary Wharf, National Employment Savings Trust to Office",Return to office,Tube,Standard,Nil return,Nil return,£2.40,Nil return
Charlotte Clark,2019-03-13,1,Office to Kennington Job Centre,Learning event,Bus,Standard,Nil return,Nil return,£1.50,Nil return
Charlotte Clark,2019-03-18,1,Office to Joint Industry Forum EC2N 1HQ,Regular meeting,Tube,Standard,Nil return,Nil return,£2.40,Nil return
Charlotte Clark,2019-03-18,1,Office to Joint Industry Forum EC2N 1HQ to Home,Return home,Tube,Standard,Nil return,Nil return,£2.40,Nil return
Charlotte Clark,2019-03-19,1,Caxton to Victoria Station,To get train to TPR in Brighton,Tube,Standard,Nil return,Nil return,£2.40,Nil return
Charlotte Clark,2019-03-20,1,Office to KornFerry Sw1Y 6QB,Personal Training/Coaching,Tube,Standard,Nil return,Nil return,£2.40,Nil return
Jonathan Mills,2019-01-10,1,Sheffield,Visit to Sheffield Policy hub,Rail,Standard,Nil return,Nil return,£65,Nil return
Jonathan Mills,2019-01-17,1,Leeds,Visit to Leeds Policy Hub,Rail,Standard,Nil return,Nil return,£138,Nil return
Jonathan Mills,2019-02-27,1,Leeds,Digital Leaders event in Leeds,Rail,Standard,Nil return,Nil return,£84.50,Nil return
Jonathan Mills,2019-03-07,1,Cambridge,Cambridge Skills Advisory Panel - Jonathan attends these quarterly,Rail,Standard,Nil return,Nil return,£50.20,Nil return
Jonathan Mills,2019-03-13,1,Leeds,People performance training in Leeds,Rail,Standard,Nil return,Nil return,£113,Nil return
Jonathan Mills,2019-03-28,1,Sheffield,Visit to Sheffield Policy hub,Rail,Standard,Nil return,Nil return,£98.50,Nil return
Graeme Wallace ,2019-01-07,2,London ,Meeting with Operational Executive team ,Train ,Standard,£155.60,Nil return,£395.80,Nil return
Graeme Wallace ,2019-01-14,2,London ,Visit to team in Balham ,Train ,Standard,£150.09,Nil return,£408.99,Nil return
Graeme Wallace ,2019-01-21,1,Leeds,Training event in Leeds ,Train ,Standard,£4.99,Nil return,£159.19,Nil return
Graeme Wallace ,2019-01-29,1,Sunderland ,Training event in Sunderland ,Car,,£4.99,Nil return,£31.79,Nil return
Graeme Wallace ,2019-02-04,2,London ,Meeting with Operational Executive team ,Train ,Standard,152.73,Nil return,£513.93,Nil return
Graeme Wallace ,2019-02-17,2,London ,Meeting with Line Manager - end of year,Train ,Standard,£150.94,Nil return,£409.34,Nil return
Graeme Wallace ,2019-03-26,1,Benton Park View ,Meeting with Programme Board ,Car,,Nil return,Nil return,£1.35,Nil return
Mary Pattison,2019-02-19,2,Edinburgh,Meeting with Scottish Government ,Train,Standard,£47.85,Nil return,£148.85,Nil return
Mary Pattison,2019-03-25,1,Sheffield,Staff meeting,Train,Standard,Nil return,Nil return,£98.50,Nil return
Richard Cornish ,2019-01-03,2,Newcastle ,Staff Visit ,Rail,Standard ,£99.49,Nil return,£281.19,Nil return
Richard Cornish ,2019-01-08,1,London,Executive Team Meeting ,Rail,Standard ,Nil return,Nil return,£40.80,Nil return
Richard Cornish ,2019-01-14,4,Manchester/Oldham,Meetings with staff and staff Engagement,Rail,Standard ,£273.69,Nil return,£553.09,Nil return
Richard Cornish ,2019-01-21,1,London,Meetings with staff and External Stakeholders,Rail,Standard,Nil return,Nil return,£55.00,Nil return
Richard Cornish ,2019-01-23,2,Birmingham,Team Conference,Rail,Standard ,£95.60,Nil return,£282.00,Nil return
Richard Cornish ,2019-02-05,1,London,Executive Team Meeting ,Rail,Standard ,Nil return,Nil return,£40.80,Nil return
Richard Cornish ,2019-02-06,1,London ,Meeting with External Stakeholder,Rail,Standard ,Nil return,Nil return,£55.00,Nil return
Richard Cornish ,2019-02-07,2,Dorking,Training,Car Hire,Standard ,Nil return,Nil return,£90.30,Nil return
Richard Cornish ,2019-02-11,4,"Glasgow, Scotland",Staff Engagement and Executive Team Meeting,Rail/Air,Standard ,£295.10,Nil return,£888.44,Nil return
Richard Cornish ,2019-02-15,1,London,Training,Rail,Standard ,Nil return,Nil return,£40.80,Nil return
Richard Cornish ,2019-02-18,1,London,Meetings with Staff,Rail,Standard ,Nil return,Nil return,£40.80,Nil return
Richard Cornish ,2019-02-20,1,London,Meeting with external Stakeholder and staff,Rail,Standard ,Nil return,Nil return,£40.80,Nil return
Richard Cornish ,2019-02-21,2,Birmingham,Fraud Error and Debt Summit on Universal Credit,Rail,Standard ,Nil return,Nil return,£234.20,Nil return
Richard Cornish ,2019-02-22,3,London,Training,Rail,Standard ,Nil return,Nil return,£40.80,Nil return
Richard Cornish ,2019-02-26,4,London,Meetings with Staff ,Rail,Standard ,Nil return,Nil return,£40.80,Nil return
Richard Cornish ,2019-02-27,5,London,Meeting with Secretary of State ,Rail,Standard ,Nil return,Nil return,£40.80,Nil return
Richard Cornish ,2019-03-04,6,London,Meetings with staff,Rail,Standard ,Nil return,Nil return,£40.80,Nil return
Richard Cornish ,2019-03-05,7,London,Executive Team Meeting ,Rail,Standard ,Nil return,Nil return,£40.80,Nil return
Richard Cornish ,2019-03-06,8,London,Meetings with staff,Rail,Standard ,Nil return,Nil return,£40.80,Nil return
Richard Cornish ,2019-03-08,9,London,Executive Team Meeting ,Rail,Standard ,Nil return,Nil return,£40.80,Nil return
Richard Cornish ,2019-03-12,3,London/ Manchester/ Derne Valley,Meetings with staff/ Staff Engagement ,Rail,Standard ,£191.43,Nil return,£514.52,Nil return
Richard Cornish ,2019-03-15,1,London,Training,Rail,Standard ,Nil return,Nil return,£40.80,Nil return
Richard Cornish ,2019-03-18,1,London,Trade Union meeting,Rail,Standard ,Nil return,Nil return,£40.80,Nil return
Richard Cornish ,2019-03-27,1,Swindon,Conference,Rail,Standard ,Nil return,Nil return,£147.50,Nil return
Richard Cornish ,2019-03-29,1,London,Training,Rail,Standard ,Nil return,Nil return,£40.80,Nil return
Pete Searle,2019-01-16,1,London,Homelessness visits in London,Tube,Standard,Nil return,Nil return,£11.60,Nil return
Pete Searle,2019-01-16,1,London,Homelessness visits in London,Rail,Standard,Nil return,Nil return,£6.90,Nil return
Pete Searle,2019-01-28,1,Sheffield,Workplace adjustments Workshop,Rail,Standard,Nil return,Nil return,£52.50,Nil return
Pete Searle,2019-01-28,1,Sheffield,Workplace adjustments Workshop,Nil return,Standard,£90.60,Nil return,£90.60,Nil return
Pete Searle,2019-01-28,1,Sheffield,Workplace adjustments Workshop,Nil return,Nil return,£8.95,Nil return,£8.95,Nil return
Pete Searle,2019-01-28,1,Sheffield,Workplace adjustments Workshop,Tube,Standard,Nil return,Nil return,£14.20,Nil return
Pete Searle,2019-01-29,1,Sheffield,Workplace adjustments Workshop,Rail,Standard,Nil return,Nil return,£52.50,Nil return
Pete Searle,2019-01-29,1,Sheffield,Workplace adjustments Workshop,Nil return,Nil return,£5.00,Nil return,£5.00,Nil return
Pete Searle,2019-01-31,1,London,Workplace Implementation Group,Tubes,Standard,Nil return,Nil return,£6.60,Nil return
Pete Searle,2019-01-31,1,London,Workplace Implementation Group,Rail,Standard,Nil return,Nil return,£7.60,Nil return
Pete Searle,2019-03-13,3,Sheffield ,DfE-DWP Joint Locations meeting,Nil return,Nil return,£90.60,Nil return,£90.60,Nil return
Pete Searle,2019-03-13,3,Sheffield ,DfE-DWP Joint Locations meeting,Nil return,Nil return,£11.99,Nil return,£11.99,Nil return
Pete Searle,2019-03-13,3,Sheffield ,DfE-DWP Joint Locations meeting,Rail,Standard,Nil return,Nil return,£100.50,Nil return
Pete Searle,2019-03-13,3,Sheffield ,DfE-DWP Joint Locations meeting,Tube,Standard,Nil return,Nil return,£2.40,Nil return
Pete Searle,2019-03-14,1,Sheffield ,DfE-DWP Joint Locations meeting,Nil return,Nil return,£90.60,Nil return,£90.60,Nil return
Pete Searle,2019-03-14,1,Sheffield ,DfE-DWP Joint Locations meeting,Nil return,Nil return,£5.00,Nil return,£5.00,Nil return
Pete Searle,2019-03-14,1,Sheffield ,DfE-DWP Joint Locations meeting,Nil return,Nil return,£7.99,Nil return,£7.99,Nil return
Pete Searle,2019-03-15,1,Sheffield ,DfE-DWP Joint Locations meeting,Nil return,Nil return,£5.00,Nil return,£5.00,Nil return
Pete Searle,2019-03-15,1,Derby,DfE-DWP Joint Locations meeting,Rail,Standard,Nil return,Nil return,£9.40,Nil return
Pete Searle,2019-03-26,1,Sheffield,Senior Leadership Meeting,Nil return,Nil return,£90.60,Nil return,£90.60,Nil return
Pete Searle,2019-03-26,1,Sheffield,Senior Leadership Meeting,Rail,Standard,Nil return,Nil return,£82.50,Nil return
Pete Searle,2019-03-27,1,Sheffield,Senior Leadership Meeting,Nil return,Nil return,£90.60,Nil return,£90.60,Nil return
Pete Searle,2019-03-28,1,London,Senior Leadership Meeting,Rail,Standard,Nil return,Nil return,£52.50,Nil return
Emma Haddad,2019-01-24,1,Makerfield,Meetings with Staff,Rail,Standard,Nil return,Nil return,£192.80,Nil return
Emma Haddad,2019-01-15,2,Blackpool,Area Director's Away Day,"Rail, Taxi",Standard,£90.59,Nil return,£335.49,Nil return
Emma Haddad,2019-03-28,1,Salisbury,Speaking at a Conference,Rail,Standard,Nil return,Nil return,£45.60,Nil return
Debbie Alder,2019-01-10,2,Bootle,Health and Safety Executive /Bootle Service Centre Mtgs,Train,2nd,£103.90,Taxi 6.60,£250.00,Nil return
Debbie Alder,2019-03-06,2,Reading,Civil Service HR Conference,Train,2nd,£228.50,Taxi 8.90,£266.60,Nil return
Debbie Alder,2019-03-28,1,Leeds,Mental Health Conference,Train,2nd,Nil return,Nil return,£140.75,Nil return
Helen Pickles,2019-01-09,1,"Caxton House, London",Executive Team Meeting,Taxi/Rail,Standard,Nil return,Nil return,£282.00,Nil return
Helen Pickles,2019-01-15,1,"Caxton House, London",Meetings with staff,Taxi/Rail,Standard,£5.00,Nil return,£195.90,Nil return
Helen Pickles,2019-01-15,1,Cranfield University,Project Leadership Programme training,Hire car,Standard,Nil return,Nil return,£62.66,Nil return
Helen Pickles,2019-01-22,2,"Caxton House, London",Meetings with staff,Taxi/Rail,Standard,£142.95,Nil return,£419.95,Nil return
Helen Pickles,2019-01-25,1,Bootle Service Centre,Meetings with staff,Taxi/Rail,Standard,£4.60,Nil return,£66.00,Nil return
Helen Pickles,2019-01-28,1,"Caxton House, London",Meetings with staff,Taxi/Rail,Standard,£5.00,Nil return,£282.00,Nil return
Helen Pickles ,2019-02-01,1,"Deloittes LLP, London",Executive Team - Accelerated Solutions Event,Taxi/Rail,Standard,Nil return,Nil return,£291.80,Nil return
Helen Pickles,2019-02-04,2,"Caxton House, London ",Executive Team Meeting/Meetings with staff,Taxi/Rail,Standard,£99.50,Nil return,£376.50,Nil return
Helen Pickles,2019-02-19,1,"Kings Court, Sheffield",Meetings with staff,Own vehicle,Standard,Nil return,Parking Expenses,£4.00,Nil return
Helen Pickles,2019-02-26,2,Cranfield University,Project Leadership Programme training,Taxi/Rail,Standard,Nil return,Nil return,£310.50,Nil return
Helen Pickles,2019-03-07,2,"Caxton House, London",Executive Team Meeting/Meetings with staff,Rail,Standard,£135.99,Nil return,£407.99,Nil return
Helen Pickles,2019-03-12,2,"Caxton House, London",Meetings with staff,Taxi/Rail,Standard,£121.20,Nil return,£482.30,Nil return
Helen Pickles,2019-03-14,1,"Benton Park View, Newcastle",Meetings with staff,Taxi/Rail/Metro,Standard,Nil return,Nil return,£65.30,Nil return
Lorraine Jainudeen ,2019-01-07,1,Kings Court -Sheffield ,Attending Stocktake Meeting ,Rail,Standard,£5.00,£10.00 Taxi ,£15.00,Nil return
Lorraine Jainudeen ,2019-01-23,1,Quarry House Leeds ,Attending HR Ops SLT monthly meeting,Rail,Standard,Nil return,Nil return,£102.75,Nil return
Lorraine Jainudeen ,2019-02-05,2,Dorking ,Attending HPDS Residential Course ,Rail ,Standard,Nil return,Nil return,£25.40,Nil return
Susan Park,2019-01-03,1,Sunderland/ Grantham,Site Visit,Car,Standard,Nil return,Nil return,Nil return,£109.80
Susan Park,2019-01-10,1,Marylebone,Training Course,Rail,Standard,£3.55,Nil return,£32.50,£36.05
Susan Park,2019-01-11,1,Marylebone,Training Course,Rail,Standard,£5.24,Nil return,32.5,£37.74
Susan Park,2019-01-16,2,Sheffield,Hosting Leading Operations Event,Rail,Standard,£87.60,Nil return,£144.70,£232.20
Susan Park,2019-01-23,2,Glasgow,Site Visit,Flight / Taxi,Standard,£95.60,Nil return,£202.55,£298.15
Susan Park,2019-01-30,2,Newcastle,Site Visit / LOT,Rail,Standard,£102.04,Nil return,£105.20,£207.24
Susan Park,2019-02-01,1,Blackfriars,ASE event,Rail,Standard,Nil return,Nil return,£29.50,£29.50
Susan Park,2019-02-06,2,Corby/Leicester/Skegness,Site Visits,Private Mileage,Standard,£25.00,Nil return,£100.35,£125.35
Susan Park,2019-02-13,1,Bridgend,Aspire Event,Rail,Standard,£3.40,Nil return,£181.00,£184.40
Susan Park,2019-02-27,2,Swindon,Hosting Leading Operations Event,Rail,Standard,£100.60,Nil return,£75.90,£176.50
Susan Park,2019-03-13,1,Kennington Park,Ops SCS Together Event,Rail,Standard,Nil return,Nil return,£33.50,£33.50
Susan Park,2019-03-20,1,Birmingham / Leicester,Summer School / Site Visit,Rail,Standard,£5.00,Nil return,£132.90,£137.95
Karen Gosden ,2019-01-07,3,London,"Universal Credit Operations Executive team meetings, and meetings with staff",Rail,Standard,£234.60,Nil return,£454.10,Nil return
Karen Gosden ,2019-01-10,1,Birmingham,Meetings with Staff,Private User Car,Nil return,Nil return,Nil return,£10.20,Nil return
Karen Gosden ,2019-01-14,2,Cardiff,Meetings with Staff,Private User Car,Nil return,£99.60,Nil return,£116.00,Nil return
Karen Gosden ,2019-01-15,2,Blackpool (from evening),Executive team meeting,Private User Car,Nil return,£90.60,Nil return,£90.60,Nil return
Karen Gosden ,2019-01-17,1,London,Meeting with Staff,Rail,Standard,Nil return,Nil return,£203.50,Nil return
Karen Gosden ,2019-01-22,1,Birmingham,Meetings with Staff,Rail ,Standard,Nil return,Nil return,£28.00,Nil return
Karen Gosden ,2019-01-23,2,London,Executive team meeting/meetings with staff,Rail ,Standard,£150.60,Nil return,£362.10,Nil return
Karen Gosden ,2019-01-28,3,Wales (Cardiff/Bangor area),Meetings with Staff,Private User Car,Nil return,£167.40,Nil return,£176.70,Nil return
Karen Gosden ,2019-02-01,1,London,Executive team meeting,Rail,Standard,Nil return,Nil return,£203.50,Nil return
Karen Gosden ,2019-02-04,4,London,Infrastructure products authority review,Rail,Standard,£267.00,Nil return,£462.60,Nil return
Karen Gosden ,2019-02-11,1,Birmingham,Meetings with Staff,Rail,Standard,Nil return,Nil return,£28.00,Nil return
Karen Gosden ,2019-02-12,2,Birmingham,Meetings with Staff,Rail ,Standard,£81.85,Nil return,£136.15,Nil return
Karen Gosden ,2019-02-18,1,"Newport, Wales",Meetings with Staff,Rail,Standard,Nil return,Nil return,£130.75,Nil return
Karen Gosden ,2019-02-19,2,London,Executive team meeting and Away day,Rail ,Standard,£162.60,Nil return,£374.10,Nil return
Karen Gosden ,2019-02-21,1,Birmingham,Meetings with Staff,Private User Car,Nil return,Nil return,Nil return,£5.50,Nil return
Karen Gosden ,2019-03-05,2,London,Executive Team Meeting / Meetings with staff,Rail ,Standard,£149.60,Nil return,£362.60,Nil return
Karen Gosden ,2019-03-07,1,London,Meeting with Staff,Rail,Standard,Nil return,Nil return,£185.50,Nil return
Karen Gosden ,2019-03-11,2,Walsall/Wolverhampton,Meeting with Staff,Private User Car,Nil return,Nil return,Nil return,£11.90,Nil return
Karen Gosden ,2019-03-13,1,London,Executive team- senior civil service away day/event,Rail,Standard,Nil return,Nil return,£203.50,Nil return
Karen Gosden ,2019-03-14,1,Liverpool,Meeting with Staff,Private User Car,Nil return,Nil return,Nil return,£8.50,Nil return
Karen Gosden ,2019-03-18,1,Birmingham,Meeting with Staff,Rail,Standard,Nil return,Nil return,£28.00,Nil return
Karen Gosden ,2019-03-19,1,London,Executive Team Meeting,Rail,Standard,Nil return,Nil return,£211.50,Nil return
