CREATED,BIC NUMBER,ACCOUNT NAME,CITY,STATE,MARKET,APPLICATION TYPE
11/13/2018,FFM-136,"CAPTAIN BLUE, LLC",BRONX,NY,Hunts Point New Fulton Fish Market,Public Wholesale Market
04/06/2018,HPA-490684,"GOURMET GURU, INC.",BRONX,NY,Adjacent to Hunts Point Market,Public Wholesale Market
11/12/2020,BMM-20,"ALEX MEAT & PROVISION, INC.",BROOKLYN,NY,Brooklyn Wholesale Meat Market,Public Wholesale Market
10/31/2019,HPM-41,SCHUSTER MEAT CORPORATION,BRONX,NY,Hunts Point Meat Market,Public Wholesale Market
06/12/2020,HPP-483195,"GLOBAL BLOOM, LLC",BRONX,NY,Hunts Point Produce Market,Market Business
04/26/2019,HPA-485080,"REBECCA AMOAH COMPANY, INC",BRONX,NY,Adjacent to Hunts Point Market,Public Wholesale Market
05/06/2019,HPP-56,KATZMAN  BERRY CORP.,BRONX,NY,Hunts Point Produce Market,Public Wholesale Market
06/23/2017,HPA-9,"FLAMINGO SMOKED MEATS, INC.",BRONX,NY,Adjacent to Hunts Point Market,Public Wholesale Market
09/28/2018,HPM-11,"ENDICOTT MEATS, INC.",BRONX,NY,Hunts Point Meat Market,Public Wholesale Market
06/19/2020,HPA-498877,CASEIFICIO ITALIA CORP.,BRONX,NY,Adjacent to Hunts Point Market,Public Wholesale Market
09/16/2019,HPP-480238,"FADARO FANCY FOODS, CORP.",HAWORTH,NJ,Hunts Point Produce Market,Public Wholesale Market
06/17/2020,BMM-14,"CHOWS BROTHERS WHOLESALE MEAT CO., INC.",BROOKLYN,NY,Brooklyn Wholesale Meat Market,Public Wholesale Market
11/07/2018,HPM-8,C & C MEATS CORPORATION,POUGHKEEPSIE,NY,Hunts Point Meat Market,Public Wholesale Market
02/28/2020,HPA-492186,LOS POLINES PRODUCE CORP,BRONX,NY,Adjacent to Hunts Point Market,Public Wholesale Market
08/13/2019,HPM-10,DESOLA PROVISIONS CORP.,BRONX,NY,Hunts Point Meat Market,Public Wholesale Market
09/06/2019,HPP-476284,SOUTH SIDE GOURMET CORP.,BRONX,NY,Hunts Point Produce Market,Public Wholesale Market
09/19/2019,FFM-152,MEADE DIGITAL ENTERPRISES CORP.,BRONX,NY,Hunts Point New Fulton Fish Market,Public Wholesale Market
02/22/2021,HPP-181,3 J'S TRUCKING LLC,BRONX,NY,Hunts Point Produce Market,Market Business
11/08/2017,HPP-6,"A.J. TRUCCO, INC.",BRONX,NY,Hunts Point Produce Market,Public Wholesale Market
11/20/2019,GMM-3,LONDON MANHATTAN CORP.,NEW YORK,NY,Gansevoort Meat Market,Public Wholesale Market
04/06/2017,FFM-103,JMS SEASONAL SEAFOOD CORP.,BRONX,NY,Hunts Point New Fulton Fish Market,Public Wholesale Market
11/09/2017,HPP-149,EA COMPANY,BRONX,NY,Hunts Point Produce Market,Market Business
04/14/2021,HPM-490995,CCM FOOD SERVICE LLC,BRONX,NY,Hunts Point Meat Market,Public Wholesale Market
02/06/2019,HPA-31,"LOBOY FOODS, INC.",BRONX,NY,Adjacent to Hunts Point Market,Public Wholesale Market
01/16/2018,HPM-70,BETTER MEAT WHOLESALE CORP.,TEANECK,NJ,Hunts Point Meat Market,Market Business
08/15/2018,HPA-72,NO. 1 FISH INC.,BRONX,NY,Adjacent to Hunts Point Market,Public Wholesale Market
07/06/2020,HPM-44,"WEST SIDE FOODS, INC.",BRONX,NY,Hunts Point Meat Market,Public Wholesale Market
10/10/2018,HPP-485218,IGUA PRODUCE INC.,BROOKLYN,NY,Hunts Point Produce Market,Market Business
02/15/2021,HPP-128,PAN-HELLENIC FOOD OF N.Y. CORP.,BRONX,NY,Hunts Point Produce Market,Public Wholesale Market
08/03/2017,GMM-487693,TCL TRADING INC.,New York,NY,Gansevoort Meat Market,Public Wholesale Market
09/26/2018,BMM-20,"ALEX MEAT & PROVISION, INC.",BROOKLYN,NY,Brooklyn Wholesale Meat Market,Public Wholesale Market
04/05/2018,FFM-7,BEYER LIGHTNING FISH CO. INC.,BRONX,NY,Hunts Point New Fulton Fish Market,Public Wholesale Market
02/12/2021,HPA-18,BLUE STAR MEAT CORP,BRONX,NY,Adjacent to Hunts Point Market,Public Wholesale Market
04/16/2020,HPM-15,"GARDEN MANOR FARMS, INC.",BRONX,NY,Hunts Point Meat Market,Public Wholesale Market
09/26/2017,HPP-99,TOP BANANA LLC,BRONX,NY,Hunts Point Produce Market,Public Wholesale Market
12/26/2019,HPP-476284,SOUTH SIDE GOURMET CORP.,BRONX,NY,Hunts Point Produce Market,Public Wholesale Market
12/15/2020,HPP-103,"J. MARGIOTTA COMPANY, LLC",BRONX,NY,Hunts Point Produce Market,Public Wholesale Market
10/22/2020,FFM-490171,PACIFIC GOLD SEAFOOD INC.,BRONX,NY,Hunts Point New Fulton Fish Market,Wholesale Seafood
02/21/2020,FFM-130,"MEAT WITHOUT FEET, LLC",BRONX,NY,Hunts Point New Fulton Fish Market,Wholesale Seafood Delivery
11/22/2019,FFM-124,NEW FULTON FISH MARKET COOPERATIVE AT HUNTS POINT,BRONX,NY,Hunts Point New Fulton Fish Market,Trade Association
05/03/2018,HPP-74,"NY PRODUCE TRADE ASSOCIATION, INC.",BRONX,NY,Hunts Point Produce Market,Trade Association
10/25/2017,HPP-84,"ROBT. T. COCHRAN & CO., INCORPORATED",BRONX,NY,Hunts Point Produce Market,Public Wholesale Market
05/05/2020,FFM-85,"MT. SINAI FISH, INC.",BRONX,NY,Hunts Point New Fulton Fish Market,Public Wholesale Market
02/01/2018,HPM-485211,GLATT BOYS KOSHER MEAT INC.,BRONX,NY,Hunts Point Meat Market,Public Wholesale Market
01/03/2020,HPP-94,"YOLA FRUIT & PRODUCE DISTRIBUTORS, INC.",GARDEN CITY,NY,Hunts Point Produce Market,Public Wholesale Market
05/10/2021,BMM-32,SPRINGFIELD GROUP INC.,BROOKLYN,NY,Brooklyn Wholesale Meat Market,Public Wholesale Market
04/14/2021,HPA-76,THE LOBSTER PLACE INC.,BRONX,NY,Adjacent to Hunts Point Market,Wholesale Seafood
08/16/2017,FFM-41,EMERALD SEA FOOD COMPANY INC.,BRONX,NY,Hunts Point New Fulton Fish Market,Public Wholesale Market
02/17/2021,HPM-485211,GLATT BOYS KOSHER MEAT INC.,BRONX,NY,Hunts Point Meat Market,Public Wholesale Market
08/10/2020,HPP-56,KATZMAN  BERRY CORP.,BRONX,NY,Hunts Point Produce Market,Public Wholesale Market
05/07/2018,FFM-13,"JOE MONANI FISH COMPANY, INC.",BRONX,NY,Hunts Point New Fulton Fish Market,Public Wholesale Market
04/13/2017,BMM-4,"ORAZIO & SONS MEATS, INC.",BROOKLYN,NY,Brooklyn Wholesale Meat Market,Public Wholesale Market
10/10/2018,FFM-103,JMS SEASONAL SEAFOOD CORP.,BRONX,NY,Hunts Point New Fulton Fish Market,Public Wholesale Market
06/08/2020,HPM-36,"NEW YORK MEAT, INC.",BRONX,NY,Hunts Point Meat Market,Public Wholesale Market
07/11/2017,HPM-13,"FANCY FOODS, INC.",BRONX,NY,Hunts Point Meat Market,Public Wholesale Market
