animal_id,animal_type,primary_color,secondary_color,breed_group,animal_identity,age_now,age_long,tag_no,tag_type,vaccine
A567903,DOG,UNKNOWN,,,482843.0,,NO AGE,0A11684A4E,MICROCHIP,
A590806,CAT,CALICO,,SHORTHAIR,505723.0,2Y,2 YEARS,L16-011244,LIC 3Y,
A470415,DOG,GOLD,GOLD,SETTER/RETRIEVE,384744.0,15Y,15 YEARS,985121006854177,MICROCHIP,EASTPOINT
A608107,DOG,TAN,,TOY,522941.0,4Y,4 YEARS,L17-013169,LIC ALTERED,MAS
A604665,CAT,GRAY,,SHORTHAIR,519514.0,2Y,2 YEARS,,,
A583055,DOG,WHITE,BUFF,TOY,498012.0,3Y,3 YEARS,L16-044521,LIC ALTERED,
A615778,DOG,BLACK,,SPITZ,530530.0,12Y,12 YEARS,,,
A604157,DOG,WHITE,,MASTIFF,519017.0,,NO AGE,U16-46350,RAB VAC CERT.,
A596976,DOG,BLACK,,TOY,511901.0,9Y,9 YEARS,L17-033195,LIC ALTERED,
A584087,CAT,UNKNOWN,,SHORTHAIR,499045.0,,NO AGE,,,
A584335,DOG,WHITE,GRAY,TOY,499294.0,7Y,7 YEARS,985112006884915,MICROCHIP ADO,
A600992,DOG,BLACK,,SETTER/RETRIEVE,515901.0,7Y,7 YEARS,L16-023433,LIC UNALTERED,HILLVIEW
A591927,DOG,CREAM,,TOY,506840.0,5Y,5 YEARS,L16-026602,LIC 3Y,DEF3
A569650,DOG,BROWN,WHITE,SPITZ,484592.0,2Y,2 YEARS,L16-042528,LIC ALTERED,
A590364,DOG,BLACK,TAN,COLLIE,505280.0,2Y,2 YEARS,L16-049156,LIC ALTERED,
A550035,CAT,GRAY TABBY,,SHORTHAIR,464929.0,6Y,6 YEARS,U15-000247,RABIES CERT,
A576162,DOG,TRICOLOR,,HOUND,491111.0,11Y,11 YEARS,L15-070074,LIC ALTERED,
A548239,CAT,WHITE,BROWN,SHORTHAIR,463133.0,3Y,3 YEARS,L16-036948,LIC MULTIPLE,
A571703,DOG,BLACK,,TOY,486646.0,4Y,4 YEARS,L15-037330,LIC ALTERED,
A596764,DOG,BLACK,BROWN,SHEPHERD,511689.0,3Y,3 YEARS,L17-017397,LIC ALTERED,
A601773,CAT,BRN TABBY,,SHORTHAIR,516684.0,1Y 8M,1 YEAR 8 MONTHS,L16-031579,LIC SR,
A448267,DOG,FAWN,,MASTIFF,362272.0,7Y,7 YEARS,985121006711344,MICROCHIP,
A557173,DOG,TAN,,HOUND,472086.0,4Y,4 YEARS,L16-016674,LIC UNALTERED,DIXIE
A577786,CAT,BRN TABBY,,SHORTHAIR,492738.0,4Y,4 YEARS,,,
A577244,CAT,CALICO,WHITE,SHORTHAIR,492194.0,6Y,6 YEARS,985112006346243,MICROCHIP ADO,
A558787,DOG,GOLD,,POODLE,473705.0,4Y,4 YEARS,985112002984975,MICROCHIP,
A375312,DOG,BLACK,,SPITZ,287882.0,17Y,17 YEARS,3Y14-007091,LIC 3Y,WEST END
A568684,CAT,CALICO,,SHORTHAIR,483625.0,3Y,3 YEARS,,,
A562984,DOG,BLACK,BROWN,HOUND,477909.0,3Y,3 YEARS,985113000363364,MICROCHIP,
A556444,CAT,GRAY,WHITE,SHORTHAIR,471357.0,3Y,3 YEARS,L15-056266,LIC ALTERED,MAS
A597131,DOG,UNKNOWN,,HOUND,512045.0,,NO AGE,,,
A627777,DOG,TRICOLOR,,COLLIE,542449.0,1Y 8M,1 YEAR 8 MONTHS,L17-040377,LIC ALTERED,
A601683,DOG,GRAY,BLACK,TOY,516594.0,5Y,5 YEARS,L16-005728,LIC ALTERED,LMAS
A583530,DOG,TAN,WHITE,SETTER/RETRIEVE,498495.0,2Y,2 YEARS,985112006945587,MICROCHIP ADO,
A342231,DOG,BLACK,TAN,HOUND,201443.0,18Y,18 YEARS,D08-011478,LIC ALTERED,IROQUOIS
A627135,DOG,BLACK,,TERRIER,541823.0,5Y,5 YEARS,985170001548547,MICROCHIP,
A602604,CAT,GRAY,WHITE,SHORTHAIR,517507.0,1Y 8M,1 YEAR 8 MONTHS,L16-048096,LIC ALTERED,
A594354,DOG,BLACK,,TOY,509277.0,3Y,3 YEARS,L16-025296,LIC UNALTERED,ALL ABOUT
A572056,DOG,BROWN,OTHER,TOY,486999.0,5Y,5 YEARS,RAB9355854,RABIES CERT,BANFIELD
A605639,DOG,BLACK,,TOY,520489.0,,NO AGE,L16-032283,LIC SR,
A549660,DOG,BLACK,BROWN,TERRIER,464554.0,9Y,9 YEARS,083324526,MICROCHIP,
A398612,CAT,ORG TABBY,,SHORTHAIR,311546.0,12Y,12 YEARS,U14-043656,RAB VAC CERT.,SENECA
A568531,DOG,BLUE,TAN,SPITZ,483472.0,3Y,3 YEARS,008360314,MICROCHIP,
A606646,DOG,BLACK,WHITE,SETTER/RETRIEVE,521500.0,1Y 8M,1 YEAR 8 MONTHS,L17-023173,LIC ALTERED,
A559890,DOG,BROWN DAPP,,TOY,474807.0,5Y,5 YEARS,U15-002543,RABIES CERT,
A589547,DOG,WHITE,,TOY,504466.0,4Y,4 YEARS,U16-007965,RABIES CERT,
A609702,CAT,BRN TABBY,WHITE,SHORTHAIR,524536.0,1Y 11M,1 YEAR 11 MONTHS,,,
A231389,CAT,GRAY,,SHORTHAIR,233609.0,16Y,16 YEARS,C08-015092,LIC ALTERED,FEGENBUSH
A565221,DOG,BLACK,,TOY,480152.0,5Y,5 YEARS,RAB104548,RAB VAC CERT.,GOOSECREEK
A459969,DOG,BLACK,,SETTER/RETRIEVE,374157.0,8Y,8 YEARS,L15-010025,LIC ALTERED,CHEROKEE
A629166,CAT,BRN TABBY,WHITE,SHORTHAIR,543805.0,1Y 3M,1 YEAR 3 MONTHS,L17-053173,LIC ALTERED,LMAS
