Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (£),Unnamed: 10,Unnamed: 11
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,12.02.2018,16.03.2018,GPC02180000129,18.35,,
Stockport MBC,Services to People,Childrens & Educational Services,BRITANNIA HOTEL,Care Payments,Social Community Care Supplies & Services  ,09.02.2018,16.03.2018,GPC02180000130,-151.00,,
Stockport MBC,Services to People,Childrens & Educational Services,PREMIER INN44016875,Staff Training,Human Resources  ,08.02.2018,16.03.2018,GPC02180000131,90.99,,
Stockport MBC,Services to People,Childrens & Educational Services,FLYBE.COM DTQEVC       0,Care Payments,Social Community Care Supplies & Services  ,09.02.2018,16.03.2018,GPC02180000132,289.98,,
Stockport MBC,Services to People,Childrens & Educational Services,BRITANNIA,Care Payments,Social Community Care Supplies & Services  ,09.02.2018,16.03.2018,GPC02180000133,151.00,,
Stockport MBC,Services to People,Childrens & Educational Services,WWW.STOCKPORT.GOV.UK,Care Payments,Social Community Care Supplies & Services  ,08.02.2018,16.03.2018,GPC02180000134,30.00,,
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Staff Training,Human Resources  ,08.02.2018,16.03.2018,GPC02180000135,"1,026.50",,
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,08.02.2018,16.03.2018,GPC02180000136,106.70,,
Stockport MBC,Services to People,Childrens & Educational Services,FLYBEDL86 DL86ZV,Care Payments,Social Community Care Supplies & Services  ,08.02.2018,16.03.2018,GPC02180000137,175.98,,
Stockport MBC,Services to People,Childrens & Educational Services,FLYBE.COM DLNMYE       0,Care Payments,Social Community Care Supplies & Services  ,08.02.2018,16.03.2018,GPC02180000138,129.99,,
Stockport MBC,Services to People,Childrens & Educational Services,FLYBE.COM DLLNKY       0,Care Payments,Social Community Care Supplies & Services  ,08.02.2018,16.03.2018,GPC02180000139,283.98,,
Stockport MBC,Services to People,Childrens & Educational Services,FLYBE.COM DLL45D       0,Care Payments,Social Community Care Supplies & Services  ,08.02.2018,16.03.2018,GPC02180000140,75.99,,
Stockport MBC,Services to People,Childrens & Educational Services,WWW.MANCHESTER.GOV.UK,Care Payments,Social Community Care Supplies & Services  ,07.02.2018,16.03.2018,GPC02180000141,85.50,,
Stockport MBC,Services to People,Childrens & Educational Services,BRITANNIA,Care Payments,Social Community Care Supplies & Services  ,07.02.2018,16.03.2018,GPC02180000142,67.50,,
Stockport MBC,Services to People,Childrens & Educational Services,IPS LIVERPOOL CONTACT,Care Payments,Social Community Care Supplies & Services  ,07.02.2018,16.03.2018,GPC02180000143,46.00,,
Stockport MBC,Services to People,Childrens & Educational Services,PAYPAL  FREETESTCOM,Library Equipment,Education Library Books ,05.02.2018,16.03.2018,GPC02180000144,15.00,,
Stockport MBC,Services to People,Childrens & Educational Services,EB  ISLAM CULTURE AMP,Information and Communications Technology,Information Communication Technology  ,02.02.2018,16.03.2018,GPC02180000145,196.58,,
Stockport MBC,Services to People,Childrens & Educational Services,AVIS RENT-A-CAR,Leasing /Transport Hire,Vehicle Management Leasing ,02.02.2018,16.03.2018,GPC02180000146,55.70,,
Stockport MBC,Services to People,Childrens & Educational Services,GRO HM PASSPORT OFFICE,Care Payments,Social Community Care Supplies & Services  ,12.01.2018,16.03.2018,GPC02180000147,-27.75,,
Stockport MBC,Services to People,Adult Social Care,HMCOURTS-SERVICE.G,Legal Fees,Legal Services  ,22.02.2018,16.03.2018,GPC02180000148,75.00,,
Stockport MBC,Services to People,Adult Social Care,HMCOURTS-SERVICE.G,Legal Fees,Legal Services  ,22.02.2018,16.03.2018,GPC02180000149,75.00,,
Stockport MBC,Services to People,Adult Social Care,HMCOURTS-SERVICE.G,Legal Fees,Legal Services  ,19.02.2018,16.03.2018,GPC02180000150,75.00,,
Stockport MBC,Services to People,Adult Social Care,HMCOURTS-SERVICE.G,Legal Fees,Legal Services  ,14.02.2018,16.03.2018,GPC02180000151,75.00,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,26.02.2018,16.03.2018,GPC02180000152,57.37,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA HOME SHOPPING,Cleaning,Cleaning & Janitorial  ,14.02.2018,16.03.2018,GPC02180000153,69.02,,
Stockport MBC,Services to People,Childrens & Educational Services,POUNDSTRETCHER 793,Catering Supplies,Catering Food & Beverages ,14.02.2018,16.03.2018,GPC02180000154,12.94,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,12.02.2018,16.03.2018,GPC02180000155,28.38,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,05.02.2018,16.03.2018,GPC02180000156,46.85,,
