"Name (Firstname, Surname)",Start date of trip (DD/MM/YYYY),Duration of Visit (Days),Destination,Purpose of trip,Mode of transport,Class of travel,Accomodation/Meals,Other (including hospitality given),"Total cost, including all visas, accommodation, travel, meals etc. (£)",Total Cost of Use of Official Secure Car
Juan Villamil,2017-11-29,1 Day,Sheffield ,Departmental Business,Rail / Car ,Standard ,£5.00,,£146.00,
Juan Villamil,2017-11-30,1 Day,Warrington ,Departmental Business,Rail / Car,Standard ,,,£194.00,
Juan Villamil,2017-12-06,1 Day,Warrington,Departmental Business,Rail,Standard ,£90.60,,£219.60,
Juan Villamil,2017-12-07,1 Day,Blackpool ,Departmental Business,Rail,Standard,£80.60,,£432.60,
Juan Villamil,2017-12-08,1  Day,London ,Departmental Business,Rail,Standard,,,£178.50,
Juan Villamil,2017-12-12,2 Days,Manchester,Departmental Business,Rail,Standard,£98.60,,£276.74,
,,,,,,,,,,
Kenny Robertson,2017-10-03,1 Day,Blackpool,Departmental Business,Car,,,,£28.40,
Kenny Robertson,2017-10-04,1 Day,London,Departmental Business,Rail,Standard,£5.00,,£341.00,
Kenny Robertson,2017-10-18,1 Day,Manchester,Departmental Business,Rail,Standard,£8.45,,£47.95,
Kenny Robertson,2017-10-31,1 Day,Liverpool,Departmental Business,Car,,,,£28.23,
Kenny Robertson,2017-11-03,1 Day,Blackpool,Departmental Business,Car,,,,£31.77,
Kenny Robertson,2017-11-07,1 Day,Leeds,Departmental Business,Rail,Standard,£28.45,,£60.99,
Kenny Robertson,2017-11-09,1 Day,London,Departmental Business,Rail,Standard,,,£336.00,
Kenny Robertson,2017-11-12,1 Day,Newcastle,Departmental Business,Car,,,,£43.31,
Kenny Robertson,2017-11-23,1 Day,Leeds,Departmental Business,Rail,Standard,,,£39.50,
Kenny Robertson,2017-12-14,1 Day,London,Departmental Business,Rail,Standard,,,£324.00,
,,,,,,,,,,
Craig Eblett,2017-10-02,4 Days,London,Departmental Business ,Rail,Standard,£417,,£736,
Craig Eblett,2017-10-11,2 days,London,Departmental Business ,Rail,Standard,£141.40,,£460.40,
Craig Eblett,2017-10-12,1 Day,Newbury,Departmental Business ,Rail,Standard,£91.30,,£210.90,
Craig Eblett,2017-10-18,2 Days,London,Departmental Business ,Rail,Standard,£138,,£469.90,
Craig Eblett,2017-10-23,1 Day,Stockport,Departmental Business ,Hire Car,,£5.00,,£87.11,
Craig Eblett,2017-10-24,2 Days,London,Departmental Business ,Rail,Standard,£18.16,,£350.06,
Craig Eblett,2017-10-26,1 Day,Newcastle ,Departmental Business ,Private Car,,,,£23.40,
Craig Eblett,2017-10-30,2 Days,London,Departmental Business ,Rail,Standard,£341.60,,£654.50,
Craig Eblett,2017-11-23,1 Day,Leeds,Departmental Business ,Rail,Standard,£6.89,,£65.89,
Craig Eblett,2017-11-28,1 Day,Newcastle ,Departmental Business ,Private Car,,,,£6.30,
Craig Eblett,2017-12-04,1 Day,London,Departmental Business ,Rail,Standard,£5.00,,£344.10,
Craig Eblett,2017-12-13,2 Days,London ,Departmental Business ,Rail,Standard,£290,,£590.00,
,,,,,,,,,,
,,,,,,,,,,
Paul Lodge,2017-10-04,2 Days,London /Cardiff,Departmental Business ,Rail ,Standard ,£44.00,,£687.25,
Paul Lodge,2017-10-12,1 Day,London ,Departmental Business ,Rail ,Standard ,,,£897.00,
Paul Lodge,2017-10-17,1 Day ,London ,Departmental Business ,Rail ,Standard ,,,£378.50,
Paul Lodge,2017-10-24,1 Day ,London ,Departmental Business ,Rail ,Standard ,,,£299.00,
Paul Lodge,2017-10-25,1 Day ,London ,Departmental Business ,Rail ,Standard ,,,£299.00,
Paul Lodge,2017-11-01,1 Day ,London,Departmental Business ,Rail ,Standard ,,,£378.25,
Paul Lodge,2017-11-14,1 Day ,London ,Departmental Business ,Rail ,Standard ,,,£299.00,
Paul Lodge,2017-11-16,2 Days,London ,Departmental Business ,Rail ,Standard ,£125.00,,£241.50,
Paul Lodge,2017-11-22,1 Day ,Leeds ,Departmental Business ,Rail ,Standard ,,,£162.40,
Paul Lodge,2017-11-23,1 Day ,Leeds ,Departmental Business ,Rail ,Standard ,,,£371.90,
Paul Lodge,2017-11-27,1 Day,Leeds ,Departmental Business ,Rail , Standard ,,,£67.60,
Paul Lodge,2017-11-28,1 Day ,London ,Departmental Business ,Rail ,Standard ,,,£299.00,
Paul Lodge,2017-11-30,1 Day ,London ,Departmental Business ,Rail ,Standard ,,,£299.00,
Paul Lodge,2017-12-04,1 Day ,Leeds ,Departmental Business ,Rail ,Standard ,,,£46.80,
Paul Lodge,2017-12-06,1 Day ,Leeds ,Departmental Business ,Rail ,Standard ,,,£214.00,
Paul Lodge,2017-12-07,1 Day ,London ,Departmental Business ,Rail ,Standard ,,,£299.00,
Paul Lodge,2017-12-12,1 Day ,London ,Departmental Business ,Rail ,Standard ,,,£299.00,
Paul Lodge,2017-12-13,1 Day ,London ,Departmental Business ,Rail ,Standard ,,,£62.00,
Paul Lodge,2017-12-14,1 Day ,London ,Departmental Business ,Rail ,Standard ,,,£299.00,
,,,,,,,,,,
Simon McKinnon,2017-10-04,2 Days,Blackpool,Departmental Business,Rail, Standard,£159.10,,£499.70,
Simon McKinnon,2017-10-11,2 Days,Oxford/London,MPLA Event Attendance,Rail, Standard,£80.00,,£168.00,
Simon McKinnon,2017-11-02,2 Days,Leeds,Departmental Business,Rail, Standard,£75.60,,£266.10,
Simon McKinnon,2017-11-23,1 Day,Leeds,Departmental Business,Rail,Standard,,,£262.00,
Simon McKinnon,2017-11-27,1 Day,Leeds,Departmental Business,Rail,Standard,,,£269.50,
Simon McKinnon,2017-11-30,2 Days,Peel Park,Departmental Business,Rail,Standard,£65.59,,£291.09,
Simon McKinnon,2017-12-13,1 Day,Manchester,Departmental Business,Rail,Standard,,,£289.20,
Simon McKinnon,2017-12-18,4 Days,Preston/Blackpool/Newcastle/ Leeds,Departmental Business,Rail/ Hire Car,Standard,£251.25,,£738.47,
,,,,,,,,,,
Tamara Bruck,2017-11-20,1 Day,Liverpool,Departmental Business,Rail,Standard,£70.07,,£400.57,
Tamara Bruck,2017-12-13,1 Day,Manchester,Departmental Business,Rail,Standard,£5.45,,£264.35,
,,,,,,,,,,
Phill Wells,2017-10-04,1 Day,Leeds,Departmental Business,Rail,Standard,£110.55,,£289.85,
Phill Wells,2017-10-18,2 Days,Sheffield,Departmental Business,Rail,Standard,£94.30,,£293.00,
Phill Wells,2017-11-08,1 Day,Manchester,Departmental Business,Rail,Standard,£70.10,,£277.10,
Phill Wells,2017-11-22,2 Days,Ashridge,Leadership Event,Car,,,,£64.00,
,,,,,,,,,,
