name,borough_name,website,os_addressbase_uprn,borough_code,ward_2018_name,ward_2018_code,address1,address2,address3,longitude,latitude,easting,northing,runtime
Earl Ferrers,Lambeth,,100000000000.0,E09000022,St. Leonard's,E05000428,22 Ellora Road,Lambeth,,-0.1327161750671053,51.42373903945612,529922.9647977136,171067.92644872185,04/11/2021
Teddington Arms,Richmond Upon Thames,www.teddingtonarms.com,100000000000.0,E09000027,Teddington,E05000530,38-40 High Street,Richmond Upon Thames,,-0.3318131813692569,51.42707420556642,516072.9685653543,171104.92644138786,04/11/2021
Landmark Arts Centre,Richmond Upon Thames,http://www.landmarkartscentre.org/,0.0,E09000027,Teddington,E05000530,Ferry Road Teddington Tw11 9nn ,,,-0.3244349993853632,51.4281230002923,516583.21641209454,171233.26777615177,04/11/2021
Tooting Tram & Social,Wandsworth,www.tootingtram.com,121014162.0,E09000032,Graveney,E05000616,Mitcham Road Wandsworth,,,-0.1666846205210639,51.42678393705224,527552.9654420048,171346.9263727466,04/11/2021
Graveney & Meadow,Wandsworth,www.graveneyandmeadow.com,121014087.0,E09000032,Graveney,E05000616,40 Mitcham Road,Wandsworth,,-0.1669955012959548,51.4269236895332,527530.9654480299,171361.92636863567,04/11/2021
The Hideaway,Lambeth,http://www.hideawaylive.co.uk/,100000000000.0,E09000022,St. Leonard's,E05000428,2 Empire Mews,Lambeth,,-0.1304128103038768,51.426606974694415,530074.9647564064,171390.92636150663,04/11/2021
The Red Lion,Richmond Upon Thames,www.theredlionteddington.com,100000000000.0,E09000027,Fulwell And Hampton Hill,E05000518,164 Stanley Road,Richmond Upon Thames,,-0.3451253850141197,51.43087793135113,515137.96881659765,171506.92633154866,04/11/2021
St. Bartholomews Church,Lewisham,www.stbartschurchsydenham.org,100000000000.0,E09000023,Sydenham,E05000452,4 Westwood Hill,Lewisham,,-0.0569692019168975,51.42749815586806,535177.9633701693,171622.9263007231,04/11/2021
Pratts & Payne,Lambeth,,200000000000.0,E09000022,St. Leonard's,E05000428,103 Streatham High Road,Lambeth,,-0.12957787198954,51.43014579472934,530122.9647425516,171785.92625544785,04/11/2021
The White Lion,Lambeth,www.whitelionsw16.co.uk,100000000000.0,E09000022,St. Leonard's,E05000428,234 Streatham High Road,Lambeth,,-0.1297740749573064,51.43062554385583,530107.964746516,171838.92624119652,04/11/2021
The Portico Gallery,Lambeth,,200000000000.0,E09000022,Knight's Hill,E05000424,23 Knights Hill,Lambeth,,-0.104092946460122,51.43102209243487,531891.9642639116,171928.92621473194,04/11/2021
Baring Hall,Lewisham,www.baringhallhotel.com,100000000000.0,E09000023,Downham,E05000442,368 Baring Road,Lewisham,,0.0210478537553452,51.43088251010535,540590.9618999659,172145.9261571298,04/11/2021
