animal_id,animal_type,secondary_color,breed_group,primary_breed,tag_no,tag_type,tag_subtype,vaccine,serial_no,vet_id,location (1)
A556777,DOG,WHITE,SHEPHERD,WELSH CORGI PEM,0006D4F7B9,MICROCHIP,HLP WEB,,3417389,,LOCKBOX
A611392,CAT,WHITE,LONGHAIR,DOMESTIC LH,,,,,,,
A554453,DOG,,TOY,MALTESE,104118,RAB VAC CERT.,VET,GOOSECREEK,RR,G000289,SHELTER
A600787,DOG,BROWN,SHEPHERD,GERM SHEPHERD,L16-033688,LIC UNALTERED,COUNTER,,AMC,G000338,SHELTER
A595549,DOG,,TOY,CHIHUAHUA LH,,,,,,,
A535407,DOG,,TOY,CHIHUAHUA SH,L15-001264,LIC UNALTERED,COUNTER,,DMC,G000070,SHELTER
A633311,OTHER,,FISH,COLD WATER,,,,,,,
A562470,DOG,,MIX,MIX,067586356,MICROCHIP,HLP IMPORT,,3584675,,LOCKBOX
A293772,DOG,TAN,SHEPHERD,GERM SHEPHERD,D08-037964,LIC ALTERED,,PEWEE VAL,,,SHELTER
A582175,DOG,WHITE,SETTER/RETRIEVE,LABRADOR RETR,L16-049353,LIC ALTERED,ADOPT,MAS,,G124495,SHELTER
A618875,DOG,,TOY,CHIHUAHUA SH,L17-031094,LIC SR,HLP SCAN,,5912663,G000068,LOCKBOX
A595046,DOG,WHITE,HOUND,BEAGLE,L16-005959,LIC ALTERED,ADOPT,MAS,KLM,G000469,SHELTER
A262197,CAT,ORG TABBY,LONGHAIR,DOMESTIC LH,C11-073345,LIC ALTERED,ONLINE,JOHNSON,SK,G000056,SHELTER
A609515,CAT,,SHORTHAIR,AMER SH,,,,,,,
A621924,CAT,WHITE,SHORTHAIR,DOMESTIC SH,,,,,,,
A576490,DOG,,MASTIFF,PIT BULL,L15-028931,LIC UNALTERED,COUNTER,MAS,LB,G124495,SHELTER
A517073,DOG,,COLLIE,AUST SHEPHERD,D14-057365,LIC UNALTERED,VET,DECK VETER,LB,G000366,SHELTER
A105610,CAT,WHITE,LONGHAIR,DOMESTIC MH,C04-015568,LIC ALTERED,,,,,CONVERT
A600078,CAT,,SHORTHAIR,DOMESTIC SH,L16-010167,LIC ALTERED,VET,,AMC,G000088,SHELTER
A570947,CAT,,,UNKNOWN,L15-057856,LIC ALTERED,HLP IMPORT,,3836415,G000372,LOCKBOX
A628365,CAT,,SHORTHAIR,DOMESTIC SH,L17-008675,REJECT,HLP SCAN,,6441966,G000291,LOCKBOX
A562515,DOG,,,,L14-055258,LIC ALTERED,HLP SCAN,,3585318,G000222,SHELTER
A629678,DOG,WHITE,SIGHTHOUND,AFGHAN HOUND,L17-048421,LIC ALTERED,VET,,SM,G000088,LICENSE
A597739,DOG,BLACK,TOY,CHIHUAHUA LH,L16-008742,LIC ALTERED,ADOPT,MAS,,G124495,SHELTER
A617191,DOG,,MASTIFF,PIT BULL,,,,,,,
A622956,DOG,,MASTIFF,BOXER,L16-010025,LIC ALTERED,HLP SCAN,,6158486,G000069,LOCKBOX
A256577,DOG,,MASTIFF,AM PIT BULL TER,D06-011227,LIC UNALTERED,,SHIVELY,,,SHELTER
A552201,DOG,BLACK,MASTIFF,OLD ENG BULLDOG,981020009841713981,MICROCHIP,HLP WEB,,4157082,,LOCKBOX
A616380,DOG,,MASTIFF,AM PIT BULL TER,,,,,,,
A613805,CAT,WHITE,SHORTHAIR,DOMESTIC SH,,,,,,,
A613861,CAT,WHITE,SHORTHAIR,DOMESTIC SH,0A1239474C,MICROCHIP,PET WATCH,,,G000088,SHELTER
A193113,DOG,TAN,TOY,DACHSHUND,D14-024736,LIC SR,MAIL,JOHNSONS,JF,,SHELTER
A548000,DOG,,SETTER/RETRIEVE,GOLDEN RETR,L15-015640,LIC UNALTERED,COUNTER,DIXIE,ARL,G000053,SHELTER
A595715,DOG,WHITE,SPITZ,AKITA,A12596878,MICROCHIP,HLP WEB,,4738048,,LOCKBOX
A601939,DOG,,HOUND,BEAGLE,L16-027773,LIC ALTERED,MAIL,,ARL,G000053,SHELTER
A595492,DOG,WHITE,MASTIFF,OLD ENG BULLDOG,,,,,,,
A588971,CAT,,LONGHAIR,DOMESTIC MH,,,,,,,
A595145,DOG,,HOUND,BASSET HOUND,,,,,,,
A553219,DOG,,SETTER/RETRIEVE,LABRADOR RETR,L17-020594,LIC 3Y,HLP WEB,,6176690,G000074,LOCKBOX
A570072,DOG,BLACK,SETTER/RETRIEVE,GOLDEN RETR,L15-053140,LIC SR,MAIL,PLANTATION,ARL,G000343,SHELTER
A555843,DOG,,TERRIER,SCHNAUZER STAND,L17-027700,LIC SR,HLP SCAN,,6368990,G000071,LOCKBOX
A582247,DOG,,HOUND,BEAGLE,L16-007688,LIC ALTERED,ADOPT,MAS,,G124495,SHELTER
A600585,DOG,,SHEPHERD,GERM SHEPHERD,L16-003321,LIC ALTERED,VET,CHEROKEE,LB,G000062,SHELTER
A559544,DOG,BROWN,TERRIER,MIN PINSCHER,U15-002016,RABIES CERT,HLP IMPORT,,3515188,G000056,LOCKBOX
A565802,CAT,,SHORTHAIR,RUSSIAN BLUE,,,,,,,
A583601,DOG,WHITE,MASTIFF,PIT BULL,,,,,,,
A630197,CAT,ORANGE,SHORTHAIR,DOMESTIC SH,L17-048450,LIC ALTERED,VET,,ARL,G000088,LICENSE
A553463,DOG,,HOUND,HOUND,L17-036553,LIC ALTERED,HLP SCAN,BARDSTOWN,5633711,G000060,SHELTER
A187980,CAT,,SHORTHAIR,DOMESTIC SH,L17-002782,LIC ALTERED,HLP SCAN,,6358798,G000074,LOCKBOX
A560713,CAT,ORANGE,SHORTHAIR,DOMESTIC SH,,,,,,,
A595024,OTHER,BLACK,FISH,TROPICAL,,,,,,,
A500287,DOG,WHITE,MASTIFF,PIT BULL,D14-030111,LIC UNALTERED,COUNTER,DAVIS,KLC,G000064,SHELTER
A625644,DOG,TAN,SHEPHERD,GERM SHEPHERD,985112009320944,MICROCHIP,AVID,,,,LICENSE
A538402,DOG,,TOY,CHIHUAHUA SH,L14-019189,LIC ALTERED,VET,KHS,RR,G000088,SHELTER
A573062,DOG,,SETTER/RETRIEVE,LABRADOR RETR,L17-028701,LIC ALTERED,COUNTER,DR JOHNS,KLM,G000104,SHELTER
A555589,DOG,WHITE,HOUND,BEAGLE,985112004396229,MICROCHIP,HLP WEB,,3379884,,LOCKBOX
A633515,DOG,,SPANIEL,COCKER SPAN,L17-051592,LIC 3Y,HLP SCAN,,6706039,G000064,LOCKBOX
A496488,DOG,,SPANIEL,CAVALIER SPAN,3Y15-11817,LIC 3Y,VET,BARBOUR LN,HMA,G000059,SHELTER
A551566,CAT,WHITE,SHORTHAIR,DOMESTIC SH,L14-007759,LIC ALTERED,VET,KHS,LB,G000088,SHELTER
A562498,DOG,,SETTER/RETRIEVE,LABRADOR RETR,L15-014527,LIC UNALTERED,HLP SCAN,,3585266,G000250,LOCKBOX
A603623,DOG,,MASTIFF,BOXER,,,,,,,
A585577,CAT,WHITE,SHORTHAIR,DOMESTIC SH,,,,,,,
A607282,CAT,BLK TABBY,LONGHAIR,DOMESTIC LH,RAB9714843,RABIES CERT,VET,BANFIELD,LB,G000056,SHELTER
A576191,DOG,GRAY,POINTER,GERM SH POINT,L15-060134,LIC ALTERED,COUNTER,ST MATTHEW,LB,G000222,SHELTER
A567561,DOG,,POODLE,POODLE MIN,L15-044367,LIC ALTERED,HLP SCAN,,3727930,G000291,LOCKBOX
A590820,DOG,BLACK,HOUND,BEAGLE,L16-017361,LIC ALTERED,COUNTER,PLANTATION,ARL,G000343,SHELTER
A604713,DOG,WHITE,MASTIFF,PIT BULL,L16-025916,LIC 3Y,VET,,ARL,G000052,SHELTER
A371766,DOG,WHITE,SETTER/RETRIEVE,LABRADOR RETR,032553115,MICROCHIP ADO,AVID,,,,SHELTER
A553844,DOG,WHITE,MASTIFF,CANE CORSO,,,,,,,
A630853,DOG,,SETTER/RETRIEVE,LABRADOR RETR,,,,,,,
A534657,DOG,,TOY,DACHSHUND,L14-019178,LIC ALTERED,VET,KHS,RR,G000088,SHELTER
A536142,DOG,,TERRIER,SCHNAUZER STAND,L16-025375,LIC ALTERED,HLP SCAN,,4854741,G000075,LOCKBOX
A590329,DOG,WHITE,SETTER/RETRIEVE,GREAT PYRENEES,985112007303543,MICROCHIP ADO,HOME AGAIN,,,,SHELTER
A560949,DOG,WHITE,TERRIER,JACK RUSS TER,L17-030837,LIC ALTERED,VET,CHEROKEE,LB,G000062,SHELTER
A570206,DOG,,SPANIEL,COCKER SPAN,L15-058576,LIC ALTERED,HLP SCAN,,3815632,G000083,LOCKBOX
A570054,DOG,WHITE,MASTIFF,BOXER,985112006050502,MICROCHIP RTO,HOME AGAIN,MAS,,,SHELTER
A594701,DOG,,SETTER/RETRIEVE,LABRADOR RETR,RAB3927,RABIES CERT,VET,AUBURNDALE,LB,G000052,SHELTER
A544939,DOG,,SHEPHERD,GERM SHEPHERD,L14-042951,LIC ALTERED,VET,KHS,RR,G000088,SHELTER
A577121,DOG,,SETTER/RETRIEVE,LABRADOR RETR,985112006516129,MICROCHIP ADO,HOME AGAIN,,,,SHELTER
A591287,CAT,WHITE,SHORTHAIR,DOMESTIC SH,L17-019871,LIC ALTERED,HLP WEB,,6077761,G000076,LOCKBOX
A581500,DOG,WHITE,SETTER/RETRIEVE,BERNESE MTN DOG,985112006924399,MICROCHIP RTO,HOME AGAIN,,,,SHELTER
A574839,DOG,WHITE,MASTIFF,ANATOL SHEPHERD,L16-046141,LIC ALTERED,HLP SCAN,,4854694,G000078,LOCKBOX
A590970,DOG,WHITE,MASTIFF,BULLMASTIFF,L16-048278,LIC ALTERED,VET,KHS,LB,G000088,SHELTER
A567850,CAT,,SHORTHAIR,DOMESTIC SH,L17-043196,LIC SR,MAIL,JOHNSON AN,LB,G000344,SHELTER
A578484,CAT,WHITE,SHORTHAIR,DOMESTIC SH,L16-049314,LIC ALTERED,ADOPT,MAS,,G124495,SHELTER
A581936,CAT,,SHORTHAIR,SIAMESE,,,,,,,
A579850,DOG,,TERRIER,SCHNAUZER MIN,L15-072808,LIC SR,MAIL,JOHNSON,ARL,G000344,SHELTER
A560907,CAT,,SHORTHAIR,DOMESTIC SH,L17-008231,LIC MULTIPLE,MAIL,,ARL,G000338,SHELTER
A584925,DOG,BLACK,TOY,YORKSHIRE TERR,U16-006924,RABIES CERT,HLP IMPORT,,4320498,G000058,LOCKBOX
A559124,DOG,,SETTER/RETRIEVE,GOLDEN RETR,985121008960509,MICROCHIP,HLP SCAN,,3504614,,LOCKBOX
A577637,DOG,,TOY,CHIHUAHUA SH,L15-070356,LIC UNALTERED,MAIL,AUBURNDALE,ARL,G000052,SHELTER
A592305,CAT,,SHORTHAIR,DOMESTIC SH,,,,,,,
A614221,DOG,GRAY,MASTIFF,AMER BULLDOG,L17-040724,LIC UNALTERED,COUNTER,DR JOHNS,LB,G000104,SHELTER
A578430,CAT,,,UNKNOWN,L15-020778,LIC ALTERED,HLP IMPORT,,4042218,G000372,LOCKBOX
A481247,DOG,,MASTIFF,PIT BULL,D12-047661,LIC ALTERED,VET,GAILOR,TR,,SHELTER
A581070,DOG,,COLLIE,AUST SHEPHERD,U16-006296,RABIES CERT,HLP SCAN,,4139067,G000291,LOCKBOX
A629835,DOG,,TOY,CHIHUAHUA SH,L17-053073,LIC ALTERED,ADOPT,MAS,KLM,G000469,SHELTER
A591590,DOG,BROWN,HOUND,BASSET HOUND,,,,,,,
A617701,DOG,,MASTIFF,BOXER,L17-029674,LIC ALTERED,COUNTER,LMAS,LB,G000251,SHELTER
A622586,CAT,GRAY,SHORTHAIR,DOMESTIC SH,L17-041271,LIC ALTERED,VET,,AMC,G000088,LICENSE
A572706,DOG,,SETTER/RETRIEVE,LABRADOR RETR,L17-001300,LIC ALTERED,MAIL,,AMC,G000088,LICENSE
A194152,DOG,,TERRIER,SCHNAUZER MIN,D05-037908,LIC ALTERED,,,,,CONVERT
A613271,DOG,,POINTER,WEIMARANER,L16-021271,LIC ALTERED,HLP SCAN,,5633535,G000069,LOCKBOX
A596866,DOG,,MASTIFF,BOXER,,,,,,,
A568457,DOG,,TOY,CHIHUAHUA SH,,,,,,,
A580866,DOG,SILVER,TERRIER,SILKY TERRIER,RAB9722297,RABIES CERT,VET,BANFIELD,LB,G000058,SHELTER
A550523,DOG,WHITE,COLLIE,BORDER COLLIE,R15-0525,RAB VAC CERT.,RESQ,MAS,,G124495,SHELTER
A609486,DOG,,TERRIER,CAIRN TERRIER,L16-023115,LIC ALTERED,VET,KHS,EMS,G000088,SHELTER
