Sdate,Cosit,Study,Period,LaneNumber,LaneDescription,LaneDirection,DirectionDescription,Volume,Flags,Flag Text,Setup,#Bins,Bins
09/08/1997 06:00,120101,1,60,1,East Bound,2,South,32,0,,6,0,
09/08/1997 06:00,120101,1,60,2,West Bound,2,South,34,0,,6,0,
09/08/1997 07:00,120101,1,60,1,East Bound,2,South,83,0,,6,0,
09/08/1997 07:00,120101,1,60,2,West Bound,2,South,78,0,,6,0,
09/08/1997 08:00,120101,1,60,1,East Bound,2,South,97,0,,6,0,
09/08/1997 08:00,120101,1,60,2,West Bound,2,South,140,0,,6,0,
09/08/1997 09:00,120101,1,60,1,East Bound,2,South,152,0,,6,0,
09/08/1997 09:00,120101,1,60,2,West Bound,2,South,195,0,,6,0,
09/08/1997 10:00,120101,1,60,1,East Bound,2,South,189,0,,6,0,
09/08/1997 10:00,120101,1,60,2,West Bound,2,South,238,0,,6,0,
09/08/1997 11:00,120101,1,60,1,East Bound,2,South,215,0,,6,0,
09/08/1997 11:00,120101,1,60,2,West Bound,2,South,290,0,,6,0,
09/08/1997 12:00,120101,1,60,1,East Bound,2,South,245,0,,6,0,
09/08/1997 12:00,120101,1,60,2,West Bound,2,South,265,0,,6,0,
09/08/1997 13:00,120101,1,60,1,East Bound,2,South,251,0,,6,0,
09/08/1997 13:00,120101,1,60,2,West Bound,2,South,290,0,,6,0,
09/08/1997 14:00,120101,1,60,1,East Bound,2,South,274,0,,6,0,
09/08/1997 14:00,120101,1,60,2,West Bound,2,South,230,0,,6,0,
09/08/1997 15:00,120101,1,60,1,East Bound,2,South,213,0,,6,0,
09/08/1997 15:00,120101,1,60,2,West Bound,2,South,190,0,,6,0,
09/08/1997 16:00,120101,1,60,1,East Bound,2,South,214,0,,6,0,
09/08/1997 16:00,120101,1,60,2,West Bound,2,South,245,0,,6,0,
09/08/1997 17:00,120101,1,60,1,East Bound,2,South,180,0,,6,0,
09/08/1997 17:00,120101,1,60,2,West Bound,2,South,187,0,,6,0,
09/08/1997 18:00,120101,1,60,1,East Bound,2,South,175,0,,6,0,
09/08/1997 18:00,120101,1,60,2,West Bound,2,South,162,0,,6,0,
09/08/1997 19:00,120101,1,60,1,East Bound,2,South,146,0,,6,0,
09/08/1997 19:00,120101,1,60,2,West Bound,2,South,119,0,,6,0,
09/08/1997 20:00,120101,1,60,1,East Bound,2,South,148,0,,6,0,
09/08/1997 20:00,120101,1,60,2,West Bound,2,South,111,0,,6,0,
09/08/1997 21:00,120101,1,60,1,East Bound,2,South,121,0,,6,0,
09/08/1997 21:00,120101,1,60,2,West Bound,2,South,93,0,,6,0,
09/08/1997 22:00,120101,1,60,1,East Bound,2,South,74,0,,6,0,
