Sdate,Cosit,Study,Period,LaneNumber,LaneDescription,LaneDirection,DirectionDescription,Volume,Flags,Flag Text,Setup,#Bins,Bins
27/07/1999 10:00,70301,1,60,1,Northbound,1,NorthEast,0,0,,1,0,
27/07/1999 10:00,70301,1,60,2,Southbound,2,SouthWest,0,0,,1,0,
27/07/1999 11:00,70301,1,60,1,Northbound,1,NorthEast,0,0,,1,0,
27/07/1999 11:00,70301,1,60,2,Southbound,2,SouthWest,0,0,,1,0,
27/07/1999 12:00,70301,1,60,1,Northbound,1,NorthEast,63,0,,1,0,
27/07/1999 12:00,70301,1,60,2,Southbound,2,SouthWest,27,0,,1,0,
27/07/1999 13:00,70301,1,60,1,Northbound,1,NorthEast,102,0,,1,0,
27/07/1999 13:00,70301,1,60,2,Southbound,2,SouthWest,78,0,,1,0,
27/07/1999 14:00,70301,1,60,1,Northbound,1,NorthEast,90,0,,1,0,
27/07/1999 14:00,70301,1,60,2,Southbound,2,SouthWest,108,0,,1,0,
27/07/1999 15:00,70301,1,60,1,Northbound,1,NorthEast,84,0,,1,0,
27/07/1999 15:00,70301,1,60,2,Southbound,2,SouthWest,101,0,,1,0,
27/07/1999 16:00,70301,1,60,1,Northbound,1,NorthEast,93,0,,1,0,
27/07/1999 16:00,70301,1,60,2,Southbound,2,SouthWest,125,0,,1,0,
27/07/1999 17:00,70301,1,60,1,Northbound,1,NorthEast,89,0,,1,0,
27/07/1999 17:00,70301,1,60,2,Southbound,2,SouthWest,156,0,,1,0,
27/07/1999 18:00,70301,1,60,1,Northbound,1,NorthEast,85,0,,1,0,
27/07/1999 18:00,70301,1,60,2,Southbound,2,SouthWest,92,0,,1,0,
27/07/1999 19:00,70301,1,60,1,Northbound,1,NorthEast,57,0,,1,0,
27/07/1999 19:00,70301,1,60,2,Southbound,2,SouthWest,77,0,,1,0,
27/07/1999 20:00,70301,1,60,1,Northbound,1,NorthEast,36,0,,1,0,
27/07/1999 20:00,70301,1,60,2,Southbound,2,SouthWest,53,0,,1,0,
27/07/1999 21:00,70301,1,60,1,Northbound,1,NorthEast,27,0,,1,0,
27/07/1999 21:00,70301,1,60,2,Southbound,2,SouthWest,36,0,,1,0,
27/07/1999 22:00,70301,1,60,1,Northbound,1,NorthEast,20,0,,1,0,
27/07/1999 22:00,70301,1,60,2,Southbound,2,SouthWest,14,0,,1,0,
27/07/1999 23:00,70301,1,60,1,Northbound,1,NorthEast,9,0,,1,0,
27/07/1999 23:00,70301,1,60,2,Southbound,2,SouthWest,10,0,,1,0,
28/07/1999 00:00,70301,1,60,1,Northbound,1,NorthEast,7,0,,1,0,
28/07/1999 00:00,70301,1,60,2,Southbound,2,SouthWest,4,0,,1,0,
28/07/1999 01:00,70301,1,60,1,Northbound,1,NorthEast,2,0,,1,0,
28/07/1999 01:00,70301,1,60,2,Southbound,2,SouthWest,0,0,,1,0,
28/07/1999 02:00,70301,1,60,1,Northbound,1,NorthEast,1,0,,1,0,
28/07/1999 02:00,70301,1,60,2,Southbound,2,SouthWest,0,0,,1,0,
28/07/1999 03:00,70301,1,60,1,Northbound,1,NorthEast,1,0,,1,0,
28/07/1999 03:00,70301,1,60,2,Southbound,2,SouthWest,1,0,,1,0,
28/07/1999 04:00,70301,1,60,1,Northbound,1,NorthEast,1,0,,1,0,
28/07/1999 04:00,70301,1,60,2,Southbound,2,SouthWest,2,0,,1,0,
28/07/1999 05:00,70301,1,60,1,Northbound,1,NorthEast,7,0,,1,0,
28/07/1999 05:00,70301,1,60,2,Southbound,2,SouthWest,7,0,,1,0,
28/07/1999 06:00,70301,1,60,1,Northbound,1,NorthEast,16,0,,1,0,
28/07/1999 06:00,70301,1,60,2,Southbound,2,SouthWest,17,0,,1,0,
28/07/1999 07:00,70301,1,60,1,Northbound,1,NorthEast,76,0,,1,0,
28/07/1999 07:00,70301,1,60,2,Southbound,2,SouthWest,54,0,,1,0,
28/07/1999 08:00,70301,1,60,1,Northbound,1,NorthEast,85,0,,1,0,
28/07/1999 08:00,70301,1,60,2,Southbound,2,SouthWest,73,0,,1,0,
28/07/1999 09:00,70301,1,60,1,Northbound,1,NorthEast,67,0,,1,0,
28/07/1999 09:00,70301,1,60,2,Southbound,2,SouthWest,58,0,,1,0,
28/07/1999 10:00,70301,1,60,1,Northbound,1,NorthEast,87,0,,1,0,
28/07/1999 10:00,70301,1,60,2,Southbound,2,SouthWest,54,0,,1,0,
28/07/1999 11:00,70301,1,60,1,Northbound,1,NorthEast,92,0,,1,0,
28/07/1999 11:00,70301,1,60,2,Southbound,2,SouthWest,59,0,,1,0,
28/07/1999 12:00,70301,1,60,1,Northbound,1,NorthEast,79,0,,1,0,
28/07/1999 12:00,70301,1,60,2,Southbound,2,SouthWest,67,0,,1,0,
