Key-Clé,CoAppNm,CoAppRoleCD,CoAppRoleEN,CoAppRoleFR,CoAppOrgID,CoAppOrgNm,ProvinceEN,ProvinceFR,CountryEN,PaysFR,FiscalYear-AnnéeFinancière
297771,"Ehrenberg, Anna C",CO,Co-Investigator,Co-chercheur,CBAA,University of Alberta,Alberta,Alberta,Canada,Canada,200405
297771,"Young, Susan L",CO,Co-Investigator,Co-chercheur,CBAD,University of Alberta Hospital (Edmonton),Alberta,Alberta,Canada,Canada,200405
297771,"Hill, Wendy",CO,Co-Investigator,Co-chercheur,CBAA,University of Alberta,Alberta,Alberta,Canada,Canada,200405
313814,"Rochford, Joseph",KU,Knowledge User,Utilisateur des connaissances,CFAA,McGill University/Université McGill,Québec,Québec,Canada,Canada,200405
313814,"Perreault, Michel",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CFAD,CIUSSS de l'Ouest-de-l'Ile-de-Montréal-Douglas Hospital/CIUSSS de l'Ouest-de-l'Ile-de-Montréal-Hôpital Douglas,Québec,Québec,Canada,Canada,200405
313814,"Israel, Mimi",KU,Knowledge User,Utilisateur des connaissances,CFAD,CIUSSS de l'Ouest-de-l'Ile-de-Montréal-Douglas Hospital/CIUSSS de l'Ouest-de-l'Ile-de-Montréal-Hôpital Douglas,Québec,Québec,Canada,Canada,200405
313814,"Brown, Thomas G",CO,Co-Investigator,Co-chercheur,CFAD,CIUSSS de l'Ouest-de-l'Ile-de-Montréal-Douglas Hospital/CIUSSS de l'Ouest-de-l'Ile-de-Montréal-Hôpital Douglas,Québec,Québec,Canada,Canada,200405
313814,"Fleury, Marie-Josée",CO,Co-Investigator,Co-chercheur,CFAA,McGill University/Université McGill,Québec,Québec,Canada,Canada,200405
313814,"Landry, Michel",KU,Knowledge User,Utilisateur des connaissances,CFCA,Université de Montréal,Québec,Québec,Canada,Canada,200405
313814,"Tremblay, Jacques",KU,Knowledge User,Utilisateur des connaissances,CFAD,CIUSSS de l'Ouest-de-l'Ile-de-Montréal-Douglas Hospital/CIUSSS de l'Ouest-de-l'Ile-de-Montréal-Hôpital Douglas,Québec,Québec,Canada,Canada,200405
313814,"Bonin, Jean-Pierre",PI,Principal Investigator,Chercheur principal,FHLL,Fondation de l'Hôpital Louis-H. Lafontaine,Québec,Québec,Canada,Canada,200405
313814,"Lalinec, Martine",KU,Knowledge User,Utilisateur des connaissances,CFAD,CIUSSS de l'Ouest-de-l'Ile-de-Montréal-Douglas Hospital/CIUSSS de l'Ouest-de-l'Ile-de-Montréal-Hôpital Douglas,Québec,Québec,Canada,Canada,200405
313814,"Alary, Geneviève",KU,Knowledge User,Utilisateur des connaissances,XXXX,Undetermined/Indeterminé,Unknown,Inconnu,Unknown,Inconnu,200405
313814,"Ferland, Isabelle",KU,Knowledge User,Utilisateur des connaissances,XXXX,Undetermined/Indeterminé,Unknown,Inconnu,Unknown,Inconnu,200405
313814,"Guillemette, Michel",KU,Knowledge User,Utilisateur des connaissances,Unspecified/Non Spécifié,Unspecified/Non Spécifié,Unknown,Inconnu,Unspecified/Non Spécifié,Unspecified/Non Spécifié,200405
313814,"Ross, David",KU,Knowledge User,Utilisateur des connaissances,XXXX,Undetermined/Indeterminé,Unknown,Inconnu,Unknown,Inconnu,200405
771681,"Teare, Gary F",CO,Co-Investigator,Co-chercheur,AHLE,Alberta Health Services (Provincial),Alberta,Alberta,Canada,Canada,200405
771681,"Tourangeau, Ann Elizabeth",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CABA,University of Victoria (British Columbia),British Columbia,Colombie-Britannique,Canada,Canada,200405
771681,"McGilton, Katherine S",PI,Principal Investigator,Chercheur principal,IOAA,Toronto Rehabilitation Institute-UHN,Ontario,Ontario,Canada,Canada,200405
771681,"Wodchis, Walter P",CO,Co-Investigator,Co-chercheur,CRED,The Credit Valley Hospital (Mississauga),Ontario,Ontario,Canada,Canada,200405
771681,"Anderson, Carol L",KU,Knowledge User,Utilisateur des connaissances,RILH,Lakeridge Health Corporation Research Institute,Ontario,Ontario,Canada,Canada,200405
771681,"Gerring, Georgia",KU,Knowledge User,Utilisateur des connaissances,IOAA,Toronto Rehabilitation Institute-UHN,Ontario,Ontario,Canada,Canada,200405
771681,"Crowe, Anne",KU,Knowledge User,Utilisateur des connaissances,XXXX,Undetermined/Indeterminé,Unknown,Inconnu,Unknown,Inconnu,200405
771681,"Power, Chris",KU,Knowledge User,Utilisateur des connaissances,CPSI,Canadian Patient Safety Institute,Alberta,Alberta,Canada,Canada,200405
771681,"Walsh, Josie",KU,Knowledge User,Utilisateur des connaissances,XXXX,Undetermined/Indeterminé,Unknown,Inconnu,Unknown,Inconnu,200405
771681,"Strapp, Ann Marie",KU,Knowledge User,Utilisateur des connaissances,OWHC,Ontario Ministry of Health and Long Term Care/Ministère de la Santé et des Soins de longue durée de l'Ontario,Ontario,Ontario,Canada,Canada,200405
771681,"Lewis, Mary",KU,Knowledge User,Utilisateur des connaissances,AACN,Heart and Stroke Foundation of Ontario (Toronto),Ontario,Ontario,Canada,Canada,200405
406974,"Storch, Janet L",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CABA,University of Victoria (British Columbia),British Columbia,Colombie-Britannique,Canada,Canada,200405
406974,"Shamian, Judith",KU,Knowledge User,Utilisateur des connaissances,AACK,Victorian Order of Nurses for Canada (Ottawa)/Les Infirmières de l'Ordre de Victoria du Canada,Ontario,Ontario,Canada,Canada,200405
406974,"Varcoe, Colleen M",CO,Co-Investigator,Co-chercheur,CAAA,University of British Columbia,British Columbia,Colombie-Britannique,Canada,Canada,200405
406974,"Starzomski, Rosalie C",CO,Co-Investigator,Co-chercheur,CABA,University of Victoria (British Columbia),British Columbia,Colombie-Britannique,Canada,Canada,200405
406974,"Rodney, Patricia A",PI,Principal Investigator,Chercheur principal,CAAA,University of British Columbia,British Columbia,Colombie-Britannique,Canada,Canada,200405
406974,"Pauly, Bernadette M",CO,Co-Investigator,Co-chercheur,CABA,University of Victoria (British Columbia),British Columbia,Colombie-Britannique,Canada,Canada,200405
406974,"Roger, Rick",KU,Knowledge User,Utilisateur des connaissances,Unspecified/Non Spécifié,Unspecified/Non Spécifié,Unknown,Inconnu,Unspecified/Non Spécifié,Unspecified/Non Spécifié,200405
406974,"Stevenson, Lynn",KU,Knowledge User,Utilisateur des connaissances,AABM,British Columbia Ministry of Health (Victoria),British Columbia,Colombie-Britannique,Canada,Canada,200405
406974,"Fulton, Thomas R",KU,Knowledge User,Utilisateur des connaissances,TERH,"Interior Health (Kelowna, BC)",British Columbia,Colombie-Britannique,Canada,Canada,200405
406974,"Marck, Patricia B",KU,Knowledge User,Utilisateur des connaissances,CABA,University of Victoria (British Columbia),British Columbia,Colombie-Britannique,Canada,Canada,200405
