County,Category,Taxonomic Group,Taxonomic Subgroup,Scientific Name,Common Name,State Conservation Rank,Global Conservation Rank
Kings,Plant,Flowering Plants,Other Flowering Plants,Lithospermum virginianum,Virginia False Gromwell,S1,G4
Orleans,Animal,Birds,Shrikes,Lanius ludovicianus,Loggerhead Shrike,S1B,G4
Clinton,Animal,Reptiles,Turtles,Graptemys geographica,Common Map Turtle,S3,G5
Orleans,Animal,Birds,Wrens,Cistothorus palustris,Marsh Wren,S5,G5
Orleans,Animal,Birds,Cuckoos,Coccyzus americanus,Yellow-billed Cuckoo,S5B,G5
Tompkins,Plant,Flowering Plants,Other Flowering Plants,Trollius laxus,Spreading Globeflower,S3,G5T3
St. Lawrence,Animal,Fish,Lampreys,Ichthyomyzon fossor,Northern Brook Lamprey,S2,G4
Tioga,Animal,Birds,Flycatchers,Empidonax alnorum,Alder Flycatcher,S5B,G5
Tioga,Animal,Reptiles,Snakes,Thamnophis sauritus,Eastern Ribbonsnake,S4,G5
Erie,Animal,Birds,Sparrows and Towhees,Melospiza melodia,Song Sparrow,S5B,G5
Delaware,Plant,Ferns and Fern Allies,Ferns,Botrychium oneidense,Blunt-lobe Grape Fern,S2S3,G4
Chenango,Animal,Dragonflies and Damselflies,Damselflies,Lestes unguiculatus,Lyre-tipped Spreadwing,S2S3,G5
Westchester,Animal,Birds,Wrens,Cistothorus platensis,Sedge Wren,S3B,G5
Essex,Animal,Birds,"Gulls, Terns, Plovers, Shorebirds",Sterna hirundo,Common Tern,S3B,G5
Schenectady,Animal,Birds,Blackbirds and Orioles,Quiscalus quiscula,Common Grackle,S5B,G5
Delaware,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Buteo jamaicensis,Red-tailed Hawk,S5,G5
Queens,Animal,Birds,"Ducks, Geese, Waterfowl",Anas strepera,Gadwall,S3,G5
Monroe,Plant,Flowering Plants,Grasses,Calamagrostis stricta ssp. inexpansa,New England Northern Reed Grass,S2,G5T5
Fulton,Plant,Flowering Plants,Sedges,Carex houghtoniana,Houghton's Sedge,S2,G5
Oneida,Animal,Birds,Flycatchers,Myiarchus crinitus,Great Crested Flycatcher,S5B,G5
Westchester,Natural Community,Tidal Wetlands,Intertidal Wetlands,Brackish tidal marsh,Brackish Tidal Marsh,S3S4,G4
Chemung,Animal,Birds,Hummingbirds and Swifts,Archilochus colubris,Ruby-throated Hummingbird,S5B,G5
Queens,Animal,Birds,"Herons, Bitterns, Egrets, Pelicans",Bubulcus ibis,Cattle Egret,S2,G5
Oswego,Animal,Birds,Wood-Warblers,Setophaga pinus,Pine Warbler,S5B,G5
Warren,Plant,Flowering Plants,"Asters, Goldenrods and Daisies",Solidago randii,Rand's Goldenrod,S2,G5T4
Albany,Plant,Flowering Plants,"Asters, Goldenrods and Daisies",Solidago ohioensis,Ohio Goldenrod,S2,G4
Onondaga,Plant,Flowering Plants,Sedges,Bolboschoenus maritimus ssp. paludosus,Seaside Bulrush,S2,G5
Washington,Animal,Birds,Wood-Warblers,Parkesia noveboracensis,Northern Waterthrush,S5B,G5
Sullivan,Animal,Amphibians,Salamanders,Notophthalmus viridescens,Eastern Newt,S5,G5
Broome,Animal,Birds,"Grouse, Pheasants, Turkeys",Bonasa umbellus,Ruffed Grouse,S5,G5
Bronx,Plant,Flowering Plants,Grasses,Sphenopholis obtusata,Prairie Wedgegrass,S1,G5
Genesee,Animal,Birds,Owls,Asio flammeus,Short-eared Owl,S2,G5
Greene,Plant,Flowering Plants,Other Flowering Plants,Valerianella umbilicata,Navel Corn Salad,SH,G4G5
Franklin,Animal,Birds,Wood-Warblers,Setophaga caerulescens,Black-throated Blue Warbler,S5B,G5
Fulton,Animal,Birds,Blackbirds and Orioles,Sturnella magna,Eastern Meadowlark,S5B,G5
Cortland,Animal,Birds,"Herons, Bitterns, Egrets, Pelicans",Botaurus lentiginosus,American Bittern,S4,G4
Dutchess,Animal,Birds,"Ducks, Geese, Waterfowl",Anas rubripes,American Black Duck,"S3B,SNRN",G5
Orleans,Animal,Mussels and Clams,Freshwater Mussels,Leptodea fragilis,Fragile Papershell,S3,G5
Suffolk,Plant,Flowering Plants,Sedges,Carex reznicekii,Reznicek's Sedge,S1S2,G5
Oneida,Plant,Flowering Plants,Orchids,Triphora trianthophoros ssp. trianthophoros,Nodding Pogonia,S2,G3G4T3T4
Chautauqua,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Pandion haliaetus,Osprey,S4B,G5
St. Lawrence,Animal,Birds,Wrens,Thryothorus ludovicianus,Carolina Wren,S5,G5
