ï»¿Terme_de_recherche,Nombre_total_de_recherches_uniques,Pages_vues_(resultats)_par_recherche,Sorties_apres_recherche_(%),Precision_des_recherches_(%),Temps_apres_recherche,Etendue_moyenne_de_la_recherche
architecture,25,1.16,4.00%,72.41%,190.24,7.84
autisme,25,1.52,4.00%,50.00%,532.84,13.48
carol,25,1.2,0.00%,46.67%,182.04,6.72
dekalog,25,1.0,12.00%,64.00%,63.88,2.12
emma chase,25,1.12,0.00%,60.71%,220.2,4.76
green day,25,1.12,0.00%,78.57%,256.84,4.28
hurts,25,1.0,0.00%,100.00%,9.92,1.0
Inferno,25,1.2,8.00%,23.33%,160.84,5.48
la presse,25,1.48,8.00%,35.14%,233.96,6.48
laurence anyways,25,1.16,0.00%,75.86%,92.64,3.64
Nora roberts,25,1.16,4.00%,44.83%,236.32,11.84
protÃ©gez-vous,25,1.84,8.00%,19.57%,200.28,5.96
The conjuring 2,25,1.12,0.00%,71.43%,28.28,1.44
un coeur sombre,25,1.16,4.00%,48.28%,212.2,4.84
xbox one,25,1.36,0.00%,32.35%,329.04,13.2
code quebec,24,1.13,0.00%,48.15%,200.88,3.79
coldplay,24,1.38,8.33%,57.58%,184.54,6.79
david bowie,24,1.17,4.17%,57.14%,191.67,8.17
dvsn,24,1.0,0.00%,37.50%,144.58,4.29
eggs,24,1.17,0.00%,78.57%,82.33,1.58
etienne daho,24,1.08,0.00%,96.15%,17.13,1.21
jack reacher,24,1.21,0.00%,48.28%,230.46,3.71
les innocentes,24,1.25,4.17%,73.33%,94.46,3.17
Mafia 3,24,1.13,20.83%,48.15%,63.04,2.0
matt holubowski,24,1.13,4.17%,48.15%,168.71,4.92
melissa verreault,24,1.33,4.17%,18.75%,88.25,2.08
