Production Year,Operator,County,Town,Producing Formation,Injection Wells,Disposal Wells,"Oil Produced, bbl",Purchaser Codes
1971,Wood Oil Co.,Cattaraugus,OLEAN,BRADFORD,0,0,1372,OA
1994,"Forrestel, Richard E",Erie,NEWSTEAD,MEDINA,0,0,0,
1994,"Dudar, John",Allegany,ALMA,RICHBURG,0,0,0,
1986,"Chautauqua Natural Gas Co., Inc",Chautauqua,CHAUTAUQUA,MEDINA,0,0,0,GH
1995,"Ardent Resources, Inc.",Ontario,PHELPS,MEDINA,0,0,0,
1986,"Westmin Resources,  Inc.",Livingston,SPARTA,MEDINA,0,0,0,
1983,"Lopatofsky, George J",Erie,EVANS,MEDINA,0,0,0,
1982,Messer Oil Corp.,Cattaraugus,ALLEGANY,BRADFORD,0,0,0,
1980,"Cross, Merton M.",Cattaraugus,PERRYSBURG,MEDINA,0,0,0,GK
1986,Cal Ban Corp.,Cattaraugus,ALLEGANY,BRADFORD,0,0,3232,"OA,OB,OC"
1991,"Rose State Custom Service, Inc",Cayuga,SPRINGPORT,QUEENSTON,0,0,0,
1999,United States Gypsum Co.,Wyoming,SHELDON,MEDINA,0,0,0,"GH,GK,GR"
1986,Quaker State Corp.,Cattaraugus,CARROLLTON,BRADFORD,0,0,45294,OB
1999,Belden & Blake Corporation,Wyoming,ARCADE,THERESA,0,0,0,GK
1992,"Tomaka-Bay Energy Co., Inc.",Erie,HAMBURG,MEDINA,0,0,0,GK
1985,Villafrank & Price,Chautauqua,WESTFIELD,MEDINA,0,0,0,GK
1999,"Clark, Donald C",Wyoming,PERRY,MEDINA,0,0,0,
1986,NY Conference Association of Seventh-Day Adventist,Cayuga,SPRINGPORT,QUEENSTON,0,0,0,
1996,"Carls, Kevin D",Cattaraugus,CARROLLTON,CHIPMUNK,0,0,199,OA
1994,"Subsea Oil & Gas, Inc.",Erie,MARILLA,MEDINA,0,0,0,GK
1996,"GFS Energy, Inc.",Chautauqua,DUNKIRK,MEDINA,0,0,0,GK
1989,"Stark, Eric",Allegany,INDEPENDENCE,FULMER VALLEY,0,0,99,OB
1991,"Ardent Resources, Inc.",Ontario,GENEVA,MEDINA-QUEENSTON,0,0,0,GX
1986,Silver Creek Drilling Corp.,Erie,BOSTON,MEDINA,0,0,0,"GK,GX"
1990,"Arrowhead Resources, Inc.",Cattaraugus,ASHFORD,MEDINA,0,0,0,
1996,Dunkirk Int'l Glass & Ceramics,Chautauqua,DUNKIRK,MEDINA,0,0,0,
1986,"Sterling Energy, Inc.",Livingston,AVON,MEDINA,0,0,0,GX
1972,"Jennings, Fred W.",Allegany,ALMA,RICHBURG,0,0,128,OB
1980,"Karim, Raja Abdul",Cayuga,CATO,TRENTON,0,0,0,
1993,"Blessing, Michael R.",Cattaraugus,OLEAN,BRADFORD,0,0,259,OA
1981,Bennett Petroleum Corp.,Wyoming,PERRY,MEDINA,0,0,0,
1990,"Esterline, Norma K.",Chautauqua,CLYMER,MEDINA,0,0,0,
1992,National Fuel Gas Supply Corp.,Erie,HAMBURG,MEDINA,0,0,0,GK
1983,Cheektowaga-Maryvale Union Free School District,Erie,CHEEKTOWAGA,MEDINA,0,0,0,
1980,Banks Gas Drilling Co.,Erie,BOSTON,MEDINA,0,0,0,
1976,"Brown, Maude S.",Allegany,WIRT,RICHBURG,0,0,50,OB
1981,National Fuel Gas Supply Corp.,Erie,ORCHARD PARK,MEDINA,0,0,0,
1987,Empire Energies,Erie,EDEN,MEDINA,0,0,0,"GK,GX"
1998,"Clark, Ralph",Allegany,GENESEE,RICHBURG,0,0,0,
1988,TGX Corp.,Chautauqua,DUNKIRK,MEDINA,0,0,0,GK
1971,Pennzoil Products Co.,Cattaraugus,ALLEGANY,BRADFORD,0,0,45922,OA
1983,"Venture Technology, Inc.",Chautauqua,POMFRET,MEDINA,0,0,0,
1980,National Fuel Gas Supply Corp.,Cattaraugus,DAYTON,MEDINA,0,0,0,
1993,"Empire Exploration, Inc.",Chautauqua,CLYMER,ONONDAGA-BASS ISLAND,0,0,864,OA
1978,"Root, Ralph Mr.",Allegany,BOLIVAR,RICHBURG,0,0,0,
1983,P & G Oil Co.,Allegany,WILLING,RICHBURG,0,0,0,
1994,"Connors, Robert & Shirley",Ontario,WEST BLOOMFIELD,MEDINA,0,0,0,
1979,National Fuel Gas Supply Corp.,Genesee,BETHANY,MEDINA,0,0,0,
1997,Collins Oil Co.,Allegany,ALMA,RICHBURG,0,0,198,OD
1985,Maynard Oil Co.,Erie,COLDEN,MEDINA,0,0,0,"GK,GX"
1991,L. W. Resources,Chautauqua,DUNKIRK,MEDINA,0,0,0,GK
1998,"Eastern States Energy, Inc.",Erie,BRANT,MEDINA,0,0,0,GK
1997,"OI. Auburn, Inc.",Cayuga,THROOP,QUEENSTON,0,0,0,GO
1992,"Chautauqua Energy, Inc.",Chautauqua,WESTFIELD,MEDINA,0,0,0,GA
1985,"Baldwin, Grace I",Allegany,BOLIVAR,RICHBURG,0,0,0,OB
1973,Iroquois Gas Corp.,Erie,EVANS,MEDINA,0,0,0,
1977,United States Gypsum Co.,Genesee,OAKFIELD,MEDINA,0,0,0,GR
1978,Gemini Oil Company,Chautauqua,BUSTI,GLADE,0,0,2134,OB
1991,"P Y E Resources, Inc.",Cattaraugus,OLEAN,BRADFORD,0,0,1103,OA
1996,"Shelex Drilling, Inc.",Chautauqua,STOCKTON,MEDINA,0,0,0,
1988,"Appalachian Basin Oil & Gas, Inc.",Chautauqua,SHERIDAN,MEDINA,0,0,0,"GK,GX"
1979,Dresser Trans Equipment Division,Erie,LANCASTER,MEDINA,0,0,0,
1986,"Consolidated Exploration  & Gathering, Inc.",Erie,EDEN,MEDINA,0,0,0,GU
1994,"Oil, Gas & Land Services, Inc.",Chautauqua,CHARLOTTE,MEDINA,0,0,0,"GC,GX"
1971,"Cusimano, Sam",Chautauqua,BUSTI,GLADE,0,0,21,OB
1983,Pennzoil Products Co.,Cattaraugus,ALLEGANY,BRADFORD,71,0,1048,
1998,"20 Bliss Street, Inc.",Chautauqua,ARKWRIGHT,MEDINA,0,0,0,GK
1986,Gerald M. & Jewell F. Mooney Revoc. Living Trust,Chautauqua,RIPLEY,MEDINA,0,0,0,
1993,"Dougherty, Charles and Carolyn",Allegany,ANDOVER,FULMER VALLEY,0,0,0,OC
1994,Keicher Brothers Enterprises,Wyoming,BENNINGTON,MEDINA,0,0,0,
1976,"Flint Oil & Gas, Inc.",Erie,BRANT,MEDINA,0,0,0,GK
1994,"Ardent Resources, Inc.",Chautauqua,CHARLOTTE,MEDINA,0,0,0,GK
1981,Walters & Johnson,Chautauqua,BUSTI,GLADE,0,0,834,OA
1978,"Appalachian Energy, Inc.",Chautauqua,BUSTI,MEDINA,0,0,0,
1985,"Tiffany, Glenn O",Tioga,OWEGO,MARCELLUS,0,0,0,
1991,"J M Resources, Inc.",Chautauqua,POMFRET,MEDINA,0,0,0,GK
1996,"Geo Ventures, Inc.",Erie,CONCORD,MEDINA,0,0,0,GK
1993,"Gill, Janice P., Trustee",Chautauqua,CHAUTAUQUA,MEDINA,0,0,0,
1999,"Central New York Oil & Gas Co., LLC",Tioga,OWEGO,NONE SPECIFIED,0,0,0,
1998,"Saxton, Richard W.",Cayuga,SPRINGPORT,QUEENSTON,0,0,0,
1975,"Wanamaker, Raymond & Aletha",Erie,HOLLAND,MEDINA,0,0,0,GK
1993,"Naar, Manfred",Steuben,CAMERON,RHINESTREET,0,0,0,
1969,"Shaner, Ray C.",Allegany,GENESEE,RICHBURG,0,0,5857,OB
1974,Thomas A Miller Oil Co.,Cattaraugus,ALLEGANY,BRADFORD,0,0,43,OA
1988,Cabot Oil & Gas Corp.,Yates,POTTER,QUEENSTON,0,0,0,
1973,"McKee, Robert S",Allegany,ALMA,RICHBURG,0,0,462,OB
1994,Buchanan & Hatch Oil Co.,Cattaraugus,CARROLLTON,CHIPMUNK,0,0,0,OA
1983,"Carls, Kevin D",Cattaraugus,CARROLLTON,CHIPMUNK,0,0,263,
1997,"J M Resources, Inc.",Chautauqua,RIPLEY,MEDINA,0,0,0,GK
1997,"Eclipse Energy Company, LLC",Chautauqua,SHERIDAN,MEDINA,0,0,0,GK
1993,Eden Central School District,Erie,EDEN,MEDINA,0,0,0,
1991,"Shields, Timothy R. & Donnalee F.",Cattaraugus,RANDOLPH,MEDINA,0,0,0,
1967,Frank H. Stephan Oil Group,Cattaraugus,ALLEGANY,BRADFORD,0,0,5720,OC
1991,National Fuel Gas Supply Corp.,Chautauqua,SHERIDAN,MEDINA,0,0,0,GK
1990,Gypsum Energy Management Co.,Genesee,ALEXANDER,MEDINA,0,0,0,GR
1999,"Basic Energy Producers, Inc.",Chautauqua,POMFRET,MEDINA,0,0,0,
1988,Pembroke Central School District,Genesee,PEMBROKE,MEDINA,0,0,0,
1999,"Zielinski, Jason H.",Chautauqua,ARKWRIGHT,MEDINA,0,0,0,
1989,All Saints Lutheran Church,Erie,HAMBURG,MEDINA,0,0,0,
1976,Meridian Exploration Corp.,Chautauqua,VILLENOVA,MEDINA,0,0,0,GK
1994,"Goater, Kenneth A",Niagara,LEWISTON,MEDINA,0,0,0,
1996,Belden & Blake Corporation,Chautauqua,NORTH HARMONY,MEDINA,0,0,0,GH
1982,"Joyce, Genevieve",Allegany,ANDOVER,FULMER VALLEY,0,0,121,OX
1987,"Trahan Petroleum, Inc.",Chautauqua,BUSTI,MEDINA,0,0,0,GH
1986,Eagle Oil,Allegany,ALMA,RICHBURG,0,0,280,OB
1988,Rochester Gas & Electric Corp.,Monroe,RIGA,MEDINA,0,0,0,
1983,Columbia Gas Transmission Corp.,Cattaraugus,RANDOLPH,MEDINA,0,0,0,
1976,Potter Oil Co.,Allegany,INDEPENDENCE,FULMER VALLEY,0,0,3088,"GK,OB"
1996,"Storch, Diane F.",Wyoming,BENNINGTON,MEDINA,0,0,0,
1976,"Conewango Valley Mills, Inc.",Cattaraugus,CONEWANGO,,0,0,0,
1998,"Pefley Oil & Gas, Inc.",Chautauqua,BUSTI,GLADE,0,0,11845,"GK,OA"
1986,"Diate, Sam B",Chautauqua,POMFRET,UPPER DEVONIAN SHALE,0,0,0,
1994,"Peterson, Donald W. & L. Janet",Chautauqua,SHERMAN,MEDINA,0,0,0,
1995,"Snyder, Larry",Cattaraugus,DAYTON,MEDINA,0,0,0,
1996,United States Gypsum Co.,Wyoming,SHELDON,AKRON,0,0,0,GR
1968,"Country Side Sand & Gravel, Inc",Cattaraugus,DAYTON,MEDINA,0,0,0,
1995,"20 Bliss Street, Inc.",Chautauqua,SHERIDAN,MEDINA,0,0,0,GK
1998,United States Gypsum Co.,Wyoming,BENNINGTON,MEDINA,0,0,0,GK
1987,Davey - Joans,Oswego,WILLIAMSTOWN,TRENTON,0,0,0,
