Senior Officials Name,Start date of trip,Duration of Visit (Days),Destination,Purpose of trip,Mode of transport,Class of travel,Accommodation/Meals (£),Other (including hospitality given),"Total cost, including all visas, accommodation, travel, meals etc. (£)",Total Cost of Use of Official Secure Car,Unnamed: 11,Unnamed: 12
Andres Honeywell,2020-03-09,3.0,"London, UK",Chief Information Officer Business Review; Chief Digital & Information Officer group Senior Leadership Team Meeting; EU Exit Strands of Work Meeting; Director leadership Programme Event,Air / Rail,Standard, £255.00 , Nil Return , £776.64 , Nil Return ,,
Stella Jarvis,2020-01-06,1.0,"London, UK",Cross-government Transition Period Co-ordination,Rail,Standard, Nil Return , Nil Return , £50.00 , Nil Return ,,
Stella Jarvis,2020-01-13,1.0,"London, UK",Cross-government Transition Period Co-ordination,Rail,Standard, Nil Return , Nil Return , £50.00 , Nil Return ,,
Stella Jarvis,2020-01-14,1.0,"London, UK",Cross-government Transition Period Co-ordination,Rail,Standard, Nil Return , Nil Return , £50.00 , Nil Return ,,
Stella Jarvis,2020-01-16,1.0,"London, UK",Cross-government Transition Period Co-ordination,Rail,Standard, Nil Return , Nil Return , £44.00 , Nil Return ,,
Stella Jarvis,2020-01-16,1.0,"London, UK",Cross-government Transition Period Co-ordination,Tube,Standard, Nil Return , Nil Return , £14.00 , Nil Return ,,
Stella Jarvis,2020-01-20,1.0,"London, UK",Cross-government Transition Period Co-ordination,Rail,Standard, Nil Return , Nil Return , £50.00 , Nil Return ,,
Stella Jarvis,2020-01-21,1.0,"London, UK",Cross-government Transition Period Co-ordination,Rail,Standard, Nil Return , Nil Return , £50.00 , Nil Return ,,
Stella Jarvis,2020-01-22,1.0,"London, UK",Cross-government Transition Period Co-ordination,Rail,Standard, Nil Return , Nil Return , £50.00 , Nil Return ,,
Stella Jarvis,2020-01-23,1.0,"London, UK",Cross-government Transition Period Co-ordination,Rail,Standard, Nil Return , Nil Return , £50.00 , Nil Return ,,
Stella Jarvis,2020-01-27,1.0,"London, UK",Cross-government Transition Period Co-ordination,Rail,Standard, Nil Return , Nil Return , £50.00 , Nil Return ,,
Stella Jarvis,2020-01-28,1.0,"London, UK",Cross-government Transition Period Co-ordination,Rail,Standard, Nil Return , Nil Return , £50.00 , Nil Return ,,
Stella Jarvis,2020-01-29,1.0,"London, UK",Cross-government Transition Period Co-ordination,Rail,Standard, Nil Return , Nil Return , £50.00 , Nil Return ,,
Stella Jarvis,2020-02-03,1.0,"London, UK",Cross-government Transition Period Co-ordination,Rail,Standard, Nil Return , Nil Return , £50.00 , Nil Return ,,
Stella Jarvis,2020-02-05,1.0,"London, UK",Cross-government Transition Period Co-ordination,Rail,Standard, Nil Return , Nil Return , £50.00 , Nil Return ,,
Stella Jarvis,2020-02-10,1.0,"London, UK",Cross-government Transition Period Co-ordination,Rail,Standard, Nil Return , Nil Return , £50.00 , Nil Return ,,
Stella Jarvis,2020-02-11,1.0,"London, UK",Cross-government Transition Period Co-ordination,Rail,Standard, Nil Return , Nil Return , £50.00 , Nil Return ,,
Stella Jarvis,2020-02-12,1.0,"London, UK",Cross-government Transition Period Co-ordination,Rail,Standard, Nil Return , Nil Return , £50.00 , Nil Return ,,
Stella Jarvis,2020-02-13,1.0,"London, UK",Cross-government Transition Period Co-ordination,Rail,Standard, Nil Return , Nil Return , £50.00 , Nil Return ,,
Stella Jarvis,2020-02-17,1.0,"London, UK",Cross-government Transition Period Co-ordination,Rail,Standard, Nil Return , Nil Return , £50.00 , Nil Return ,,
Stella Jarvis,2020-02-19,1.0,"London, UK",Cross-government Transition Period Co-ordination,Rail,Standard, Nil Return , Nil Return , £50.00 , Nil Return ,,
Stella Jarvis,2020-02-25,1.0,"London, UK",Cross-government Transition Period Co-ordination,Rail,Standard, Nil Return , Nil Return , £50.00 , Nil Return ,,
Stella Jarvis,2020-03-18,1.0,"London, UK",Cross-government Transition Period Co-ordination,Rail,Standard, Nil Return , Nil Return , £50.00 , Nil Return ,,
Karl Khan,2020-01-13,1.0,"London, UK",Finance Leadership Meeting Away Day,Rail,Standard, Nil Return , Nil Return , £57.00 , Nil Return ,,
Karl Khan,2020-01-15,1.0,"London, UK",Senior Leaders Meeting,Rail / Tube,Standard, £133.20 , Nil Return , £192.40 , Nil Return ,,
Karl Khan,2020-01-21,1.0,"London, UK",Senior Meetings,Rail / Tube,Standard, £129.00 , Nil Return , £190.80 , Nil Return ,,
Karl Khan,2020-01-27,1.0,"London, UK",Senior Meetings,Rail,Standard, Nil Return , Nil Return , £57.00 , Nil Return ,,
Karl Khan,2020-01-29,2.0,"London and Manchester, UK",Senior Meetings; Leading Together Conference,Rail / Tube,Standard, £89.00 , Nil Return , £300.15 , Nil Return ,,
Karl Khan,2020-02-05,1.0,"London, UK",Senior Leadership Team Team Build,Rail,Standard, Nil Return , Nil Return , £57.00 , Nil Return ,,
Karl Khan,2020-02-06,1.0,"London, UK",Senior Meetings,Rail,Standard, Nil Return , Nil Return , £57.00 , Nil Return ,,
Karl Khan,2020-02-11,1.0,"London, UK",Senior Meetings,Rail,Standard, Nil Return , Nil Return , £57.00 , Nil Return ,,
Karl Khan,2020-02-17,1.0,"London, UK",Strategic Performance & Resources Committee,Rail / Tube,Standard, Nil Return , Nil Return , £35.80 , Nil Return ,,
Karl Khan,2020-02-24,1.0,"London, UK",Senior Meetings,Rail,Standard, Nil Return , Nil Return , £40.00 , Nil Return ,,
Karl Khan,2020-03-02,2.0,"London, UK",Directorate livestreaming session; Interviews,Rail,Standard, Nil Return , Nil Return , £124.00 , Nil Return ,,
Tim Lai,2020-01-08,1.0,"London, UK",South Tees Site Company Board,Rail,Standard, £28.69 , Nil Return , £170.69 , Nil Return ,,
Tim Lai,2020-01-09,1.0,"London, UK",Deal Delivery Checkpoint Workshop,Bus / Air / Rail,Economy / Standard, Nil Return , Nil Return , £174.81 , Nil Return ,,
Tim Lai,2020-01-14,3.0,"London, UK",Exploratory discussions; Customer Strategy & Tax Design meetings,Rail / Air,Standard/ Economy / First, £719.89 , Nil Return ," £1,038.01 ", Nil Return ,,
Tim Lai,2020-01-20,3.0,"London, UK",Friction in Trade Workshop; People Senior Leader meeting,Air,Economy, £51.09 , Nil Return , £386.71 , Nil Return ,,
Tim Lai,2020-01-27,3.0,"London, UK",Deal Workshop,Meal,, £14.19 ,Nil Return,56.19,Nil Return,,
Tim Lai,2020-02-04,1.0,"Telford, UK",EU Exit Governance Workshop,Meal / Hotel,, £841.15 ,Nil Return,841.15,Nil Return,,
Tim Lai,2020-02-05,1.0,"Oxford, UK",Major Programme Leadership Academy event masterclass,Rail / Air,Economy / Standard / First, £161.30 ,Nil Return, £530.49 ,Nil Return,,
Tim Lai,2020-02-17,1.0,"London, UK","EU Exit Senior Leadership Team, EU Board, Northern Ireland Programme Business case.",Air,Economy, £26.69 ,Nil Return, £134.00 ,Nil Return,,
Tim Lai,2020-02-24,4.0,"Birmingham, UK",Extended Senior Leadership Team meeting; NIP update,Air / Rail,Economy / Standard, £154.25 ,Nil Return, £487.89 ,Nil Return,,
Tim Lai,2020-03-02,1.0,"Southampton, UK",Infrastructure & Projects Authority Review - Planning Meeting,Air,Economy, £20.80 ,Nil Return, £158.11 ,Nil Return,,
Tim Lai,2020-03-02,4.0,"London, UK",Northern Ireland Protocol/HMRC/HM Treasury EU Funding,Air / Rail,Economy / First, £30.40 ,Nil Return, £276.73 ,Nil Return,,
Tim Lai,2020-03-10,3.0,"Andover, UK",Infrastructure & Projects Authority Review,Air / Rail / Taxi,Economy / First, £292.00 ,Nil Return, £564.53 ,Nil Return,,
Tim Lai,2020-03-16,1.0,"London, UK",Customs Declaration Northern Ireland/Action Learning Set ,Air,Economy,Nil Return,Nil Return, £135.31 ,Nil Return,,
Tim Lai,2020-03-16,2.0,"Cardiff, UK",Borders Design to Delivery Directorate People Senior Leadership Team,Rail,Standard, £89.00 ,Nil Return, £213.00 ,Nil Return,,
Andy Leggett,2020-01-15,2.0,"Cardiff, UK",Travelled to attend Risk & Intelligence Senior Leadership Away Day,Rail,Standard , £210.00 ,Nil Return, £360.00 ,Nil Return,,
Andy Leggett,2020-01-22,2.0,"London, UK",Travelled to attend an Executive Committee  Spending Review Meeting(22/02) and a  Senior Leadership Group Conference (23/02),Rail,Standard, £217.00 ,Nil Return, £595.50 ,Nil Return,,
Andy Leggett,2020-01-28,1.0,"London, UK",Travelled to attend Risk & Intelligence Offshore and Analysis Team Visit,Rail,Standard, £10.00 ,Nil Return, £376.45 ,Nil Return,,
Andy Leggett,2020-01-30,1.0,"London, UK",Travelled to attend a Customer Compliance Group Senior Leadership Monthly Meeting,Rail,Standard, £4.00 ,Nil Return, £370.84 ,Nil Return,,
Andy Leggett,2020-02-12,2.0,"London, UK",Travelled to attend a Senior Leadership strategy Meeting (12/02) and a  Customer Compliance Group Senior Leadership monthly Meeting,Rail,Standard, £164.00 ,Nil Return, £508.25 ,Nil Return,,
Andy Leggett,2020-02-20,1.0,"London, UK",Travelled to attend a Risk & Intelligence Senior Leadership Group Meeting,Rail,Standard, £6.00 ,Nil Return, £372.99 ,Nil Return,,
Andy Leggett,2020-02-25,1.0,"London, UK",Travelled to attend a Customer Compliance Senior Leadership Monthly Meeting,Rail,Standard , £7.00 ,Nil Return, £373.74 ,Nil Return,,
Andy Leggett,2020-02-26,1.0,"Birmingham, UK",Travelled to attend a Senior Leadership Group Away Day,Rail,Standard, £9.00 ,Nil Return, £81.45 ,Nil Return,,
Andy Leggett,2020-03-05,1.0,"London, UK",Travelled to attend a  Customer Compliance Group Senior leadership Monthly Meeting,Rail,Standard, £13.00 ,Nil Return, £384.29 ,Nil Return,,
Andy Leggett,2020-03-09,3.0,"London, UK",Travelled to attend a Customer Compliance Planning Committee Discussion (09/03) and 2 day Director Leadership Course (10/03-11/03),Rail,Standard, £298.00 ,Nil Return, £348.13 ,Nil Return,,
Steve Long,2020-01-15,1.0,"Grimsby, UK",Site visit,Rail,Standard,Nil Return,Nil Return, £82.00 ,Nil Return,,
Steve Long,2020-01-23,1.0,"London, UK",Operational Delivery Profession Senior Community of Practice,Rail,Standard,Nil Return,Nil Return, £320.00 ,Nil Return,,
Steve Long,2020-01-30,1.0,"Manchester, UK",Leading Together face-to-face,Rail,Standard,Nil Return,Nil Return, £8.00 ,Nil Return,,
Steve Long,2020-02-05,1.0,"London, UK",Senior Leadership Team team-build/Respect at Work,Rail,Standard,Nil Return,Nil Return, £340.00 ,Nil Return,,
Steve Long,2020-02-12,1.0,"Preston, UK",Site visit,Rail,Standard,Nil Return,Nil Return, £17.00 ,Nil Return,,
Angela MacDonald,2020-01-13,5.0,"London, UK",Executive committee meeting and Workshop,Rail,Standard, £571.68 , Nil Return , £844.68 , Nil Return ,,
Angela MacDonald,2020-01-23,2.0,"London, UK",Operational Delivery Profession Senior Community of Practice Event and Executive committee Workshop,Rail,Standard, £149.79 , Nil Return , £422.79 , Nil Return ,,
Angela MacDonald,2020-01-27,2.0,"London, UK",Future of Child Benefit programme board and Executive committee meeting,Rail,Standard, £283.55 , Nil Return , £420.05 , Nil Return ,,
Angela MacDonald,2020-01-29,1.0,"Manchester, UK",National Leadership Forum,Rail,Standard, £77.90 , Nil Return , £201.70 , Nil Return ,,
Angela MacDonald,2020-02-04,1.0,"Manchester, UK",Mental Health Advocate Conference,Rail,Standard, Nil Return , Nil Return , £24.45 , Nil Return ,,
Angela MacDonald,2020-02-04,2.0,"London, UK",Senior Leadership Team team-build; Respect at work & Operational Delivery Profession celebration event,Rail,Standard, £233.51 , Nil Return , £413.76 , Nil Return ,,
Angela MacDonald,2020-02-06,1.0,"Wrexham, UK",Site visit,Rail,Standard, £79.50 , Nil Return , £157.75 , Nil Return ,,
Angela MacDonald,2020-02-09,1.0,"London, UK",Meeting,Hotel,, £104.89 , Nil Return , £104.89 , Nil Return ,,
Angela MacDonald,2020-02-10,1.0,"Bristol, UK",Off Site Executive committee meeting ,Rail/Taxi,Standard, £117.00 , Nil Return , £234.40 , Nil Return ,,
Angela MacDonald,2020-02-11,2.0,"London, UK",Live Streaming,Rail,Standard, £278.98 , Nil Return , £531.08 , Nil Return ,,
Angela MacDonald,2020-02-24,2.0,"London, UK",Executive committee meeting Workshop,Rail,Standard, £129.00 , Nil Return , £265.75 , Nil Return ,,
Angela MacDonald,2020-02-25,1.0,"Leeds, UK",Leading together face to face,Rail,Standard, Nil Return , Nil Return , £136.75 , Nil Return ,,
