animal_id,animal_type,breed_group,primary_breed,tag_no,tag_type,tag_subtype,price,tag_date,tag_exp,tag_stat
A582589,CAT,LONGHAIR,MAINE COON,985112005986069,MICROCHIP,HLP IMPORT,0.0,2016-02-04 00:00:00,,CURRENT
A592894,DOG,TERRIER,SCHNAUZER MIN,L16-016260,LIC ALTERED,MAIL,10.0,2016-06-23 00:00:00,2017-05-16 00:00:00,RENEWED
A593318,CAT,SHORTHAIR,DOMESTIC SH,L16-059478,LIC SR,VET,5.0,2016-11-08 00:00:00,2017-10-28 00:00:00,RENEWED
A600689,DOG,TERRIER,PARSON RUSS TER,L17-000765,LIC ALTERED,HLP SCAN,10.0,2017-10-18 00:00:00,2018-09-23 00:00:00,CURRENT
A623061,DOG,TOY,SHIH TZU,L17-009845,LIC ALTERED,ADOPT,10.0,2017-12-02 00:00:00,2018-08-14 00:00:00,CURRENT
A601414,CAT,LONGHAIR,DOMESTIC LH,985112008172257,MICROCHIP ADO,HOME AGAIN,25.0,2016-10-30 00:00:00,2017-10-30 00:00:00,CURRENT
A590857,DOG,TOY,PUG,L16-029380,LIC 3Y,VET,27.0,2016-05-25 00:00:00,2019-04-14 00:00:00,CURRENT
A567382,CAT,LONGHAIR,DOMESTIC LH,L15-019344,LIC ALTERED,VET,9.0,2015-08-01 00:00:00,2016-04-10 00:00:00,CURRENT
A595822,DOG,MASTIFF,GREAT DANE,U16-008400,RABIES CERT,HLP SCAN,,2016-08-02 00:00:00,2017-06-10 00:00:00,CURRENT
A618407,CAT,SHORTHAIR,DOMESTIC SH,,,,,,,
A554256,CAT,LONGHAIR,DOMESTIC LH,L17-035545,LIC ALTERED,HLP SCAN,10.0,2017-03-27 00:00:00,2018-01-13 00:00:00,CURRENT
A549643,DOG,TERRIER,RAT TERRIER,L16-048711,LIC ALTERED,MAIL,9.0,2016-01-22 00:00:00,2017-01-13 00:00:00,RENEWED
A550224,DOG,POODLE,POODLE MIN,,,,,,,
A610909,DOG,SETTER/RETRIEVE,LABRADOR RETR,L16-018192,LIC ALTERED,HLP SCAN,10.0,2017-02-10 00:00:00,2017-09-19 00:00:00,CURRENT
A606210,CAT,SHORTHAIR,DOMESTIC SH,,,,,,,
A603485,DOG,MASTIFF,PIT BULL,,,,,,,
A593375,DOG,HOUND,BEAGLE,L17-032413,LIC ALTERED,HLP SCAN,10.0,2017-08-18 00:00:00,2018-05-25 00:00:00,CURRENT
A594491,DOG,,AUSSIE MIX,L16-058755,LIC ALTERED,HLP SCAN,10.0,2016-07-11 00:00:00,2017-04-22 00:00:00,CURRENT
A584154,DOG,MASTIFF,PIT BULL,L16-004073,LIC ALTERED,VET,10.0,2016-08-11 00:00:00,2017-06-17 00:00:00,CURRENT
A631463,DOG,SHEPHERD,GERM SHEPHERD,,,,,,,
A556465,DOG,TOY,YORKSHIRE TERR,L15-059040,LIC ALTERED,VET,9.0,2015-03-25 00:00:00,2016-02-14 00:00:00,CURRENT
A532779,DOG,SETTER/RETRIEVE,LABRADOR RETR,L16-001649,LIC ALTERED,HLP SCAN,10.0,2016-07-11 00:00:00,2017-06-13 00:00:00,CURRENT
A591323,DOG,MASTIFF,BOXER,L16-008459,LIC ALTERED,ADOPT,10.0,2016-07-01 00:00:00,2017-06-13 00:00:00,CURRENT
A633123,DOG,POODLE,BICHON FRISE,,,,,,,
A488842,DOG,COLLIE,AUST CATTLE DOG,U14-042708,RABIES CERT,VET,0.0,2014-02-21 00:00:00,2015-01-10 00:00:00,RENEWED
A597048,DOG,SPANIEL,COCKER SPAN,L16-056532,LIC 3Y,HLP SCAN,27.0,2016-08-11 00:00:00,2019-05-23 00:00:00,CURRENT
A599012,DOG,SHEPHERD,GERM SHEPHERD,L16-012342,LIC ALTERED,HLP SCAN,10.0,2016-08-30 00:00:00,2017-07-11 00:00:00,RENEWED
A599548,DOG,TOY,CHIHUAHUA SH,L16-012500,LIC ALTERED,HLP SCAN,10.0,2016-09-05 00:00:00,2017-08-09 00:00:00,RENEWED
A464551,DOG,MASTIFF,GREAT DANE,L17-052642,LIC ALTERED,HLP SCAN,10.0,2017-12-18 00:00:00,2018-10-27 00:00:00,CURRENT
A576502,DOG,HOUND,BEAGLE,L15-063613,LIC ALTERED,MAIL,9.0,2015-11-17 00:00:00,2016-09-21 00:00:00,RENEWED
