Senior Officials Name,Start date of trip,Duration of Visit (Days),Destination,Purpose of trip,Mode of transport,Class of travel,Accomodation/Meals (£),Other (including hospitality given),"Total cost, including all visas, accommodation, travel, meals etc. (£)",Total Cost of Use of Official Secure Car
Iain Walsh,08/07/2019,3,"Helsinki, Finland",Conference,Air,Economy,£233.12,NIL return,£604.66,NIL return
Iain Walsh,08/07/2019,3,"Helsinki, Finland",Conference,Taxi,Standard,NIL return,NIL return,£28.72,NIL return
Iain Walsh,03/09/2019,1,Cambridge,Summer School,Rail,Standard,NIL return,NIL return,£26.45,NIL return
Iain Walsh,05/09/2019,1,Cambridge,Executive Team ,Rail,Standard,NIL return,NIL return,£26.45,NIL return
Iain Walsh,23/09/2019,2,Berkhampsted,Windsor Conference,Rail,Standard,NIL return,NIL return,£16.05,NIL return
Kate Davies,03/07/2019,2,Colwyn Bay,DWP Story,Rail,Standard,NIL return,NIL return,£116.50,NIL return
Kate Davies,10/07/2019,1,"Birmingham, UK",Summer School,Rail,Standard,£5.00,NIL return,£92.00,NIL return
Kate Davies,02/09/2019,2,Cambridge,Summer School,Rail,Standard,£25.00,NIL return,£58.95,NIL return
Kate Davies,05/09/2019,1,Cambridge,Summer School,Rail,Standard,£2.29,NIL return,£28.74,NIL return
Mary Pattison,04/07/2019,2,"Leeds, UK",Meeting with DWP Staff,Rail,Standard,£51.75,NIL return,£137.25,NIL return
Mary Pattison,18/07/2019,1,"Leeds, UK",Meeting with DWP Staff,Rail,Standard,NIL return,NIL return,£67.50,NIL return
Mary Pattison,20/08/2019,2,"Edinburgh, Scotland",Meeting with Scottish Government,Rail,Standard,£72.60,NIL return,£230.40,NIL return
Emma Haddad,04/07/2019,1,Grantham,Presenting DWP Story,Rail,Standard,NIL return,NIL return,£59.50,NIL return
Emma Haddad,10/07/2019,3,"Dorking, UK",High Potential Development Scheme Residential Module,Rail,Standard,NIL return,NIL return,£41.40,NIL return
Emma Haddad,25/07/2019,1,Cosham,Staff Engagement Sessions,Rail,Standard,NIL return,NIL return,£90.00,NIL return
Emma Haddad,01/08/2019,1,"Birmingham, UK",Speak at Conference and meet with staff,Rail,Standard,NIL return,NIL return,£94.35,NIL return
Emma Haddad,22/08/2019,1,Cardiff,Staff Engagement Sessions,Rail,Standard,NIL return,NIL return,£231.25,NIL return
Emma Haddad,28/08/2019,1,"Sheffield, UK",Staff Engagement Sessions,Rail,Standard,NIL return,NIL return,£112.25,NIL return
