Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (Â£)
Stockport MBC,Services to People,Adult Social Care,BRITANNIA HOTEL,Care Payments,Social Community Care Supplies & Services  ,11.04.2018,16.05.2018,GPC04180000192,39.00
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK CG2T4GEUH2,Publicity and Promotion,Facilities & Management Services  ,30.04.2018,16.05.2018,GPC04180000193,32.16
Stockport MBC,Corporate and Support Services,Central Support Costs,AMZ AMAZON.CO.UK,Furniture and Equipment,Environmental Services Technical Equipment ,28.04.2018,16.05.2018,GPC04180000194,-39.97
Stockport MBC,Corporate and Support Services,Central Support Costs,GITHUB.COM  AQ5H3,Information and Communications Technology,Information Communication Technology  ,28.04.2018,16.05.2018,GPC04180000195,153.50
Stockport MBC,Corporate and Support Services,Central Support Costs,FASTHOSTS INTERNET,Information and Communications Technology,Information Communication Technology  ,18.04.2018,16.05.2018,GPC04180000196,9.38
Stockport MBC,Corporate and Support Services,Central Support Costs,WWW.CONTENTFUL.COM,Information and Communications Technology,Information Communication Technology  ,11.04.2018,16.05.2018,GPC04180000197,702.05
Stockport MBC,Corporate and Support Services,Central Support Costs,AUTH0.COM,Information and Communications Technology,Information Communication Technology  ,13.04.2018,16.05.2018,GPC04180000198,8.69
Stockport MBC,Corporate and Support Services,Central Support Costs,INVISIONAPP INC,Information and Communications Technology,Information Communication Technology  ,15.04.2018,16.05.2018,GPC04180000199,191.08
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK 3CHZ3GJVH2,Publicity and Promotion,Facilities & Management Services  ,11.04.2018,16.05.2018,GPC04180000200,576.91
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK 4CHZ3GJVH2,Publicity and Promotion,Facilities & Management Services  ,11.04.2018,16.05.2018,GPC04180000201,23.09
Stockport MBC,Corporate and Support Services,Central Support Costs,AUTH0.COM,Information and Communications Technology,Information Communication Technology  ,05.04.2018,16.05.2018,GPC04180000202,44.23
