Key-ClÃ©,CoAppNm,CoAppRoleCD,CoAppRoleEN,CoAppRoleFR,CoAppOrgID,CoAppOrgNm,ProvinceEN,ProvinceFR,CountryEN,PaysFR,FiscalYear-AnnÃ©eFinanciÃ¨re
454272,"Becker, Henry M",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CEAA,University of Toronto,Ontario,Ontario,Canada,Canada,200607
247553,"Silverman, Melvin",SUP1,Primary Supervisor,Directeur principal,CEAA,University of Toronto,Ontario,Ontario,Canada,Canada,200607
247553,"Goldenberg, Neil M",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CEAB,Hospital for Sick Children (Toronto),Ontario,Ontario,Canada,Canada,200607
982410,"Simpson, Elizabeth M",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CAAA,University of British Columbia,British Columbia,Colombie-Britannique,Canada,Canada,200607
683597,"Fulop, TamÃ s",CO,Co-Investigator,Co-chercheur,CFDA,UniversitÃ© de Sherbrooke,QuÃ©bec,QuÃ©bec,Canada,Canada,200607
683597,"Payette, HÃ©lÃ¨ne",CO,Co-Investigator,Co-chercheur,CFDA,UniversitÃ© de Sherbrooke,QuÃ©bec,QuÃ©bec,Canada,Canada,200607
683597,"Khalil, Abdelouahed",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CFDA,UniversitÃ© de Sherbrooke,QuÃ©bec,QuÃ©bec,Canada,Canada,200607
278664,"Parboosingh, Jillian S",CO,Co-Investigator,Co-chercheur,CBBA,University of Calgary,Alberta,Alberta,Canada,Canada,200607
278664,"Knudtson, Merril L",CO,Co-Investigator,Co-chercheur,CBBB,Foothills Hospital (Calgary),Alberta,Alberta,Canada,Canada,200607
278664,"Patten, Scott B",CO,Co-Investigator,Co-chercheur,CBBA,University of Calgary,Alberta,Alberta,Canada,Canada,200607
278664,"Hogan, David B",CO,Co-Investigator,Co-chercheur,CBBA,University of Calgary,Alberta,Alberta,Canada,Canada,200607
278664,"Maxwell, Colleen J",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CENA,University of Waterloo (Ontario),Ontario,Ontario,Canada,Canada,200607
278664,"Ghali, William A",CO,Co-Investigator,Co-chercheur,CBBA,University of Calgary,Alberta,Alberta,Canada,Canada,200607
278664,"Demchuk, Andrew M",CO,Co-Investigator,Co-chercheur,CBBA,University of Calgary,Alberta,Alberta,Canada,Canada,200607
278664,"Faris, Peter D",CO,Co-Investigator,Co-chercheur,AHSC,"Alberta Health Services, Calgary and Area",Alberta,Alberta,Canada,Canada,200607
278664,"Maitland, Andrew",CO,Co-Investigator,Co-chercheur,CBBB,Foothills Hospital (Calgary),Alberta,Alberta,Canada,Canada,200607
278664,"Galbraith, P. Diane",CO,Co-Investigator,Co-chercheur,CBBB,Foothills Hospital (Calgary),Alberta,Alberta,Canada,Canada,200607
873971,"Eaves, Connie J",SUP1,Primary Supervisor,Directeur principal,BCAV,"BC Cancer, part of PHSA (Vancouver)",British Columbia,Colombie-Britannique,Canada,Canada,200607
873971,"Raouf, Afshin",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CDAA,University of Manitoba,Manitoba,Manitoba,Canada,Canada,200607
366276,"Kubes, Paul",SUP1,Primary Supervisor,Directeur principal,CBBA,University of Calgary,Alberta,Alberta,Canada,Canada,200607
366276,"Andonegui, Graciela A",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CBBA,University of Calgary,Alberta,Alberta,Canada,Canada,200607
648172,"Downey, Gregory P",SUP1,Primary Supervisor,Directeur principal,UFAB,National Jewish Hospital (University of Colorado),Colorado,Colorado,United States,Ãtats-Unis,200607
648172,"Suzuki, Tomoko",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CEAA,University of Toronto,Ontario,Ontario,Canada,Canada,200607
250730,"Lee, Frank J",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CACA,"Simon Fraser University (Burnaby, B.C.)",British Columbia,Colombie-Britannique,Canada,Canada,200607
250730,"Liu, Fang",SUP1,Primary Supervisor,Directeur principal,CEAH,Centre for Addiction and Mental Health (Toronto)/Centre de toxicomanie et de santÃ© mentale,Ontario,Ontario,Canada,Canada,200607
979673,"Vance, Dennis E",SUP1,Primary Supervisor,Directeur principal,CBAA,University of Alberta,Alberta,Alberta,Canada,Canada,200607
979673,"Jacobs, Rene L",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CBAA,University of Alberta,Alberta,Alberta,Canada,Canada,200607
880898,"Pohl, Ulrich",SUP1,Primary Supervisor,Directeur principal,BAGC,Medizinische Universitat Zu Lubeck (Germany),Unknown/Inconnu,Unknown/Inconnu,Germany,Allemagne,200607
880898,"Lidington, Darcy J",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CEAA,University of Toronto,Ontario,Ontario,Canada,Canada,200607
576533,"Toneatto, Tony",SUP1,Primary Supervisor,Directeur principal,CAMF,Centre for Addiction and Mental Health Foundation,Ontario,Ontario,Canada,Canada,200607
576533,"Vettese, Lisa C",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CEAH,Centre for Addiction and Mental Health (Toronto)/Centre de toxicomanie et de santÃ© mentale,Ontario,Ontario,Canada,Canada,200607
209595,"Clapham, David E",SUP1,Primary Supervisor,Directeur principal,AATX,"Harvard Medical School (Boston, Massachusetts)",Massachusetts,Massachusetts,United States,Ãtats-Unis,200607
209595,"Stotz, Stephanie C",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CBBA,University of Calgary,Alberta,Alberta,Canada,Canada,200607
902387,"Gedamu, Lashitew",SUP1,Primary Supervisor,Directeur principal,CBBA,University of Calgary,Alberta,Alberta,Canada,Canada,200607
902387,"Dacks, Joel B",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CBAA,University of Alberta,Alberta,Alberta,Canada,Canada,200607
180964,"Elliott, John F",SUP,Supervisor,Directeur de recherche,CBAA,University of Alberta,Alberta,Alberta,Canada,Canada,200607
180964,"Korbutt, Gregory S",SUP1,Primary Supervisor,Directeur principal,CBAA,University of Alberta,Alberta,Alberta,Canada,Canada,200607
180964,"Mallett, Aaron G",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CBAA,University of Alberta,Alberta,Alberta,Canada,Canada,200607
713653,"Mclarnon, James G",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CAAA,University of British Columbia,British Columbia,Colombie-Britannique,Canada,Canada,200607
786185,"Finlay, Barton B",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CAAA,University of British Columbia,British Columbia,Colombie-Britannique,Canada,Canada,200607
301392,"Der, Sandy D",SUP1,Primary Supervisor,Directeur principal,CEAA,University of Toronto,Ontario,Ontario,Canada,Canada,200607
301392,"Mogridge, Jeremy",SUP,Supervisor,Directeur de recherche,CEAA,University of Toronto,Ontario,Ontario,Canada,Canada,200607
301392,"Kassam, Altaf",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,ABAF,Ryerson University (Toronto),Ontario,Ontario,Canada,Canada,200607
371451,"Szyf, Moshe",CO,Co-Investigator,Co-chercheur,CFAA,McGill University/UniversitÃ© McGill,QuÃ©bec,QuÃ©bec,Canada,Canada,200607
371451,"Fleming, Alison S",CO,Co-Investigator,Co-chercheur,CEAA,University of Toronto,Ontario,Ontario,Canada,Canada,200607
371451,"Steiner, Meir",CO,Co-Investigator,Co-chercheur,CEBA,McMaster University,Ontario,Ontario,Canada,Canada,200607
371451,"Goldberg, Susan",CO,Co-Investigator,Co-chercheur,CEAB,Hospital for Sick Children (Toronto),Ontario,Ontario,Canada,Canada,200607
371451,"Meaney, Michael J",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CFAA,McGill University/UniversitÃ© McGill,QuÃ©bec,QuÃ©bec,Canada,Canada,200607
371451,"Kramer, Michael S",CO,Co-Investigator,Co-chercheur,CFAA,McGill University/UniversitÃ© McGill,QuÃ©bec,QuÃ©bec,Canada,Canada,200607
371451,"Evans, Alan C",CO,Co-Investigator,Co-chercheur,CFAA,McGill University/UniversitÃ© McGill,QuÃ©bec,QuÃ©bec,Canada,Canada,200607
371451,"Lupien, Sonia J",CO,Co-Investigator,Co-chercheur,CFCA,UniversitÃ© de MontrÃ©al,QuÃ©bec,QuÃ©bec,Canada,Canada,200607
371451,"Kennedy, James L",CO,Co-Investigator,Co-chercheur,CEAH,Centre for Addiction and Mental Health (Toronto)/Centre de toxicomanie et de santÃ© mentale,Ontario,Ontario,Canada,Canada,200607
371451,"Walker, Claire-Dominique",CO,Co-Investigator,Co-chercheur,CFAA,McGill University/UniversitÃ© McGill,QuÃ©bec,QuÃ©bec,Canada,Canada,200607
371451,"Matthews, Stephen G",CO,Co-Investigator,Co-chercheur,CEAA,University of Toronto,Ontario,Ontario,Canada,Canada,200607
371451,"Sokolowski, Marla B",CO,Co-Investigator,Co-chercheur,CEAA,University of Toronto,Ontario,Ontario,Canada,Canada,200607
371451,"Lydon, John E",CO,Co-Investigator,Co-chercheur,CFAA,McGill University/UniversitÃ© McGill,QuÃ©bec,QuÃ©bec,Canada,Canada,200607
371451,"Atkinson, Leslie R",CO,Co-Investigator,Co-chercheur,ABAF,Ryerson University (Toronto),Ontario,Ontario,Canada,Canada,200607
371451,"Levitan, Robert D",CO,Co-Investigator,Co-chercheur,CEAA,University of Toronto,Ontario,Ontario,Canada,Canada,200607
371451,"Pruessner, Jens C",CO,Co-Investigator,Co-chercheur,CFAA,McGill University/UniversitÃ© McGill,QuÃ©bec,QuÃ©bec,Canada,Canada,200607
508804,"Asmundson, Gordon J",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CCBA,University of Regina (Saskatchewan),Saskatchewan,Saskatchewan,Canada,Canada,200607
128165,"Adamec, Robert E",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CJAA,Memorial University of Newfoundland,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Canada,Canada,200607
269173,"Dore, Jules J",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CJAA,Memorial University of Newfoundland,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Canada,Canada,200607
360504,"MacPhee, Daniel J",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CCAA,University of Saskatchewan,Saskatchewan,Saskatchewan,Canada,Canada,200607
827320,"Park, Morag",SUP1,Primary Supervisor,Directeur principal,CFAA,McGill University/UniversitÃ© McGill,QuÃ©bec,QuÃ©bec,Canada,Canada,200607
827320,"Trasler, Jacquetta M",SUP,Supervisor,Directeur de recherche,CFAA,McGill University/UniversitÃ© McGill,QuÃ©bec,QuÃ©bec,Canada,Canada,200607
827320,"Petkiewicz, Stephanie",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CECA,University of Ottawa/UniversitÃ© d'Ottawa,Ontario,Ontario,Canada,Canada,200607
766859,"Bergeron, John J",SUP1,Primary Supervisor,Directeur principal,CFAC,Research Institute of the McGill University Health Centre/Institut de recherche du Centre universitaire de santÃ© McGill,QuÃ©bec,QuÃ©bec,Canada,Canada,200607
766859,"Trasler, Jacquetta M",SUP,Supervisor,Directeur de recherche,CFAA,McGill University/UniversitÃ© McGill,QuÃ©bec,QuÃ©bec,Canada,Canada,200607
766859,"Thomas, David Y",SUP,Supervisor,Directeur de recherche,CFAA,McGill University/UniversitÃ© McGill,QuÃ©bec,QuÃ©bec,Canada,Canada,200607
766859,"Jain, Michael D",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CEAA,University of Toronto,Ontario,Ontario,Canada,Canada,200607
901374,"Wuest, Judith A",CO,Co-Investigator,Co-chercheur,CGAA,University of New Brunswick (Fredericton),New Brunswick,Nouveau-Brunswick,Canada,Canada,200607
901374,"Ford-Gilboe, Marilyn V",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CEEA,University of Western Ontario,Ontario,Ontario,Canada,Canada,200607
901374,"Merritt-Gray, Marilyn L",CO,Co-Investigator,Co-chercheur,CGAA,University of New Brunswick (Fredericton),New Brunswick,Nouveau-Brunswick,Canada,Canada,200607
901374,"Davies, Lorraine E",CO,Co-Investigator,Co-chercheur,CEEA,University of Western Ontario,Ontario,Ontario,Canada,Canada,200607
901374,"Varcoe, Colleen M",CO,Co-Investigator,Co-chercheur,CAAA,University of British Columbia,British Columbia,Colombie-Britannique,Canada,Canada,200607
901374,"Hankivsky, Olena",CO,Co-Investigator,Co-chercheur,CACA,"Simon Fraser University (Burnaby, B.C.)",British Columbia,Colombie-Britannique,Canada,Canada,200607
21838,"Jenkins, David J",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CEAA,University of Toronto,Ontario,Ontario,Canada,Canada,200607
21838,"Kreiger, Nancy",CO,Co-Investigator,Co-chercheur,ACOL,"American College of Epidemiology (Raleigh, North Carolina)",North Carolina,Caroline du Nord,United States,Ãtats-Unis,200607
21838,"Klar, Neil",CO,Co-Investigator,Co-chercheur,CEEA,University of Western Ontario,Ontario,Ontario,Canada,Canada,200607
21838,"Ashbury, Frederick D",CO,Co-Investigator,Co-chercheur,Unspecified/Non SpÃ©cifiÃ©,Unspecified/Non SpÃ©cifiÃ©,Unknown,Inconnu,Unspecified/Non SpÃ©cifiÃ©,Unspecified/Non SpÃ©cifiÃ©,200607
21838,"El-Sohemy, Ahmed",CO,Co-Investigator,Co-chercheur,CEAA,University of Toronto,Ontario,Ontario,Canada,Canada,200607
863959,"Graham, Charles H",CO,Co-Investigator,Co-chercheur,CEDA,"Queen's University (Kingston, Ontario)",Ontario,Ontario,Canada,Canada,200607
863959,"Kisilevsky, Barbara M",CO,Co-Investigator,Co-chercheur,CEDA,"Queen's University (Kingston, Ontario)",Ontario,Ontario,Canada,Canada,200607
863959,"Smith, Graeme N",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CEDA,"Queen's University (Kingston, Ontario)",Ontario,Ontario,Canada,Canada,200607
863959,"Wen, Shi Wu",CO,Co-Investigator,Co-chercheur,ADYP,Ottawa Hospital Research Institute/Institut de recherche de l'HÃ´pital d'Ottawa,Ontario,Ontario,Canada,Canada,200607
863959,"Macdonald, Susan E",CO,Co-Investigator,Co-chercheur,CEDA,"Queen's University (Kingston, Ontario)",Ontario,Ontario,Canada,Canada,200607
863959,"Walker, Mark C",CO,Co-Investigator,Co-chercheur,ADYP,Ottawa Hospital Research Institute/Institut de recherche de l'HÃ´pital d'Ottawa,Ontario,Ontario,Canada,Canada,200607
495543,"Cohen, Carole A",PI,Principal Investigator,Chercheur principal,CEAA,University of Toronto,Ontario,Ontario,Canada,Canada,200607
495543,"Kozak, Jean-Francois",PI,Principal Investigator,Chercheur principal,PROC,Providence Health Care (Vancouver),British Columbia,Colombie-Britannique,Canada,Canada,200607
495543,"Drummond, Neil A",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CBAA,University of Alberta,Alberta,Alberta,Canada,Canada,200607
495543,"Dalziel, William B",PI,Principal Investigator,Chercheur principal,CECB,The Ottawa Hospital - Civic Campus/L'HÃ´pital d'Ottawa - Campus Civic,Ontario,Ontario,Canada,Canada,200607
495543,"Currie, Gillian R",PI,Principal Investigator,Chercheur principal,CBBA,University of Calgary,Alberta,Alberta,Canada,Canada,200607
495543,"Garcia, Linda J",PI,Principal Investigator,Chercheur principal,CECA,University of Ottawa/UniversitÃ© d'Ottawa,Ontario,Ontario,Canada,Canada,200607
495543,"Silvius, James L",PI,Principal Investigator,Chercheur principal,CBAC,Alberta Health Services,Alberta,Alberta,Canada,Canada,200607
510457,"Bergeron, Michel G",CO,Co-Investigator,Co-chercheur,CFBA,UniversitÃ© Laval,QuÃ©bec,QuÃ©bec,Canada,Canada,200607
510457,"Tremblay, Michel J",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CFBA,UniversitÃ© Laval,QuÃ©bec,QuÃ©bec,Canada,Canada,200607
510457,"Corbeil, Jacques",CO,Co-Investigator,Co-chercheur,CFBA,UniversitÃ© Laval,QuÃ©bec,QuÃ©bec,Canada,Canada,200607
510457,"Barbeau, Benoit",CO,Co-Investigator,Co-chercheur,CFEB,UniversitÃ© du QuÃ©bec Ã  MontrÃ©al,QuÃ©bec,QuÃ©bec,Canada,Canada,200607
441097,"Pilarski, Linda M",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CBAA,University of Alberta,Alberta,Alberta,Canada,Canada,200607
441097,"Belch, Andrew R",CO,Co-Investigator,Co-chercheur,CBAA,University of Alberta,Alberta,Alberta,Canada,Canada,200607
441097,"Kaler, Karan V",CO,Co-Investigator,Co-chercheur,CBBA,University of Calgary,Alberta,Alberta,Canada,Canada,200607
441097,"Glerum, D. M",CO,Co-Investigator,Co-chercheur,CENA,University of Waterloo (Ontario),Ontario,Ontario,Canada,Canada,200607
441097,"Backhouse, Christopher J",CO,Co-Investigator,Co-chercheur,CBAA,University of Alberta,Alberta,Alberta,Canada,Canada,200607
441097,"Mehta, Michael D",CO,Co-Investigator,Co-chercheur,CCAA,University of Saskatchewan,Saskatchewan,Saskatchewan,Canada,Canada,200607
849625,"Weaver, Lynne C",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CPCV,"Robarts Research Institute - U.W.O. (London, Ont.)",Ontario,Ontario,Canada,Canada,200607
849625,"Brown, Arthur",CO,Co-Investigator,Co-chercheur,CPCV,"Robarts Research Institute - U.W.O. (London, Ont.)",Ontario,Ontario,Canada,Canada,200607
849625,"Dekaban, Gregory A",CO,Co-Investigator,Co-chercheur,CPCV,"Robarts Research Institute - U.W.O. (London, Ont.)",Ontario,Ontario,Canada,Canada,200607
849625,"Bhatia, Mickie",CO,Co-Investigator,Co-chercheur,CEBA,McMaster University,Ontario,Ontario,Canada,Canada,200607
849625,"Foster, Paula J",CO,Co-Investigator,Co-chercheur,CEEA,University of Western Ontario,Ontario,Ontario,Canada,Canada,200607
849625,"Duggal, Neil",CO,Co-Investigator,Co-chercheur,LHSI,London Health Sciences Centre Res. Inc. (Ont.),Ontario,Ontario,Canada,Canada,200607
730118,"Mccargar, Linda J",CO,Co-Investigator,Co-chercheur,CBAA,University of Alberta,Alberta,Alberta,Canada,Canada,200607
730118,"Plotnikoff, Ronald C",CO,Co-Investigator,Co-chercheur,INVJ,"University of Newcastle (NSW, Australia)",New South Wales,Nouvelle-Galles Sud,Australia,l'Australie,200607
730118,"Wild, Cameron T",CO,Co-Investigator,Co-chercheur,CBAA,University of Alberta,Alberta,Alberta,Canada,Canada,200607
730118,"Willows, Noreen D",CO,Co-Investigator,Co-chercheur,CBAA,University of Alberta,Alberta,Alberta,Canada,Canada,200607
730118,"Raine, Kim D",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CBAA,University of Alberta,Alberta,Alberta,Canada,Canada,200607
730118,"Spence, John C",CO,Co-Investigator,Co-chercheur,CBAA,University of Alberta,Alberta,Alberta,Canada,Canada,200607
730118,"Church, W. John",CO,Co-Investigator,Co-chercheur,CBAA,University of Alberta,Alberta,Alberta,Canada,Canada,200607
596294,"PÃ©russe, Louis",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CFBA,UniversitÃ© Laval,QuÃ©bec,QuÃ©bec,Canada,Canada,200607
596294,"Godin, Gaston",CO,Co-Investigator,Co-chercheur,CFBA,UniversitÃ© Laval,QuÃ©bec,QuÃ©bec,Canada,Canada,200607
596294,"Vohl, Marie-Claude",CO,Co-Investigator,Co-chercheur,CFBA,UniversitÃ© Laval,QuÃ©bec,QuÃ©bec,Canada,Canada,200607
596294,"Godard, Beatrice",CO,Co-Investigator,Co-chercheur,CFCA,UniversitÃ© de MontrÃ©al,QuÃ©bec,QuÃ©bec,Canada,Canada,200607
596294,"Weisnagel, S. John",CO,Co-Investigator,Co-chercheur,CFBA,UniversitÃ© Laval,QuÃ©bec,QuÃ©bec,Canada,Canada,200607
596294,"Rabasa-Lhoret, RÃ©mi",CO,Co-Investigator,Co-chercheur,CFCN,Institut de recherches cliniques de MontrÃ©al,QuÃ©bec,QuÃ©bec,Canada,Canada,200607
248013,"Allard, Pierre",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CECA,University of Ottawa/UniversitÃ© d'Ottawa,Ontario,Ontario,Canada,Canada,200607
248013,"Wilson, Keith G",CO,Co-Investigator,Co-chercheur,OHGC,Ottawa Hospital General Campus (Ottawa Ontario)/HÃ´pital gÃ©nÃ©ral d'Ottawa,Ontario,Ontario,Canada,Canada,200607
248013,"Guirguis-Younger, Manal",CO,Co-Investigator,Co-chercheur,INVH,Saint Paul University (Ottawa)/UniversitÃ© Saint Paul (Ottawa),Ontario,Ontario,Canada,Canada,200607
248013,"Kelley, Mary Louise",CO,Co-Investigator,Co-chercheur,CEJA,"Lakehead University (Thunder Bay, Ontario)",Ontario,Ontario,Canada,Canada,200607
248013,"Brazil, Kevin",CO,Co-Investigator,Co-chercheur,CEBA,McMaster University,Ontario,Ontario,Canada,Canada,200607
248013,"Legault, Frances Mary",CO,Co-Investigator,Co-chercheur,CECA,University of Ottawa/UniversitÃ© d'Ottawa,Ontario,Ontario,Canada,Canada,200607
940375,"Neufeld, Richard W",CO,Co-Investigator,Co-chercheur,CEEA,University of Western Ontario,Ontario,Ontario,Canada,Canada,200607
940375,"Hegadoren, Kathy M",CO,Co-Investigator,Co-chercheur,CBAA,University of Alberta,Alberta,Alberta,Canada,Canada,200607
940375,"Lanius, Ruth A",CO,Co-Investigator,Co-chercheur,CEEA,University of Western Ontario,Ontario,Ontario,Canada,Canada,200607
940375,"Coupland, Nicholas J",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CBAA,University of Alberta,Alberta,Alberta,Canada,Canada,200607
940375,"Rowe, Brian H",CO,Co-Investigator,Co-chercheur,CBAA,University of Alberta,Alberta,Alberta,Canada,Canada,200607
204722,"Ernst, Pierre-Paul",CO,Co-Investigator,Co-chercheur,CFAF,CIUSSS de Centre-Ouest-de-l'Ile-de-MontrÃ©al-Jewish General/CIUSSS de Centre-Ouest-de-l'Ile-de-MontrÃ©al-HÃ´pital juif,QuÃ©bec,QuÃ©bec,Canada,Canada,200607
204722,"Mayo, Nancy E",CO,Co-Investigator,Co-chercheur,CFAA,McGill University/UniversitÃ© McGill,QuÃ©bec,QuÃ©bec,Canada,Canada,200607
204722,"Tamblyn, Robyn M",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CFAA,McGill University/UniversitÃ© McGill,QuÃ©bec,QuÃ©bec,Canada,Canada,200607
204722,"DubÃ©, Laurette",CO,Co-Investigator,Co-chercheur,CFAA,McGill University/UniversitÃ© McGill,QuÃ©bec,QuÃ©bec,Canada,Canada,200607
204722,"Verter, Vedat",CO,Co-Investigator,Co-chercheur,CFAA,McGill University/UniversitÃ© McGill,QuÃ©bec,QuÃ©bec,Canada,Canada,200607
204722,"Pinsonneault, Alain",CO,Co-Investigator,Co-chercheur,CFAA,McGill University/UniversitÃ© McGill,QuÃ©bec,QuÃ©bec,Canada,Canada,200607
861640,"St.John, Philip D",PI,Principal Investigator,Chercheur principal,CDAA,University of Manitoba,Manitoba,Manitoba,Canada,Canada,200607
861640,"Strain, Laurel A",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CBAA,University of Alberta,Alberta,Alberta,Canada,Canada,200607
861640,"Grymonpre, Ruby E",PI,Principal Investigator,Chercheur principal,CDAA,University of Manitoba,Manitoba,Manitoba,Canada,Canada,200607
861640,"Hawranik, Pamela G",PI,Principal Investigator,Chercheur principal,ADXS,Athabasca University (Alberta),Alberta,Alberta,Canada,Canada,200607
861640,"Dobbs, Bonnie M",CO,Co-Investigator,Co-chercheur,CBAA,University of Alberta,Alberta,Alberta,Canada,Canada,200607
861640,"Clark, Alexander M",CO,Co-Investigator,Co-chercheur,CBAA,University of Alberta,Alberta,Alberta,Canada,Canada,200607
40611,"Connors, Joseph",CO,Co-Investigator,Co-chercheur,CAAA,University of British Columbia,British Columbia,Colombie-Britannique,Canada,Canada,200607
40611,"Meneilly, Graydon S",CO,Co-Investigator,Co-chercheur,CAAA,University of British Columbia,British Columbia,Colombie-Britannique,Canada,Canada,200607
40611,"Marra, Marco A",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CAAA,University of British Columbia,British Columbia,Colombie-Britannique,Canada,Canada,200607
40611,"Le, Nhu D",CO,Co-Investigator,Co-chercheur,BCAV,"BC Cancer, part of PHSA (Vancouver)",British Columbia,Colombie-Britannique,Canada,Canada,200607
40611,"Brooks-Wilson, Angela R",PI,Principal Investigator,Chercheur principal,CAAH,B.C. Cancer Research Centre (Vancouver),British Columbia,Colombie-Britannique,Canada,Canada,200607
40611,"Jones, Steven",CO,Co-Investigator,Co-chercheur,CAAA,University of British Columbia,British Columbia,Colombie-Britannique,Canada,Canada,200607
658453,"Links, Paul S",CO,Co-Investigator,Co-chercheur,CEBA,McMaster University,Ontario,Ontario,Canada,Canada,200607
658453,"Stewart, Sherry H",CO,Co-Investigator,Co-chercheur,CHAA,Dalhousie University (Nova Scotia),Nova Scotia,Nouvelle-Ãcosse,Canada,Canada,200607
658453,"Conrod, Patricia",CO,Co-Investigator,Co-chercheur,CFCA,UniversitÃ© de MontrÃ©al,QuÃ©bec,QuÃ©bec,Canada,Canada,200607
658453,"Flett, Gordon L",CO,Co-Investigator,Co-chercheur,CEPA,"York University (Toronto, Ontario)",Ontario,Ontario,Canada,Canada,200607
658453,"Erickson, Patricia G",CO,Co-Investigator,Co-chercheur,CEAA,University of Toronto,Ontario,Ontario,Canada,Canada,200607
658453,"Wekerle, Christine M",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CEBA,McMaster University,Ontario,Ontario,Canada,Canada,200607
658453,"Wall, Anne-Marie",CO,Co-Investigator,Co-chercheur,CEPA,"York University (Toronto, Ontario)",Ontario,Ontario,Canada,Canada,200607
658453,"Swihart Dehart, Gayla",CO,Co-Investigator,Co-chercheur,CAAA,University of British Columbia,British Columbia,Colombie-Britannique,Canada,Canada,200607
658453,"Hoaken, Peter N",CO,Co-Investigator,Co-chercheur,CEEA,University of Western Ontario,Ontario,Ontario,Canada,Canada,200607
658453,"Comeau, Margaret N",CO,Co-Investigator,Co-chercheur,CHAA,Dalhousie University (Nova Scotia),Nova Scotia,Nouvelle-Ãcosse,Canada,Canada,200607
658453,"Goodman, Deborah",CO,Co-Investigator,Co-chercheur,CAST,Children's Aid Society of Toronto (Ontario),Ontario,Ontario,Canada,Canada,200607
658453,"Sta. Mina, Elaine E",CO,Co-Investigator,Co-chercheur,CEAJ,Unity Health Toronto,Ontario,Ontario,Canada,Canada,200607
39678,"Mulvey, Michael R",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,PHAM,PHAC - Infectious Disease and Emergency Preparedness Branch,Ontario,Ontario,Canada,Canada,200607
39678,"Horsman, Gregory B",CO,Co-Investigator,Co-chercheur,ADCZ,Saskatchewan Health (Regina),Saskatchewan,Saskatchewan,Canada,Canada,200607
39678,"Irvine, James D",CO,Co-Investigator,Co-chercheur,CCAA,University of Saskatchewan,Saskatchewan,Saskatchewan,Canada,Canada,200607
39678,"Embil, John M",CO,Co-Investigator,Co-chercheur,CDAA,University of Manitoba,Manitoba,Manitoba,Canada,Canada,200607
39678,"Woods, Shirley A",CO,Co-Investigator,Co-chercheur,Unspecified/Non SpÃ©cifiÃ©,Unspecified/Non SpÃ©cifiÃ©,Unknown,Inconnu,Unspecified/Non SpÃ©cifiÃ©,Unspecified/Non SpÃ©cifiÃ©,200607
39678,"Paton, Shirley",CO,Co-Investigator,Co-chercheur,HCGC,Health Canada (Ottawa)/SantÃ© Canada (Ottawa),Ontario,Ontario,Canada,Canada,200607
636799,"Lam, Yuk-Miu",CO,Co-Investigator,Co-chercheur,CEDA,"Queen's University (Kingston, Ontario)",Ontario,Ontario,Canada,Canada,200607
