Ã¯Â»Â¿FSCL_YR,MINC,MINE,DepartmentNumber-NumÃÂ©ro-de-MinistÃÂ¨re,DEPT_EN_DESC,OBJ_CD,OBJ_EN_NM,AGRG_PYMT_AMT
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1225,Telecommunication equipment parts,43118.95
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1225,Telecommunication equipment parts,3862.1
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1225,Telecommunication equipment parts,27966.03
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1225,Telecommunication equipment parts,14903.42
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1225,Telecommunication equipment parts,306.49
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1225,Telecommunication equipment parts,2169.21
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1226,Computer equip.-large/med.mainframe-mini,157415.2
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1226,Computer equip.-large/med.mainframe-mini,4234214.57
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1226,Computer equip.-large/med.mainframe-mini,142528.32
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1226,Computer equip.-large/med.mainframe-mini,659.0
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1226,Computer equip.-large/med.mainframe-mini,11007.56
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1226,Computer equip.-large/med.mainframe-mini,1106.16
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1226,Computer equip.-large/med.mainframe-mini,276432.83
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1226,Computer equip.-large/med.mainframe-mini,7498727.93
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1226,Computer equip.-large/med.mainframe-mini,88444.55
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1226,Computer equip.-large/med.mainframe-mini,10463.23
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1226,Computer equip.-large/med.mainframe-mini,92118.88
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1226,Computer equip.-large/med.mainframe-mini,18531.21
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1226,Computer equip.-large/med.mainframe-mini,4365.0
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1226,Computer equip.-large/med.mainframe-mini,5441.11
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1227,Computer equip.small-desktop/pers./port.,71756.0
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1227,Computer equip.small-desktop/pers./port.,23828.0
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1227,Computer equip.small-desktop/pers./port.,23953.0
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1228,Computer software,332805.48
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1228,Computer software,69.67
