COMPANY NAME,COUNTY,TOWN,API WELL NUMBER,WELL NAME,WELL STATUS CODE,WELL TYPE CODE
Hickory Oil,Allegany,Genesee,31003600000000,Hickory 3,UL,OD
Unknown,Allegany,Bolivar,31003700000000,Arbogast J 128,UN,NL
Unknown,Allegany,Bolivar,31003700000000,Dunn P 118,UM,NL
Unknown,Cattaraugus,Allegany,31009700000000,KC 724,UM,NL
Unknown,Onondaga,Elbridge,31067000000000,Jordan 1,UM,GW
Unknown,Allegany,Bolivar,31003700000000,DF 77,UN,NL
Unknown,Allegany,Genesee,31003600000000,Childs U14,UL,NL
Unknown,Cattaraugus,Allegany,31009700000000,KC 934,UN,NL
Unknown,Cattaraugus,Allegany,31009700000000,KC 652,UM,NL
Unknown,Allegany,Bolivar,31003700000000,Dunn P 110,UM,NL
Pulaski Gas & Oil,Oswego,Richland,31075000000000,Cates Rob Gallagher 0,UL,GD
Bradley Salt Co.,Wyoming,Warsaw,31121000000000,Salt Well,UL,BR
Pulaski Gas & Oil,Oswego,Richland,31075000000000,Cole 0,UL,GD
"Lee Oil Company, Inc.",Steuben,West Union,31101600000000,Keenan 121,UL,OD
Unknown,Madison,Eaton,31053000000000,Graham Dwight 1,UN,DW
Unknown,Allegany,Alma,31003700000000,Root F 141,UM,NL
Unknown,Allegany,Bolivar,31003700000000,Arbogast J 130,UN,NL
"Lacy, Norman H",Cattaraugus,Hinsdale,31009100000000,Crosby  2,UL,GW
Unknown,Allegany,Genesee,31003700000000,PPP 39,UM,NL
"Lee Oil Company, Inc.",Steuben,West Union,31101600000000,McKinley O-18,UL,NL
Unknown,Allegany,Wirt,31003700000000,Jakima S 6,UM,NL
New York Natural Gas Co.,Madison,Lebanon,31053000000000,Sawyer Harry 1,UN,DH
"Lee Oil Company, Inc.",Steuben,West Union,31101600000000,McKinley P-31,UL,IW
Unknown,Allegany,Alma,31003700000000,Balcerak G 58,UM,NL
Bradley Producing Corp.,Steuben,Greenwood,31101100000000,Hunt 14,UM,OD
Unknown,Cattaraugus,Allegany,31009700000000,KC 107,UN,NL
Unknown,Allegany,Wirt,31003700000000,Webb E 21,UM,NL
Pulaski Gas & Oil,Oswego,Richland,31075000000000,Manwaring Willard Mo 0,UL,GD
Unknown,Cattaraugus,Allegany,31009700000000,KC 908,UN,NL
Unknown,Allegany,Granger,31003000000000,Short Tract Field 2,UM,OD
Unknown,Allegany,Bolivar,31003700000000,PG 35,UN,NL
Unknown,Allegany,Bolivar,31003700000000,PFG 53,UN,NL
Eagle Oil,Allegany,Alma,31003700000000,Eagle 01,UL,OD
Unknown,Allegany,Bolivar,31003700000000,PYR 121,UM,NL
"Lee Oil Company, Inc.",Steuben,West Union,31101100000000,Cloverleaf 0-414,UM,OD
Unknown,Allegany,Wirt,31003700000000,Reiman L 6,UN,NL
"Lee Oil Company, Inc.",Cattaraugus,Carrollton,31009200000000,McCaffery 15,UL,OD
Tug Hill Natural Gas,Lewis,Harrisburg,31049000000000,Steinmaker 1,UL,GD
"Lee Oil Company, Inc.",Cattaraugus,Carrollton,31009200000000,McCaffery 60,UL,OD
Unknown,Allegany,Genesee,31003700000000,PPP 22,UN,NL
Knights Creek Oil Co.,Allegany,Scio,31003700000000,McKee 43,UL,OD
NY Gas & Elec.,Erie,Lancaster,31029000000000,Blair C 3,UM,GD
Ontario Gas,Livingston,Lima,31051000000000,Francis 1,UM,GW
NYS Natural Gas Corp.,Steuben,Jasper,31101000000000,Murphy,UM,DW
"B.C.R. Development, Inc.",Allegany,Alma,31003700000000,Lot 86 016,UL,IW
Unknown,Allegany,Wirt,31003700000000,Reiman L 72,UN,NL
NYS Natural Gas Corp.,Ontario,Phelps,31069000000000,Simpson J A 0,UM,GD
"Lee Oil Company, Inc.",Steuben,West Union,31101600000000,McKinley O-7,UL,OD
Unknown,Allegany,Bolivar,31003700000000,DF 29,UN,NL
"Crowell, Walter R.",Chautauqua,Villenova,31013200000000,Crowell 6317,UL,GD
NY Gas & Elec.,Erie,Lancaster,31029000000000,McLaren,UN,GD
Finance Oil & Gas,Erie,Brant,31029100000000,Nancy Halftonn R-17,UN,GD
Unknown,Allegany,Wirt,31003700000000,Crockett D 34,UN,NL
Case Oil Corp.,Allegany,Alma,31003600000000,Adrian 86,UL,OD
Pennzoil Products Co.,Allegany,Bolivar,31003700000000,Ballard 94,UL,IW
Unknown,Allegany,Genesee,31003700000000,PPP 21,UN,NL
Unknown,Cattaraugus,Allegany,31009700000000,KC 255,UN,NL
Unknown,Allegany,Genesee,31003700000000,PPP 45,UM,NL
Baldwinsville Light & Heat,Onondaga,Lysander,31067000000000,Monroe 1,UM,GW
"Lee Oil Company, Inc.",Steuben,West Union,31101600000000,Rex 105,UM,NL
Unknown,Allegany,Bolivar,31003700000000,Dunn P 133,UM,NL
Unknown,Allegany,Bolivar,31003700000000,Dunn P 9,UN,NL
Unknown,Cattaraugus,Allegany,31009700000000,KC 296,UN,NL
Carlowden Country Club,Lewis,Denmark,31049000000000,Denmark 1 (Carlowden C C),UN,DW
NYS Natural Gas Corp.,Seneca,Waterloo,31099000000000,Mills 2,UM,DW
Ontario Gas,Ontario,West Bloomfield,31069000000000,Seymour Dennis 2,UM,GD
Unknown,Allegany,Wirt,31003700000000,Crockett D 86,UN,NL
Unknown,Cattaraugus,Carrollton,31009100000000,Allegany State Park 155,UN,GD
Moose Oil Co.,Allegany,Bolivar,31003600000000,Tullar p-36,UL,IW
