ï»¿FSCL_YR,MINC,MINE,DepartmentNumber-NumÃ©ro-de-MinistÃ¨re,DEPT_EN_DESC,OBJ_CD,OBJ_EN_NM,AGRG_PYMT_AMT
2016/2017,4,Canadian Heritage,145,Library and Archives of Canada,1267,"Misc. vehic. parts, incl tires & tubes",52.42
2016/2017,4,Canadian Heritage,145,Library and Archives of Canada,1282,Computer Equip Prod and Ops envir,23239.67
2016/2017,4,Canadian Heritage,145,Library and Archives of Canada,1283,Computer Equip DCE desktop/pers/portable,365645.97
2016/2017,4,Canadian Heritage,145,Library and Archives of Canada,1284,Client Software DCE,50043.65
2016/2017,4,Canadian Heritage,145,Library and Archives of Canada,1285,Aplicatn SW&Devlpmnt&Delivery Applicatn,60170.38
2016/2017,4,Canadian Heritage,145,Library and Archives of Canada,1289,Comm/networking Equipment,67602.18
2016/2017,4,Canadian Heritage,145,Library and Archives of Canada,1223,Image/Video Communications Equip,155470.04
2016/2017,4,Canadian Heritage,145,Library and Archives of Canada,1231,"Off.furn.&furnish.,incl. parts",237335.11
2016/2017,4,Canadian Heritage,145,Library and Archives of Canada,1245,Safety & sanitat.equipment and parts,14698.03
2016/2017,4,Canadian Heritage,145,Library and Archives of Canada,1246,"Other furn.&fixt., incl. parts",14567.04
2016/2017,4,Canadian Heritage,145,Library and Archives of Canada,1249,Other equipment and parts,15161.44
2016/2017,4,Canadian Heritage,145,Library and Archives of Canada,1261,Road motor vehicles,34391.0
2016/2017,4,Canadian Heritage,145,Library and Archives of Canada,1282,Computer Equip Prod and Ops envir,110140.0
2016/2017,4,Canadian Heritage,145,Library and Archives of Canada,1283,Computer Equip DCE desktop/pers/portable,394148.98
2016/2017,4,Canadian Heritage,145,Library and Archives of Canada,1284,Client Software DCE,20604.0
2016/2017,4,Canadian Heritage,145,Library and Archives of Canada,1285,Aplicatn SW&Devlpmnt&Delivery Applicatn,21530.0
2016/2017,4,Canadian Heritage,145,Library and Archives of Canada,1289,Comm/networking Equipment,46618.85
2016/2017,5,"Immigration, Refugees and Citizenship",32,Immigration and Refugee Board of Canada,1231,"Off.furn.&furnish.,incl. parts",320.99
2016/2017,5,"Immigration, Refugees and Citizenship",32,Immigration and Refugee Board of Canada,1223,Image/Video Communications Equip,76506.15
2016/2017,5,"Immigration, Refugees and Citizenship",32,Immigration and Refugee Board of Canada,1231,"Off.furn.&furnish.,incl. parts",233051.17
2016/2017,5,"Immigration, Refugees and Citizenship",32,Immigration and Refugee Board of Canada,1239,Other office equipment and parts,16956.48
2016/2017,5,"Immigration, Refugees and Citizenship",32,Immigration and Refugee Board of Canada,1245,Safety & sanitat.equipment and parts,2222.89
2016/2017,5,"Immigration, Refugees and Citizenship",32,Immigration and Refugee Board of Canada,1249,Other equipment and parts,21699.41
2016/2017,5,"Immigration, Refugees and Citizenship",32,Immigration and Refugee Board of Canada,1282,Computer Equip Prod and Ops envir,16243.48
2016/2017,5,"Immigration, Refugees and Citizenship",32,Immigration and Refugee Board of Canada,1283,Computer Equip DCE desktop/pers/portable,832258.7
2016/2017,5,"Immigration, Refugees and Citizenship",32,Immigration and Refugee Board of Canada,1284,Client Software DCE,23496.5
2016/2017,5,"Immigration, Refugees and Citizenship",32,Immigration and Refugee Board of Canada,1285,Aplicatn SW&Devlpmnt&Delivery Applicatn,2965.02
2016/2017,5,"Immigration, Refugees and Citizenship",32,Immigration and Refugee Board of Canada,1289,Comm/networking Equipment,8571.6
2016/2017,5,"Immigration, Refugees and Citizenship",50,Citizenship and Immigration,1223,Image/Video Communications Equip,24719.88
2016/2017,5,"Immigration, Refugees and Citizenship",50,Citizenship and Immigration,1231,"Off.furn.&furnish.,incl. parts",330260.11
2016/2017,5,"Immigration, Refugees and Citizenship",50,Citizenship and Immigration,1239,Other office equipment and parts,33755.15
2016/2017,5,"Immigration, Refugees and Citizenship",50,Citizenship and Immigration,1242,"Elec.lighting,distr.&contr.equip.& parts",10215.13
2016/2017,5,"Immigration, Refugees and Citizenship",50,Citizenship and Immigration,1245,Safety & sanitat.equipment and parts,20269.06
2016/2017,5,"Immigration, Refugees and Citizenship",50,Citizenship and Immigration,1249,Other equipment and parts,6387.73
2016/2017,5,"Immigration, Refugees and Citizenship",50,Citizenship and Immigration,1263,Road motor vehicles parts,127.4
2016/2017,5,"Immigration, Refugees and Citizenship",50,Citizenship and Immigration,1267,"Misc. vehic. parts, incl tires & tubes",163.9
2016/2017,5,"Immigration, Refugees and Citizenship",50,Citizenship and Immigration,1282,Computer Equip Prod and Ops envir,72.54
2016/2017,5,"Immigration, Refugees and Citizenship",50,Citizenship and Immigration,1283,Computer Equip DCE desktop/pers/portable,672067.42
2016/2017,5,"Immigration, Refugees and Citizenship",50,Citizenship and Immigration,1284,Client Software DCE,19438.23
2016/2017,5,"Immigration, Refugees and Citizenship",50,Citizenship and Immigration,1285,Aplicatn SW&Devlpmnt&Delivery Applicatn,4455.0
2016/2017,5,"Immigration, Refugees and Citizenship",50,Citizenship and Immigration,1289,Comm/networking Equipment,4872.23
2016/2017,5,"Immigration, Refugees and Citizenship",50,Citizenship and Immigration,1223,Image/Video Communications Equip,656259.15
2016/2017,5,"Immigration, Refugees and Citizenship",50,Citizenship and Immigration,1231,"Off.furn.&furnish.,incl. parts",1583378.92
2016/2017,5,"Immigration, Refugees and Citizenship",50,Citizenship and Immigration,1239,Other office equipment and parts,1110801.6
2016/2017,5,"Immigration, Refugees and Citizenship",50,Citizenship and Immigration,1242,"Elec.lighting,distr.&contr.equip.& parts",47422.38
2016/2017,5,"Immigration, Refugees and Citizenship",50,Citizenship and Immigration,1243,Meas.contr.lab.med.&opt.instr.& parts,885.31
2016/2017,5,"Immigration, Refugees and Citizenship",50,Citizenship and Immigration,1245,Safety & sanitat.equipment and parts,193856.99
2016/2017,5,"Immigration, Refugees and Citizenship",50,Citizenship and Immigration,1249,Other equipment and parts,82880.71
2016/2017,5,"Immigration, Refugees and Citizenship",50,Citizenship and Immigration,1263,Road motor vehicles parts,1183.9
2016/2017,5,"Immigration, Refugees and Citizenship",50,Citizenship and Immigration,1267,"Misc. vehic. parts, incl tires & tubes",1772.98
2016/2017,5,"Immigration, Refugees and Citizenship",50,Citizenship and Immigration,1282,Computer Equip Prod and Ops envir,5876.11
2016/2017,5,"Immigration, Refugees and Citizenship",50,Citizenship and Immigration,1283,Computer Equip DCE desktop/pers/portable,3600966.63
2016/2017,5,"Immigration, Refugees and Citizenship",50,Citizenship and Immigration,1284,Client Software DCE,79617.31
2016/2017,5,"Immigration, Refugees and Citizenship",50,Citizenship and Immigration,1285,Aplicatn SW&Devlpmnt&Delivery Applicatn,1372916.93
2016/2017,5,"Immigration, Refugees and Citizenship",50,Citizenship and Immigration,1287,Networking Software,479.4
2016/2017,5,"Immigration, Refugees and Citizenship",50,Citizenship and Immigration,1289,Comm/networking Equipment,79684.42
2016/2017,5,"Immigration, Refugees and Citizenship",50,Citizenship and Immigration,1223,Image/Video Communications Equip,21400.0
2016/2017,5,"Immigration, Refugees and Citizenship",50,Citizenship and Immigration,1239,Other office equipment and parts,20561.0
